region	final_demand	household_saving	government_saving	external_balance
DE	2.816278958392958e6	1.3290299277368092e6	-571578.0039777472	-60783.441953778674
FR	2.131296216988423e6	762663.4705800682	-413836.7614507363	43400.410517315584
IT	1.5869684193845587e6	527509.9584260072	-258242.4386244871	-10712.06175936028
PL	414351.3288612925	141089.88057257613	-61074.465883284036	20047.025635261336
SK	89895.86884887933	29331.178017308754	-13530.421804221452	10464.892885766356
REU	9.172671037373852e6	3.530093927400021e6	-1.5914895056993288e6	147688.05482543702
