account_id	account_type	region	code	row_sum	column_sum	balance
ACT:DE:AGRI_FOOD	activity	DE	AGRI_FOOD	237473.03595278476	237473.03595278464	1.1641532182693481e-10
ACT:DE:BASIC_METALS	activity	DE	BASIC_METALS	91770.02541709901	91770.02541709901	0.0
ACT:DE:CONSTRUCTION	activity	DE	CONSTRUCTION	288371.1047663641	288371.104766364	1.1641532182693481e-10
ACT:DE:EXTRACTIVE	activity	DE	EXTRACTIVE	10697.997489211706	10697.997489211704	1.8189894035458565e-12
ACT:DE:INC_EE	activity	DE	INC_EE	77.21800615634689	77.2180061563469	-1.4210854715202004e-14
ACT:DE:METAL_COMPONENTS	activity	DE	METAL_COMPONENTS	130506.01840537538	130506.01840537533	4.3655745685100555e-11
ACT:DE:NEW_ELMA	activity	DE	NEW_ELMA	72916.20858710872	72916.20858710872	0.0
ACT:DE:NEW_OFMA	activity	DE	NEW_OFMA	2.3739332434389233	2.373933243438924	-8.881784197001252e-16
ACT:DE:NEW_RATV	activity	DE	NEW_RATV	61632.646120665464	61632.64612066547	-7.275957614183426e-12
ACT:DE:OTHER_MANUFACTURING	activity	DE	OTHER_MANUFACTURING	1.2603191029615367e6	1.2603191029615365e6	2.3283064365386963e-10
ACT:DE:OTHER_SERVICES	activity	DE	OTHER_SERVICES	1.8180462419839816e6	1.818046241983981e6	4.656612873077393e-10
ACT:DE:PUBLIC_SOCIAL	activity	DE	PUBLIC_SOCIAL	777105.0413305032	777105.041330503	2.3283064365386963e-10
ACT:DE:REC_EE	activity	DE	REC_EE	207.11214690694814	207.1121469069482	-5.684341886080802e-14
ACT:DE:REF_ELMA	activity	DE	REF_ELMA	9078.331513560099	9078.3315135601	-1.8189894035458565e-12
ACT:DE:REF_OFMA	activity	DE	REF_OFMA	0.3407195017354377	0.34071950173543764	5.551115123125783e-17
ACT:DE:REF_RATV	activity	DE	REF_RATV	8845.844562105904	8845.844562105904	0.0
ACT:DE:REP_ELMA	activity	DE	REP_ELMA	41.635134332205	41.63513433220499	7.105427357601002e-15
ACT:DE:REP_OFMA	activity	DE	REP_OFMA	0.003980307235229314	0.003980307235229314	0.0
ACT:DE:REP_RATV	activity	DE	REP_RATV	103.33773025518063	103.33773025518066	-2.842170943040401e-14
ACT:DE:REU_ELMA	activity	DE	REU_ELMA	3253.4401300734353	3253.4401300734357	-4.547473508864641e-13
ACT:DE:REU_OFMA	activity	DE	REU_OFMA	0.16115739682400954	0.16115739682400954	0.0
ACT:DE:REU_RATV	activity	DE	REU_RATV	4184.008472204312	4184.008472204313	-9.094947017729282e-13
ACT:DE:TRADE	activity	DE	TRADE	481964.84302393976	481964.8430239398	-5.820766091346741e-11
ACT:DE:TRANSPORT	activity	DE	TRANSPORT	337231.08267838444	337231.08267838426	1.7462298274040222e-10
ACT:DE:UTIL_WASTE	activity	DE	UTIL_WASTE	182937.69701973	182937.69701973003	-2.9103830456733704e-11
ACT:FR:AGRI_FOOD	activity	FR	AGRI_FOOD	233247.54806373434	233247.54806373426	8.731149137020111e-11
ACT:FR:BASIC_METALS	activity	FR	BASIC_METALS	24587.895906894246	24587.89590689425	-3.637978807091713e-12
ACT:FR:CONSTRUCTION	activity	FR	CONSTRUCTION	289916.7798384979	289916.7798384978	1.1641532182693481e-10
ACT:FR:EXTRACTIVE	activity	FR	EXTRACTIVE	5055.597247327884	5055.597247327882	2.7284841053187847e-12
ACT:FR:INC_EE	activity	FR	INC_EE	84.68643194693854	84.68643194693853	1.4210854715202004e-14
ACT:FR:METAL_COMPONENTS	activity	FR	METAL_COMPONENTS	51721.399358739094	51721.39935873907	2.1827872842550278e-11
ACT:FR:NEW_ELMA	activity	FR	NEW_ELMA	15112.01417305743	15112.014173057434	-3.637978807091713e-12
ACT:FR:NEW_OFMA	activity	FR	NEW_OFMA	0.9095721924676735	0.9095721924676736	-1.1102230246251565e-16
ACT:FR:NEW_RATV	activity	FR	NEW_RATV	16486.391450800274	16486.39145080027	3.637978807091713e-12
ACT:FR:OTHER_MANUFACTURING	activity	FR	OTHER_MANUFACTURING	444167.97160649195	444167.971606492	-5.820766091346741e-11
ACT:FR:OTHER_SERVICES	activity	FR	OTHER_SERVICES	1.514642521335942e6	1.5146425213359424e6	-4.656612873077393e-10
ACT:FR:PUBLIC_SOCIAL	activity	FR	PUBLIC_SOCIAL	594377.0011062336	594377.0011062339	-3.4924596548080444e-10
ACT:FR:REC_EE	activity	FR	REC_EE	101.53949732772902	101.53949732772905	-2.842170943040401e-14
ACT:FR:REF_ELMA	activity	FR	REF_ELMA	2350.0942455418212	2350.0942455418212	0.0
ACT:FR:REF_OFMA	activity	FR	REF_OFMA	0.13907468863897207	0.13907468863897204	2.7755575615628914e-17
ACT:FR:REF_RATV	activity	FR	REF_RATV	2520.789196324543	2520.789196324542	9.094947017729282e-13
ACT:FR:REP_ELMA	activity	FR	REP_ELMA	38.55897900530868	38.558979005308686	-7.105427357601002e-15
ACT:FR:REP_OFMA	activity	FR	REP_OFMA	0.002175605809387517	0.0021756003151652335	5.494222283294187e-9
ACT:FR:REP_RATV	activity	FR	REP_RATV	39.433802921895385	39.433802921895364	2.1316282072803006e-14
ACT:FR:REU_ELMA	activity	FR	REU_ELMA	478.4681021372286	478.4681021372287	-1.1368683772161603e-13
ACT:FR:REU_OFMA	activity	FR	REU_OFMA	0.02521031319789061	0.02521031319789061	0.0
