sensitivity_profile,stage,scenario,instrument,wedge,termination_status,primal_status,solver_valid,solver_elapsed_seconds,max_scaled_residual,scaled_residuals_above_tolerance,max_bound_violation,bound_violations_above_tolerance,worst_equation_block,worst_equation_tag,worst_equation_indices,worst_equation_scaled_residual,worst_bound_variable,worst_bound_violation,solver_message,armington_elasticity,cet_transformation_elasticity,service_elasticity,eol_allocation_elasticity,eol_productivity_elasticity,material_substitution_elasticity,source_profile,changed_parameter,parameter_distance,source_baseline_valid,source_tax_valid,continuation_error
sensitivity_223,policy,virgin_metal_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,12.533493148,0.0010150342300005999,1,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0010150342300005999,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,0.5,2.0,0.5,2.0,2.0,0.5,sensitivity_466,circular_metal.material_substitution_elasticity,0.6931471805599453,true,true,
sensitivity_223,policy,virgin_metal_tax_0_02,virgin_metal_tax,0.02,,,false,,,,,,,,,,,,"Policy solve failed at virgin_metal_tax_tax_0_02: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 1, bound violations above tolerance 0.",0.5,2.0,0.5,2.0,2.0,0.5,sensitivity_196,circular_routes.eol_allocation_elasticity,0.6931471805599453,,,"Policy solve failed at virgin_metal_tax_tax_0_02: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 1, bound violations above tolerance 0."
sensitivity_223,policy,virgin_metal_tax_0_02,virgin_metal_tax,0.02,,,false,,,,,,,,,,,,"Policy solve failed at virgin_metal_tax_tax_0_02: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 1, bound violations above tolerance 0.",0.5,2.0,0.5,2.0,2.0,0.5,sensitivity_232,circular_routes.service_elasticity,0.6931471805599453,,,"Policy solve failed at virgin_metal_tax_tax_0_02: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 1, bound violations above tolerance 0."
sensitivity_223,policy,virgin_metal_tax_0_02,virgin_metal_tax,0.02,,,false,,,,,,,,,,,,"Policy solve failed at virgin_metal_tax_tax_0_01: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 1, bound violations above tolerance 0.",0.5,2.0,0.5,2.0,2.0,0.5,sensitivity_224,trade.armington_elasticity,0.6931471805599453,,,"Policy solve failed at virgin_metal_tax_tax_0_01: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 1, bound violations above tolerance 0."
sensitivity_223,policy,virgin_metal_tax_0_02,virgin_metal_tax,0.02,,,false,,,,,,,,,,,,"Policy solve failed at virgin_metal_tax_tax_0_0175: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 3, bound violations above tolerance 0.",0.5,2.0,0.5,2.0,2.0,0.5,sensitivity_220,trade.cet_transformation_elasticity,0.6931471805599453,,,"Policy solve failed at virgin_metal_tax_tax_0_0175: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 3, bound violations above tolerance 0."
sensitivity_223,policy,virgin_metal_tax_0_02,virgin_metal_tax,0.02,,,false,,,,,,,,,,,,"Policy solve failed at virgin_metal_tax_tax_0_02: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 1, bound violations above tolerance 0.",0.5,2.0,0.5,2.0,2.0,0.5,sensitivity_169,circular_routes.eol_allocation_elasticity,1.3862943611198906,,,"Policy solve failed at virgin_metal_tax_tax_0_02: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 1, bound violations above tolerance 0."
sensitivity_223,policy,virgin_metal_tax_0_02,virgin_metal_tax,0.02,,,false,,,,,,,,,,,,"Policy solve failed at virgin_metal_tax_tax_0_02: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 1, bound violations above tolerance 0.",0.5,2.0,0.5,2.0,2.0,0.5,sensitivity_061,circular_routes.eol_productivity_elasticity,1.3862943611198906,,,"Policy solve failed at virgin_metal_tax_tax_0_02: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 1, bound violations above tolerance 0."
sensitivity_223,policy,virgin_metal_tax_0_02,virgin_metal_tax,0.02,,,false,,,,,,,,,,,,"Policy solve failed at virgin_metal_tax_tax_0_02: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 1, bound violations above tolerance 0.",0.5,2.0,0.5,2.0,2.0,0.5,sensitivity_241,circular_routes.service_elasticity,1.3862943611198906,,,"Policy solve failed at virgin_metal_tax_tax_0_02: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 1, bound violations above tolerance 0."
sensitivity_223,policy,virgin_metal_tax_0_02,virgin_metal_tax,0.02,,,false,,,,,,,,,,,,"Policy solve failed at virgin_metal_tax_tax_0_01: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 1, bound violations above tolerance 0.",0.5,2.0,0.5,2.0,2.0,0.5,sensitivity_225,trade.armington_elasticity,1.3862943611198906,,,"Policy solve failed at virgin_metal_tax_tax_0_01: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 1, bound violations above tolerance 0."
sensitivity_223,policy,virgin_metal_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,19.326837843,0.0010668923548844411,1,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0010668923548844411,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,0.5,2.0,0.5,2.0,2.0,0.5,sensitivity_217,trade.cet_transformation_elasticity,1.3862943611198906,true,true,
