sensitivity_profile,stage,scenario,instrument,wedge,termination_status,primal_status,solver_valid,solver_elapsed_seconds,max_scaled_residual,scaled_residuals_above_tolerance,max_bound_violation,bound_violations_above_tolerance,worst_equation_block,worst_equation_tag,worst_equation_indices,worst_equation_scaled_residual,worst_bound_variable,worst_bound_violation,solver_message,armington_elasticity,cet_transformation_elasticity,service_elasticity,eol_allocation_elasticity,eol_productivity_elasticity,material_substitution_elasticity,source_profile,changed_parameter,parameter_distance,source_baseline_valid,source_tax_valid,continuation_error
sensitivity_517,policy,virgin_metal_tax_0_02,virgin_metal_tax,0.02,,,false,,,,,,,,,,,,"Policy solve failed at virgin_metal_tax_tax_0_0125: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 490, bound violations above tolerance 0.",0.5,1.0,0.5,1.0,0.5,2.0,sensitivity_274,circular_metal.material_substitution_elasticity,0.6931471805599453,,,"Policy solve failed at virgin_metal_tax_tax_0_0125: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 490, bound violations above tolerance 0."
sensitivity_517,policy,virgin_metal_tax_0_02,virgin_metal_tax,0.02,,,false,,,,,,,,,,,,"Policy solve failed at virgin_metal_tax_tax_0_02: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 1, bound violations above tolerance 0.",0.5,1.0,0.5,1.0,0.5,2.0,sensitivity_490,circular_routes.eol_allocation_elasticity,0.6931471805599453,,,"Policy solve failed at virgin_metal_tax_tax_0_02: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 1, bound violations above tolerance 0."
sensitivity_517,policy,virgin_metal_tax_0_02,virgin_metal_tax,0.02,,,false,,,,,,,,,,,,"Policy solve failed at virgin_metal_tax_tax_0_005: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 6, bound violations above tolerance 0.",0.5,1.0,0.5,1.0,0.5,2.0,sensitivity_544,circular_routes.eol_allocation_elasticity,0.6931471805599453,,,"Policy solve failed at virgin_metal_tax_tax_0_005: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 6, bound violations above tolerance 0."
sensitivity_517,policy,virgin_metal_tax_0_02,virgin_metal_tax,0.02,,,false,,,,,,,,,,,,"Policy solve failed at virgin_metal_tax_tax_0_0075: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 1, bound violations above tolerance 0.",0.5,1.0,0.5,1.0,0.5,2.0,sensitivity_598,circular_routes.eol_productivity_elasticity,0.6931471805599453,,,"Policy solve failed at virgin_metal_tax_tax_0_0075: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 1, bound violations above tolerance 0."
sensitivity_517,policy,virgin_metal_tax_0_02,virgin_metal_tax,0.02,,,false,,,,,,,,,,,,"Policy solve failed at virgin_metal_tax_tax_0_0175: status TIME_LIMIT, scaled residuals above tolerance 283, bound violations above tolerance 0.",0.5,1.0,0.5,1.0,0.5,2.0,sensitivity_526,circular_routes.service_elasticity,0.6931471805599453,,,"Policy solve failed at virgin_metal_tax_tax_0_0175: status TIME_LIMIT, scaled residuals above tolerance 283, bound violations above tolerance 0."
sensitivity_517,policy,virgin_metal_tax_0_02,virgin_metal_tax,0.02,,,false,,,,,,,,,,,,"Policy solve failed at virgin_metal_tax_tax_0_0075: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 2, bound violations above tolerance 0.",0.5,1.0,0.5,1.0,0.5,2.0,sensitivity_518,trade.armington_elasticity,0.6931471805599453,,,"Policy solve failed at virgin_metal_tax_tax_0_0075: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 2, bound violations above tolerance 0."
sensitivity_517,policy,virgin_metal_tax_0_02,virgin_metal_tax,0.02,,,false,,,,,,,,,,,,"Policy solve failed at virgin_metal_tax_tax_0_005: status TIME_LIMIT, scaled residuals above tolerance 9, bound violations above tolerance 0.",0.5,1.0,0.5,1.0,0.5,2.0,sensitivity_514,trade.cet_transformation_elasticity,0.6931471805599453,,,"Policy solve failed at virgin_metal_tax_tax_0_005: status TIME_LIMIT, scaled residuals above tolerance 9, bound violations above tolerance 0."
sensitivity_517,policy,virgin_metal_tax_0_02,virgin_metal_tax,0.02,,,false,,,,,,,,,,,,"Policy solve failed at virgin_metal_tax_tax_0_02: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 1, bound violations above tolerance 0.",0.5,1.0,0.5,1.0,0.5,2.0,sensitivity_520,trade.cet_transformation_elasticity,0.6931471805599453,,,"Policy solve failed at virgin_metal_tax_tax_0_02: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 1, bound violations above tolerance 0."
sensitivity_517,policy,virgin_metal_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,39.835685591,0.08550360589856287,1,0.0,0,observed_physical_flow_links,quantity_link,physical_SK_OFMA_REP_route_input_mass,0.08550360589856287,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,0.5,1.0,0.5,1.0,0.5,2.0,sensitivity_031,circular_metal.material_substitution_elasticity,1.3862943611198906,true,true,
sensitivity_517,policy,virgin_metal_tax_0_02,virgin_metal_tax,0.02,,,false,,,,,,,,,,,,"Policy solve failed at virgin_metal_tax_tax_0_02: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 1, bound violations above tolerance 0.",0.5,1.0,0.5,1.0,0.5,2.0,sensitivity_679,circular_routes.eol_productivity_elasticity,1.3862943611198906,,,"Policy solve failed at virgin_metal_tax_tax_0_02: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 1, bound violations above tolerance 0."
sensitivity_517,policy,virgin_metal_tax_0_02,virgin_metal_tax,0.02,,,false,,,,,,,,,,,,"Policy solve failed at virgin_metal_tax_tax_0_0075: status TIME_LIMIT, scaled residuals above tolerance 3, bound violations above tolerance 0.",0.5,1.0,0.5,1.0,0.5,2.0,sensitivity_535,circular_routes.service_elasticity,1.3862943611198906,,,"Policy solve failed at virgin_metal_tax_tax_0_0075: status TIME_LIMIT, scaled residuals above tolerance 3, bound violations above tolerance 0."
sensitivity_517,policy,virgin_metal_tax_0_02,virgin_metal_tax,0.02,,,false,,,,,,,,,,,,"Policy solve failed at virgin_metal_tax_tax_0_015000000000000001: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 1, bound violations above tolerance 0.",0.5,1.0,0.5,1.0,0.5,2.0,sensitivity_519,trade.armington_elasticity,1.3862943611198906,,,"Policy solve failed at virgin_metal_tax_tax_0_015000000000000001: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 1, bound violations above tolerance 0."
