region	split_source	target_parent_id	target_parent_product_code	target_parent_product_label	target_parent_activity_code	target_parent_activity_label	split_label	split_label_description	split_kind	split_product_code	split_activity_code	split_share
DE	circular_parent	RETAIL_CHANNEL	CPA_G47	Retail trade services, except of motor vehicles and motorcycles	G47	Retail trade, except of motor vehicles and motorcycles	OFMA	Office machinery and computers-linked share of Retail trade services	family_split	CPA_G47_OFMA	G47_OFMA	7.393689244025923e-7
DE	circular_parent	RETAIL_CHANNEL	CPA_G47	Retail trade services, except of motor vehicles and motorcycles	G47	Retail trade, except of motor vehicles and motorcycles	RATV	Radio, television and communication equipment and apparatus-linked share of Retail trade services	family_split	CPA_G47_RATV	G47_RATV	0.019195680164153156
DE	circular_parent	RETAIL_CHANNEL	CPA_G47	Retail trade services, except of motor vehicles and motorcycles	G47	Retail trade, except of motor vehicles and motorcycles	res	Residual non-CE-RISE share of Retail trade services	residual	CPA_G47_res	G47_res	0.9691646611075766
DE	circular_parent	LEASING_CHANNEL	CPA_N77	Rental and leasing services	N77	Rental and leasing activities	ELMA	Electrical machinery and apparatus n.e.c.-linked share of Rental and leasing services	family_split	CPA_N77_ELMA	N77_ELMA	0.016544341645024326
DE	circular_parent	LEASING_CHANNEL	CPA_N77	Rental and leasing services	N77	Rental and leasing activities	OFMA	Office machinery and computers-linked share of Rental and leasing services	family_split	CPA_N77_OFMA	N77_OFMA	3.7252888924708375e-7
DE	circular_parent	LEASING_CHANNEL	CPA_N77	Rental and leasing services	N77	Rental and leasing activities	RATV	Radio, television and communication equipment and apparatus-linked share of Rental and leasing services	family_split	CPA_N77_RATV	N77_RATV	0.009671687805478425
DE	circular_parent	LEASING_CHANNEL	CPA_N77	Rental and leasing services	N77	Rental and leasing activities	res	Residual non-CE-RISE share of Rental and leasing services	residual	CPA_N77_res	N77_res	0.973783598020608
DE	circular_parent	REPAIR_HOUSEHOLD	CPA_S95	Repair services of computers and personal and household goods	S95	Repair of computers and personal and household goods	ELMA	Electrical machinery and apparatus n.e.c.-linked share of Repair services of computers and personal and household goods	family_split	CPA_S95_ELMA	S95_ELMA	0.015140057091564237
DE	circular_parent	REPAIR_HOUSEHOLD	CPA_S95	Repair services of computers and personal and household goods	S95	Repair of computers and personal and household goods	OFMA	Office machinery and computers-linked share of Repair services of computers and personal and household goods	family_split	CPA_S95_OFMA	S95_OFMA	1.4473852718473243e-6
DE	circular_parent	REPAIR_HOUSEHOLD	CPA_S95	Repair services of computers and personal and household goods	S95	Repair of computers and personal and household goods	RATV	Radio, television and communication equipment and apparatus-linked share of Repair services of computers and personal and household goods	family_split	CPA_S95_RATV	S95_RATV	0.03757737691658616
