scenario,instrument,wedge,termination_status,max_scaled_residual,scaled_residuals_above_tolerance,max_bound_violation,bound_violations_above_tolerance,fiscal_basis_kind,fiscal_basis_million_eur,primary_metal_market_demand_reduction_tonnes,primary_metal_market_demand_reduction_per_million_eur,primary_metal_market_demand_tonnes,primary_metal_domestic_demand_tonnes,primary_metal_ce_rise_demand_tonnes,recycled_metal_market_demand_tonnes,recycled_metal_domestic_demand_tonnes,recycled_metal_ce_rise_demand_tonnes,primary_metal_output_tonnes,recycled_metal_output_tonnes,external_metal_import_tonnes,tax_revenue_million_eur,support_expenditure_million_eur,household_transfer_million_eur,solver_elapsed_seconds,solver_attempts,sensitivity_profile,armington_elasticity,cet_transformation_elasticity,service_elasticity,eol_allocation_elasticity,eol_productivity_elasticity,material_substitution_elasticity,solver_valid,solver_message,profile_elapsed_seconds
virgin_metal_tax_tax_0_0025,virgin_metal_tax,0.0025,LOCALLY_INFEASIBLE,6.376840282231099e-5,0,0.0,0,tax_revenue,62.67358526295753,370.3375390768051,5.90898921009532,5.080084926356818e8,4.3207223564803076e8,2.5405752342008844e7,714735.7858377157,696403.4717910117,38902.98813987744,4.411819245786561e8,714725.6784787844,6.6826841345638126e7,62.67358526295753,1.0490209969073395e-13,62.67358526295732,14.978041205,1,sensitivity_253,0.5,0.5,1.0,0.5,0.5,1.0,true,,178.181096837
virgin_metal_tax_tax_0_005,virgin_metal_tax,0.005,ALMOST_LOCALLY_SOLVED,5.4981308837903135e-5,0,0.0,0,tax_revenue,125.3425112991705,365.68106067180634,2.9174543966092243,5.080084972921602e8,4.3207224017446387e8,2.540575162638615e7,714794.1130815644,696461.8076022782,38998.53537258561,4.411819245756023e8,714740.6953287654,6.682684134562175e7,125.3425112991705,-2.7426312798679154e-9,125.34251130465576,4.012472873,1,sensitivity_253,0.5,0.5,1.0,0.5,0.5,1.0,true,,178.181096837
virgin_metal_tax_tax_0_01,virgin_metal_tax,0.01,LOCALLY_INFEASIBLE,0.00026547415352195277,0,0.0,0,tax_revenue,250.68833322745633,7335.042542695999,29.259608727146933,5.080015279306782e8,4.320668550308767e8,2.540523444019059e7,715044.8855659106,696712.5715152123,39210.092077850786,4.411729516618482e8,715034.7882390567,6.6826263236412704e7,250.68833322745633,1.0392259125166529e-13,250.68833322745613,35.136727787,1,sensitivity_253,0.5,0.5,1.0,0.5,0.5,1.0,true,,178.181096837
virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,0.0005862593570392976,0,0.0,0,tax_revenue,501.3422508358991,8446.168001890182,16.847109909064514,5.08000416805219e8,4.320656790202853e8,2.5403877531888813e7,715427.1173367901,697094.803251838,39589.81339584505,4.411729452643435e8,715417.1966782089,6.682626394960116e7,501.3422508358991,1.0295252971172845e-12,501.34225083589706,17.093180286,1,sensitivity_253,0.5,0.5,1.0,0.5,0.5,1.0,true,,178.181096837
recycling_support_support_0_0025,recycling_support,-0.0025,ALMOST_LOCALLY_SOLVED,1.8190350993096733e-7,0,0.0,0,support_expenditure,0.09716529464494902,21.096797049045563,217.12276102424443,5.0800884187642384e8,4.3207258419276935e8,2.540614915549002e7,714737.9108977513,696405.5968468813,38904.901462965994,4.411819981227283e8,714727.8151206682,6.682684644889132e7,7.904007181659125e-16,0.09716529464494902,-0.09716529464494744,4.542607061,1,sensitivity_253,0.5,0.5,1.0,0.5,0.5,1.0,true,,178.181096837
recycling_support_support_0_005,recycling_support,-0.005,ALMOST_LOCALLY_SOLVED,2.2715414081386776e-6,0,0.0,0,support_expenditure,0.1948134442259863,17.978904962539673,92.28780402693305,5.080088449943159e8,4.3207258431870604e8,2.540613558905971e7,714834.0219475466,696501.7084157439,39002.54449296998,4.411820068131761e8,714821.6152425004,6.682684713428015e7,-9.417401648585184e-13,0.1948134442259863,-0.19481344422786978,4.835971304,1,sensitivity_253,0.5,0.5,1.0,0.5,0.5,1.0,true,,178.181096837
recycling_support_support_0_01,recycling_support,-0.01,ALMOST_LOCALLY_SOLVED,7.308334275914491e-7,0,6.653775583068199e-10,0,support_expenditure,0.3916055005062344,89.48348051309586,228.50414613027448,5.080087734897404e8,4.3207251863089854e8,2.5406077101392236e7,715032.1979288674,696699.8838775355,39199.3185980687,4.411819416054168e8,715022.1042347846,6.682683890173834e7,-1.1477585378805117e-14,0.3916055005062344,-0.3916055005062573,4.48159595,1,sensitivity_253,0.5,0.5,1.0,0.5,0.5,1.0,true,,178.181096837
recycling_support_support_0_02,recycling_support,-0.02,ALMOST_LOCALLY_SOLVED,1.468179320495682e-6,0,0.0,0,support_expenditure,0.7912038363536193,230.13257426023483,290.8638250805697,5.080086328406466e8,4.320723898625372e8,2.5405965945334543e7,715432.2203097116,697099.9062591215,39598.93912501909,4.411818102876004e8,715422.1240333079,6.682682223445508e7,2.66997486236557e-16,0.7912038363536193,-0.7912038363536187,4.232416878,1,sensitivity_253,0.5,0.5,1.0,0.5,0.5,1.0,true,,178.181096837
refurbishment_support_support_0_0025,refurbishment_support,-0.0025,ALMOST_LOCALLY_SOLVED,1.0974219070307581e-5,0,9.990147000999528e-9,0,support_expenditure,44.03164479880498,203.8860266804695,4.630443119081551,5.080086590871942e8,4.3207234775110734e8,2.5406158924273964e7,714639.9404823392,696307.6264312686,38807.45686902337,4.4118177347789264e8,714629.8453726604,6.682689912795922e7,-1.7888890617801133e-14,44.03164479880498,-44.03164479880502,5.117264342,1,sensitivity_253,0.5,0.5,1.0,0.5,0.5,1.0,true,,178.181096837
refurbishment_support_support_0_005,refurbishment_support,-0.005,ALMOST_LOCALLY_SOLVED,2.0800720251743423e-5,0,5.25460954228349e-9,0,support_expenditure,88.28416243344824,664.9219631552696,7.531610934820971,5.080081980512577e8,4.3207186225456744e8,2.540594376302747e7,714730.334202268,696398.0201512078,38806.56903421138,4.411813280218007e8,714720.238976632,6.682689511676208e7,-6.303780730256337e-14,88.28416243344824,-88.28416243344837,6.186869431,1,sensitivity_253,0.5,0.5,1.0,0.5,0.5,1.0,true,,178.181096837
