scenario,instrument,wedge,termination_status,max_scaled_residual,scaled_residuals_above_tolerance,max_bound_violation,bound_violations_above_tolerance,fiscal_basis_kind,fiscal_basis_million_eur,primary_metal_market_demand_reduction_tonnes,primary_metal_market_demand_reduction_per_million_eur,primary_metal_market_demand_tonnes,primary_metal_domestic_demand_tonnes,primary_metal_ce_rise_demand_tonnes,recycled_metal_market_demand_tonnes,recycled_metal_domestic_demand_tonnes,recycled_metal_ce_rise_demand_tonnes,primary_metal_output_tonnes,recycled_metal_output_tonnes,external_metal_import_tonnes,tax_revenue_million_eur,support_expenditure_million_eur,household_transfer_million_eur,solver_elapsed_seconds,solver_attempts,sensitivity_profile,armington_elasticity,cet_transformation_elasticity,service_elasticity,eol_allocation_elasticity,eol_productivity_elasticity,material_substitution_elasticity,solver_valid,solver_message,profile_elapsed_seconds
virgin_metal_tax_tax_0_0025,virgin_metal_tax,0.0025,LOCALLY_INFEASIBLE,5.274799141988497e-5,0,0.0,0,tax_revenue,62.67238151978398,796.7789524793625,12.713398360773011,5.080080661942687e8,4.320717410997558e8,2.5405225266196057e7,714826.511961829,696494.1979135396,38997.28741876221,4.411819634654847e8,714816.3990892353,6.682684348339593e7,62.67238151978398,1.501583651439271e-13,62.6723815197837,15.225560105,1,sensitivity_560,1.0,0.5,2.0,2.0,0.5,2.0,true,,257.948908676
virgin_metal_tax_tax_0_005,virgin_metal_tax,0.005,ALMOST_LOCALLY_SOLVED,5.2572458386778354e-5,0,0.0,0,tax_revenue,125.34812164710749,1999.6362263560295,15.952662074870211,5.080068633369948e8,4.3207069605141443e8,2.5405821522937812e7,715021.2807608198,696688.9660389393,39196.51810213225,4.4118091576764023e8,715014.0804063205,6.682671871163232e7,125.34812164710749,-5.599277363673623e-10,125.34812164822733,6.175829441,1,sensitivity_560,1.0,0.5,2.0,2.0,0.5,2.0,true,,257.948908676
virgin_metal_tax_tax_0_01,virgin_metal_tax,0.01,LOCALLY_INFEASIBLE,0.0004297296524461425,0,0.0,0,tax_revenue,250.6875992346329,2530.3037881851196,10.093454147354386,5.08006332669433e8,4.320699565957394e8,2.5405453965404287e7,715410.5430708531,697078.2289835999,39580.83436375273,4.411809115794726e8,715401.2034874223,6.682671969882856e7,250.6875992346329,-3.828159996121747e-12,250.68759923464057,67.977300706,1,sensitivity_560,1.0,0.5,2.0,2.0,0.5,2.0,true,,257.948908676
virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,0.0005479915746881067,0,0.0,0,tax_revenue,501.24550097710244,10623.886112451553,21.19497549951449,5.0799823908710873e8,4.320622525423116e8,2.539852468605594e7,722677.0269289815,704344.7128774289,40345.795023183964,4.411782007741414e8,722666.933135577,6.682634352678466e7,501.24550097710244,-2.542507056642928e-13,501.24550097710295,31.270397736,1,sensitivity_560,1.0,0.5,2.0,2.0,0.5,2.0,true,,257.948908676
recycling_support_support_0_0025,recycling_support,-0.0025,ALMOST_LOCALLY_SOLVED,3.780727114256771e-7,0,0.0,0,support_expenditure,0.09740913624274339,42.6019726395607,437.35089215242255,5.0800882037124854e8,4.320725674284831e8,2.5406146837208074e7,714835.7316066762,696503.4174685734,39002.44585395223,4.4118196445294863e8,714826.0703658606,6.682684358588856e7,1.515775295807973e-13,0.09740913624274339,-0.09740913624244026,4.013347072,1,sensitivity_560,1.0,0.5,2.0,2.0,0.5,2.0,true,,257.948908676
recycling_support_support_0_005,recycling_support,-0.005,ALMOST_LOCALLY_SOLVED,4.4448511803376507e-7,0,9.134605207540948e-13,0,support_expenditure,0.1957979991025297,89.27242827415466,455.9414737808792,5.080087737007929e8,4.3207252271857435e8,2.5406083620643232e7,715031.0862305051,696698.7721784438,39198.37403754,4.4118193403436124e8,715020.9972438613,6.6826847493222535e7,-1.5082867264095168e-14,0.1957979991025297,-0.1957979991025599,3.624859831,1,sensitivity_560,1.0,0.5,2.0,2.0,0.5,2.0,true,,257.948908676
recycling_support_support_0_01,recycling_support,-0.01,ALMOST_LOCALLY_SOLVED,5.87702515244537e-5,0,1.8400186329567884e-10,0,support_expenditure,0.3955616721212284,230.3446188569069,582.3228970129159,5.080086326286023e8,4.3207239712785643e8,2.5405973317053948e7,715427.2282859689,697094.9142338298,39594.925960321765,4.411817964945376e8,715417.1396999457,6.6826837983440034e7,-1.9783784844641836e-14,0.3955616721212284,-0.3955616721212679,4.727975228,1,sensitivity_560,1.0,0.5,2.0,2.0,0.5,2.0,true,,257.948908676
recycling_support_support_0_02,recycling_support,-0.02,ALMOST_LOCALLY_SOLVED,3.4112883440648543e-6,0,2.092859982245877e-9,0,support_expenditure,0.8073667487131472,545.6121302843094,675.7921739456752,5.080083173610909e8,4.3207214149011767e8,2.540590995706489e7,716240.2196426606,697907.9055915474,40407.060532333526,4.4118133168952405e8,716230.1255386409,6.682678921912505e7,-1.3049566804736328e-14,0.8073667487131472,-0.8073667487131733,5.162459177,1,sensitivity_560,1.0,0.5,2.0,2.0,0.5,2.0,true,,257.948908676
refurbishment_support_support_0_0025,refurbishment_support,-0.0025,ALMOST_LOCALLY_SOLVED,0.00011583918715078636,0,8.546170914671688e-9,0,support_expenditure,44.12511897727793,13005.38555854559,294.7388213330975,5.0799585758766264e8,4.320613480473939e8,2.54049815147053e7,714634.9751361329,696302.6611291523,38807.133588380035,4.411709730736198e8,714624.7380211551,6.6825229004606634e7,-2.369793077137333e-12,44.12511897727793,-44.12511897728267,11.966653548,1,sensitivity_560,1.0,0.5,2.0,2.0,0.5,2.0,true,,257.948908676
refurbishment_support_support_0_005,refurbishment_support,-0.005,ALMOST_LOCALLY_SOLVED,9.368060810621553e-5,0,0.0,0,support_expenditure,88.66635440541893,12521.286637961864,141.2180158068686,5.079963416865832e8,4.3206185844596356e8,2.5404735818507418e7,714644.7970895182,696312.4830370904,38806.84708608575,4.4117074861908954e8,714634.7142484578,6.682532637880813e7,-1.0301197915859335e-12,88.66635440541893,-88.66635440542099,4.18468328,1,sensitivity_560,1.0,0.5,2.0,2.0,0.5,2.0,true,,257.948908676
refurbishment_support_support_0_01,refurbishment_support,-0.01,LOCALLY_INFEASIBLE,0.00022184471774227378,0,0.0,0,support_expenditure,178.99995336700485,29362.82283014059,164.03815910464397,5.0797950015039104e8,4.3204792251915026e8,2.540336036073322e7,717259.9738180402,698927.6597669815,38804.32012148673,4.411564869407993e8,717249.8786266579,6.682309994710927e7,-1.824567866515821e-14,178.99995336700485,-178.99995336700488,22.954663596,1,sensitivity_560,1.0,0.5,2.0,2.0,0.5,2.0,true,,257.948908676
refurbishment_support_support_0_02,refurbishment_support,-0.02,ALMOST_LOCALLY_SOLVED,0.00019707941246890494,0,9.978032485149816e-9,0,support_expenditure,364.84488104921104,29460.544606804848,80.74813746072854,5.079794024286144e8,4.320474940323247e8,2.5401663381781142e7,717265.2313138278,698932.917262959,38801.62246305889,4.411562539510576e8,717255.1356682943,6.682309324356473e7,1.177633576746286e-13,364.84488104921104,-364.8448810492108,9.1477603,1,sensitivity_560,1.0,0.5,2.0,2.0,0.5,2.0,true,,257.948908676
repair_support_support_0_0025,repair_support,-0.0025,ALMOST_LOCALLY_SOLVED,3.9602021162273533e-7,0,5.942144529010001e-12,0,support_expenditure,0.700184715678827,-4.128970503807068,-5.896973200570429,5.080088671021917e8,4.3207260693117195e8,2.5406160372711282e7,714640.8102280732,696308.4961773248,38807.719588416265,4.411820227900934e8,714630.712103876,6.682685004794832e7,6.44014217354348e-14,0.700184715678827,-0.7001847156786981,4.74920542,1,sensitivity_560,1.0,0.5,2.0,2.0,0.5,2.0,true,,257.948908676
repair_support_support_0_005,repair_support,-0.005,ALMOST_LOCALLY_SOLVED,3.8373674470922483e-7,0,0.0,0,support_expenditure,1.407407154913619,10.806250989437103,7.6781270805038275,5.080088521669702e8,4.320725923301836e8,2.5406188055037998e7,714641.1257732902,696308.8117222247,38807.84021030823,4.411819983196604e8,714631.0306881035,6.682685123847006e7,-1.5138716459772967e-15,1.407407154913619,-1.407407154913622,3.998110644,1,sensitivity_560,1.0,0.5,2.0,2.0,0.5,2.0,true,,257.948908676
repair_support_support_0_01,repair_support,-0.01,ALMOST_LOCALLY_SOLVED,6.572756830358628e-6,0,4.815259775214558e-10,0,support_expenditure,2.8432861384641486,23.195182740688324,8.157878458626614,5.0800883977803844e8,4.320725786143517e8,2.5406179392744638e7,714642.3792733194,696310.0652222441,38807.836240554134,4.411819981437882e8,714632.2841922822,6.682685127974275e7,-1.919319051098278e-12,2.8432861384641486,-2.8432861384679877,4.072320642,1,sensitivity_560,1.0,0.5,2.0,2.0,0.5,2.0,true,,257.948908676
repair_support_support_0_02,repair_support,-0.02,ALMOST_LOCALLY_SOLVED,7.856643353343351e-6,0,0.0,0,support_expenditure,5.803085330866349,42.31206172704697,7.2913044207692455,5.0800882066115946e8,4.3207255810228217e8,2.5406167300591387e7,714643.1251107204,696310.8110596306,38807.83699757017,4.4118199739339304e8,714633.030057421,6.682685122202907e7,-2.190810929095667e-11,5.803085330866349,-5.803085330910164,3.492931726,1,sensitivity_560,1.0,0.5,2.0,2.0,0.5,2.0,true,,257.948908676
reuse_support_support_0_0025,reuse_support,-0.0025,LOCALLY_INFEASIBLE,7.907022793984782e-6,0,5.551537570544026e-9,0,support_expenditure,26.910740869807846,883.5251907706261,32.83169330212999,5.080079794480304e8,4.320718710080918e8,2.5406968605526198e7,714640.8696055538,696308.5555541554,38812.94299192189,4.4118044916030383e8,714630.775374305,6.682668407998486e7,-2.3007392432193726e-13,26.910740869807846,-26.910740869808308,11.191428273,1,sensitivity_560,1.0,0.5,2.0,2.0,0.5,2.0,true,,257.948908676
reuse_support_support_0_005,reuse_support,-0.005,LOCALLY_INFEASIBLE,1.606967989038154e-5,0,0.0,0,support_expenditure,54.08061478804163,1662.8150860071182,30.746970842032695,5.080072001581352e8,4.320710646845403e8,2.540633521873172e7,714646.8330040558,696314.5189534968,38811.78343384777,4.411804560036261e8,714636.7360949902,6.682668722046234e7,-3.9659644534721666e-13,54.08061478804163,-54.08061478804243,9.828703676,1,sensitivity_560,1.0,0.5,2.0,2.0,0.5,2.0,true,,257.948908676
reuse_support_support_0_01,reuse_support,-0.01,ALMOST_LOCALLY_SOLVED,1.7502710253904355e-5,0,9.778364272021726e-9,0,support_expenditure,109.2039306236187,2002.752291381359,18.339562321103873,5.080068602209298e8,4.320707523802585e8,2.5406103196628533e7,714643.5931657272,696311.2790902458,38811.17889624537,4.411801160150995e8,714633.5435337576,6.682668781958302e7,1.6017829413629772e-11,109.2039306236187,-109.20393062358667,11.762909702,1,sensitivity_560,1.0,0.5,2.0,2.0,0.5,2.0,true,,257.948908676
reuse_support_support_0_02,reuse_support,-0.02,LOCALLY_INFEASIBLE,4.9415805805752555e-5,0,7.417634452895338e-9,0,support_expenditure,222.70157655938357,5404.18294519186,24.266478166358333,5.08003458790276e8,4.320674743941894e8,2.5405197839949373e7,714682.8278903065,696350.513839603,38815.719231671945,4.411766389260713e8,714672.7330869207,6.6826268160650544e7,-2.3563909732898476e-13,222.70157655938357,-222.70157655938405,17.504242168,1,sensitivity_560,1.0,0.5,2.0,2.0,0.5,2.0,true,,257.948908676
