scenario,instrument,wedge,termination_status,max_scaled_residual,scaled_residuals_above_tolerance,max_bound_violation,bound_violations_above_tolerance,fiscal_basis_kind,fiscal_basis_million_eur,primary_metal_market_demand_reduction_tonnes,primary_metal_market_demand_reduction_per_million_eur,primary_metal_market_demand_tonnes,primary_metal_domestic_demand_tonnes,primary_metal_ce_rise_demand_tonnes,recycled_metal_market_demand_tonnes,recycled_metal_domestic_demand_tonnes,recycled_metal_ce_rise_demand_tonnes,primary_metal_output_tonnes,recycled_metal_output_tonnes,external_metal_import_tonnes,tax_revenue_million_eur,support_expenditure_million_eur,household_transfer_million_eur,solver_elapsed_seconds,solver_attempts,sensitivity_profile,armington_elasticity,cet_transformation_elasticity,service_elasticity,eol_allocation_elasticity,eol_productivity_elasticity,material_substitution_elasticity,solver_valid,solver_message,profile_elapsed_seconds
virgin_metal_tax_tax_0_0025,virgin_metal_tax,0.0025,LOCALLY_INFEASIBLE,0.00013475565333564976,0,6.391781133142347e-13,0,tax_revenue,62.67430372546171,64.43782067298889,1.0281377987899487,5.0800879853542703e8,4.3207241728688616e8,2.5406039875004157e7,714694.0795441931,696361.765493122,38855.50150255092,4.411819558554906e8,714683.9844434201,6.6826847382288866e7,62.67430372546171,-3.488284620958889e-16,62.67430372546171,62.479289363,1,sensitivity_194,1.0,1.0,0.5,1.0,2.0,0.5,true,,563.700466236
virgin_metal_tax_tax_0_005,virgin_metal_tax,0.005,LOCALLY_INFEASIBLE,0.00021017522940525168,0,0.0,0,tax_revenue,125.34881472232892,1481.0946168899536,11.815784777629172,5.080073818786308e8,4.3207129893295234e8,2.540604779187762e7,714749.7763915561,696417.4623414237,38906.62793693355,4.4118150565522236e8,714739.6795130109,6.682681222563944e7,125.34881472232892,-2.2698218209166822e-14,125.348814722329,25.806362236,1,sensitivity_194,1.0,1.0,0.5,1.0,2.0,0.5,true,,563.700466236
virgin_metal_tax_tax_0_01,virgin_metal_tax,0.01,LOCALLY_INFEASIBLE,0.0004526480181263892,0,0.0,0,tax_revenue,250.6949555609758,2741.4973180294037,10.9355902750209,5.080061214759297e8,4.320699496775934e8,2.5405674865282003e7,714894.2626061089,696561.9485555069,39003.81786222756,4.4118125531589806e8,714884.1665317474,6.6826789813669644e7,250.6949555609758,-2.573070495039303e-14,250.69495556097593,41.195103723,1,sensitivity_194,1.0,1.0,0.5,1.0,2.0,0.5,true,,563.700466236
virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,0.000986224333187291,0,0.0,0,tax_revenue,501.58172950256994,9381.369341433048,18.70357070369522,5.079994816039063e8,4.320648821424559e8,2.5415127429832287e7,715268.2205580892,696935.9065133891,39259.0919782765,4.4117184775068414e8,715258.1226350619,6.682549137441733e7,501.58172950256994,-7.501163141892065e-13,501.5817295025714,280.970015201,8,sensitivity_194,1.0,1.0,0.5,1.0,2.0,0.5,true,,563.700466236
recycling_support_support_0_0025,recycling_support,-0.0025,ALMOST_LOCALLY_SOLVED,2.4565148259991787e-7,0,1.1740180328554473e-10,0,support_expenditure,0.09704369882385902,7.960749089717865,82.03262227429286,5.080088550124986e8,4.320725902618856e8,2.540614030617866e7,714688.8771719162,696356.5631207874,38856.212530202545,4.411820169067827e8,714678.7824155772,6.6826849211857185e7,9.686602967723774e-16,0.09704369882385902,-0.09704369882385709,4.747533409,1,sensitivity_194,1.0,1.0,0.5,1.0,2.0,0.5,true,,563.700466236
recycling_support_support_0_005,recycling_support,-0.005,ALMOST_LOCALLY_SOLVED,4.922066498824762e-7,0,2.8272022017650285e-10,0,support_expenditure,0.19433126264162992,9.30224722623825,47.867991489319486,5.080088536710005e8,4.3207258356137365e8,2.540613587360846e7,714737.1189867904,696404.8049347318,38904.92723664305,4.4118200958542466e8,714727.029304654,6.68268482128856e7,-1.5393875120175023e-16,0.19433126264162992,-0.1943312626416302,4.920276927,1,sensitivity_194,1.0,1.0,0.5,1.0,2.0,0.5,true,,563.700466236
recycling_support_support_0_01,recycling_support,-0.01,ALMOST_LOCALLY_SOLVED,9.87657477469206e-7,0,1.0810717223851934e-10,0,support_expenditure,0.3896431458485844,15.793662428855896,40.533659059906384,5.080088471795853e8,4.3207256732228565e8,2.5406115804599732e7,714834.161949044,696501.8478977788,39002.873380479505,4.411820026872517e8,714824.0679666046,6.6826847336380295e7,9.213028814274845e-16,0.3896431458485844,-0.3896431458485825,3.400224075,1,sensitivity_194,1.0,1.0,0.5,1.0,2.0,0.5,true,,563.700466236
recycling_support_support_0_02,recycling_support,-0.02,ALMOST_LOCALLY_SOLVED,2.0348299685224447e-6,0,0.0,0,support_expenditure,0.7832537226578383,52.84771132469177,67.47202061850668,5.080088101255364e8,4.320725077425213e8,2.5406057118723627e7,715029.7437403348,696697.4298600159,39200.87590112965,4.4118196067310554e8,715018.8958641062,6.682684216017605e7,7.639026960639714e-13,0.7832537226578383,-0.7832537226563105,4.0006814,1,sensitivity_194,1.0,1.0,0.5,1.0,2.0,0.5,true,,563.700466236
refurbishment_support_support_0_0025,refurbishment_support,-0.0025,ALMOST_LOCALLY_SOLVED,7.459740804887927e-6,0,9.34376088834871e-9,0,support_expenditure,43.98383276706313,-177.5735400915146,-4.037245708711607,5.080090405467878e8,4.320726250746336e8,2.5406445687176682e7,714642.1426943846,696309.8286428081,38807.86258427197,4.4118210644768983e8,714632.0474539548,6.682692526367279e7,1.0962371813099353e-14,43.98383276706313,-43.983832767063106,6.325287481,1,sensitivity_194,1.0,1.0,0.5,1.0,2.0,0.5,true,,563.700466236
refurbishment_support_support_0_005,refurbishment_support,-0.005,ALMOST_LOCALLY_SOLVED,1.7012766123522104e-5,0,9.991498500655532e-9,0,support_expenditure,88.09240677740337,-267.5252174139023,-3.0368703410487967,5.080091304984651e8,4.3207257499113214e8,2.540682474343433e7,714649.3956985263,696317.0816472609,38808.490153352956,4.4118208885774976e8,714639.3016194407,6.682702196459592e7,-1.0677514431309805e-14,88.09240677740337,-88.0924067774034,4.179701399,1,sensitivity_194,1.0,1.0,0.5,1.0,2.0,0.5,true,,563.700466236
