scenario,instrument,wedge,termination_status,max_scaled_residual,scaled_residuals_above_tolerance,max_bound_violation,bound_violations_above_tolerance,fiscal_basis_kind,fiscal_basis_million_eur,primary_metal_market_demand_reduction_tonnes,primary_metal_market_demand_reduction_per_million_eur,primary_metal_market_demand_tonnes,primary_metal_domestic_demand_tonnes,primary_metal_ce_rise_demand_tonnes,recycled_metal_market_demand_tonnes,recycled_metal_domestic_demand_tonnes,recycled_metal_ce_rise_demand_tonnes,primary_metal_output_tonnes,recycled_metal_output_tonnes,external_metal_import_tonnes,tax_revenue_million_eur,support_expenditure_million_eur,household_transfer_million_eur,solver_elapsed_seconds,solver_attempts,sensitivity_profile,armington_elasticity,cet_transformation_elasticity,service_elasticity,eol_allocation_elasticity,eol_productivity_elasticity,material_substitution_elasticity,solver_valid,solver_message,profile_elapsed_seconds
virgin_metal_tax_tax_0_0025,virgin_metal_tax,0.0025,LOCALLY_INFEASIBLE,6.971138670701949e-5,0,0.0,0,tax_revenue,62.671037201521244,1207.7348725795746,19.271020977298566,5.080076552383469e8,4.320715536497097e8,2.5404926496484067e7,714687.5534696017,696355.2394185277,38853.50877913057,4.411819204834624e8,714677.4583407945,6.682684543245197e7,62.671037201521244,1.5178829430825262e-15,62.671037201521244,21.873061244,1,sensitivity_093,2.0,0.5,1.0,0.5,1.0,0.5,true,,269.920987592
virgin_metal_tax_tax_0_005,virgin_metal_tax,0.005,LOCALLY_INFEASIBLE,0.00015494847837375345,0,0.0,0,tax_revenue,125.33156830141861,3177.428194105625,25.3521777248012,5.0800568554502535e8,4.320694627191769e8,2.5402692775229618e7,714754.2796890896,696421.9656387897,38896.71385094066,4.411818798471772e8,714744.1773151346,6.68268408524576e7,125.33156830141861,-5.447700248025062e-14,125.33156830141873,11.754028898,1,sensitivity_093,2.0,0.5,1.0,0.5,1.0,0.5,true,,269.920987592
virgin_metal_tax_tax_0_01,virgin_metal_tax,0.01,LOCALLY_INFEASIBLE,0.000338077073621867,0,0.0,0,tax_revenue,250.65852920890762,3541.3185614943504,14.128059287154322,5.0800532165465796e8,4.3206911544316363e8,2.540234751902405e7,714832.3001518332,696499.9861004347,38991.40394742902,4.4118181585602695e8,714822.2180184021,6.682683021523951e7,250.65852920890762,1.6864330320323684e-13,250.65852920890728,15.578056127,1,sensitivity_093,2.0,0.5,1.0,0.5,1.0,0.5,true,,269.920987592
virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,0.0005644505551870198,0,0.0,0,tax_revenue,501.40017696190154,6982.342926263809,13.925688994709622,5.080018806302932e8,4.320650444885519e8,2.5403402624370832e7,715061.8598329258,696729.5456783266,39235.59799187316,4.411778492666636e8,715052.1089582148,6.6826329628336444e7,501.40017696190154,5.624868436169578e-13,501.4001769619004,12.998248134,1,sensitivity_093,2.0,0.5,1.0,0.5,1.0,0.5,true,,269.920987592
recycling_support_support_0_0025,recycling_support,-0.0025,ALMOST_LOCALLY_SOLVED,1.8554883309739875e-7,0,2.754759713356871e-16,0,support_expenditure,0.09704372895067176,7.40693587064743,76.32575490181797,5.080088555662836e8,4.320725958298249e8,2.5406156436435215e7,714689.3169443633,696357.0028933084,38856.27439887813,4.411820110507291e8,714679.2217791544,6.6826854423996985e7,-6.161353557464847e-16,0.09704372895067176,-0.09704372895067301,2.584834174,1,sensitivity_093,2.0,0.5,1.0,0.5,1.0,0.5,true,,269.920987592
recycling_support_support_0_005,recycling_support,-0.005,ALMOST_LOCALLY_SOLVED,3.7343412182830986e-7,0,1.173763034289084e-10,0,support_expenditure,0.19433128703139407,-0.3030244708061218,-1.5593190136036532,5.080088632762439e8,4.320726017415399e8,2.540617286584964e7,714738.0308902098,696405.7168387602,38905.03420299274,4.411820123778658e8,714727.937264751,6.682686199685948e7,1.6577575210710171e-15,0.19433128703139407,-0.1943312870313908,2.402712398,1,sensitivity_093,2.0,0.5,1.0,0.5,1.0,0.5,true,,269.920987592
recycling_support_support_0_01,recycling_support,-0.01,ALMOST_LOCALLY_SOLVED,1.670813392855994e-6,0,0.0,0,support_expenditure,0.3896432941876787,30.578220546245575,78.47747158075568,5.080088323949989e8,4.32072573706405e8,2.5406155163447287e7,714835.9898141113,696503.6757630953,39003.094288942884,4.4118196591016626e8,714825.8945074317,6.682688138380166e7,1.3498167739914771e-15,0.3896432941876787,-0.389643294187676,2.567799117,1,sensitivity_093,2.0,0.5,1.0,0.5,1.0,0.5,true,,269.920987592
recycling_support_support_0_02,recycling_support,-0.02,ALMOST_LOCALLY_SOLVED,4.370588689341871e-6,0,4.201763758871764e-10,0,support_expenditure,0.7832554942601779,108.04172962903976,137.93931918867716,5.080087549314898e8,4.320725025224354e8,2.5406125819070943e7,715035.5913003538,696703.2772493407,39201.5157053006,4.4118187705605507e8,715025.4959559141,6.682689118383248e7,1.0913129891349253e-15,0.7832554942601779,-0.7832554942601757,2.968949712,1,sensitivity_093,2.0,0.5,1.0,0.5,1.0,0.5,true,,269.920987592
refurbishment_support_support_0_0025,refurbishment_support,-0.0025,ALMOST_LOCALLY_SOLVED,1.5810593933039814e-5,0,9.983536147868636e-9,0,support_expenditure,44.03164603663035,354.9698277115822,8.061697884659578,5.0800850800339174e8,4.3207224900168705e8,2.5406477829952843e7,714639.9117085346,696307.5976576447,38808.84402475625,4.411814395096739e8,714629.8161855399,6.682707225372381e7,-3.405186986661563e-14,44.03164603663035,-44.03164603663041,3.214555682,1,sensitivity_093,2.0,0.5,1.0,0.5,1.0,0.5,true,,269.920987592
refurbishment_support_support_0_005,refurbishment_support,-0.005,ALMOST_LOCALLY_SOLVED,3.3520529302214354e-5,0,7.848710664076517e-9,0,support_expenditure,88.28430254151398,851.2451922893524,9.64209001808754,5.0800801172802716e8,4.32071763441727e8,2.5406516467564054e7,714647.5323423231,696315.2182913052,38808.99994358023,4.411808091208323e8,714637.4372777824,6.682720253605525e7,-3.7809172813930876e-14,88.28430254151398,-88.28430254151405,2.85721662,1,sensitivity_093,2.0,0.5,1.0,0.5,1.0,0.5,true,,269.920987592
