scenario,instrument,wedge,termination_status,max_scaled_residual,scaled_residuals_above_tolerance,max_bound_violation,bound_violations_above_tolerance,fiscal_basis_kind,fiscal_basis_million_eur,primary_metal_market_demand_reduction_tonnes,primary_metal_market_demand_reduction_per_million_eur,primary_metal_market_demand_tonnes,primary_metal_domestic_demand_tonnes,primary_metal_ce_rise_demand_tonnes,recycled_metal_market_demand_tonnes,recycled_metal_domestic_demand_tonnes,recycled_metal_ce_rise_demand_tonnes,primary_metal_output_tonnes,recycled_metal_output_tonnes,external_metal_import_tonnes,tax_revenue_million_eur,support_expenditure_million_eur,household_transfer_million_eur,solver_elapsed_seconds,solver_attempts,sensitivity_profile,armington_elasticity,cet_transformation_elasticity,service_elasticity,eol_allocation_elasticity,eol_productivity_elasticity,material_substitution_elasticity,solver_valid,solver_message,profile_elapsed_seconds
virgin_metal_tax_tax_0_0025,virgin_metal_tax,0.0025,LOCALLY_INFEASIBLE,8.558138562520806e-5,0,0.0,0,tax_revenue,62.674327041585784,24.84763079881668,0.39645628396344385,5.080088381255882e8,4.320725815557383e8,2.5406133235540923e7,714696.0048338581,696363.6907842892,38855.48649190253,4.4118202336093694e8,714685.8962880196,6.6826850071352474e7,62.674327041585784,7.063726832201824e-13,62.67432704158437,14.757046897,1,sensitivity_003,2.0,0.5,0.5,0.5,0.5,0.5,true,,277.965482468
virgin_metal_tax_tax_0_005,virgin_metal_tax,0.005,LOCALLY_INFEASIBLE,0.00012907694678674188,0,0.0,0,tax_revenue,125.33482806501534,2684.2369236946106,21.41652855104415,5.080061787362953e8,4.320698209482332e8,2.5403208745257284e7,714733.640243591,696401.326195074,38897.83234840932,4.4118194095440435e8,714723.5153607847,6.682683951776537e7,125.33482806501534,3.119045701987381e-13,125.33482806501472,11.34546195,1,sensitivity_003,2.0,0.5,0.5,0.5,0.5,0.5,true,,277.965482468
virgin_metal_tax_tax_0_01,virgin_metal_tax,0.01,LOCALLY_INFEASIBLE,0.00021710793837755743,0,0.0,0,tax_revenue,250.66328450496067,4013.834782719612,16.012854816957358,5.0800484913843626e8,4.3206853464465743e8,2.5402202386861667e7,714837.18553577,696504.8714798412,38995.555482159456,4.411810035450853e8,714827.1449829086,6.682671400201296e7,250.66328450496067,4.641591425690293e-13,250.66328450495973,15.671993911,1,sensitivity_003,2.0,0.5,0.5,0.5,0.5,0.5,true,,277.965482468
virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,0.0005063834999953938,0,9.833423615685027e-9,0,tax_revenue,501.1910107482546,9875.587118327618,19.704238317410823,5.0799898738610065e8,4.320627978169993e8,2.5395957714126922e7,715003.1738370486,696670.8597862343,39173.53692800715,4.4118088809718454e8,714993.0769193277,6.682669306302088e7,501.1910107482546,-1.0165744058795906e-13,501.1910107482548,22.674705913,1,sensitivity_003,2.0,0.5,0.5,0.5,0.5,0.5,true,,277.965482468
recycling_support_support_0_0025,recycling_support,-0.0025,ALMOST_LOCALLY_SOLVED,1.8544777413453883e-7,0,4.106161991449434e-13,0,support_expenditure,0.0970437168373772,12.779449224472046,131.68754908560896,5.0800885019376975e8,4.320725909551479e8,2.5406151705208186e7,714689.3153596543,696357.0013085908,38856.270187941554,4.4118200753487074e8,714679.2202250217,6.6826853970972426e7,-1.5635972144427982e-16,0.0970437168373772,-0.0970437168373775,4.044769318,1,sensitivity_003,2.0,0.5,0.5,0.5,0.5,0.5,true,,277.965482468
recycling_support_support_0_005,recycling_support,-0.005,ALMOST_LOCALLY_SOLVED,3.726821357501869e-7,0,0.0,0,support_expenditure,0.19433136977678167,8.92047268152237,45.90341071422927,5.080088540527463e8,4.320725942330936e8,2.5406167883443166e7,714738.0467118782,696405.7326608789,38905.051782546165,4.411820011605289e8,714727.951306148,6.6826856401723824e7,2.2888760285181123e-15,0.19433136977678167,-0.19433136977677706,3.893836354,1,sensitivity_003,2.0,0.5,0.5,0.5,0.5,0.5,true,,277.965482468
recycling_support_support_0_01,recycling_support,-0.01,ALMOST_LOCALLY_SOLVED,2.0702670148958355e-6,0,2.909917826818001e-10,0,support_expenditure,0.3896435654708948,37.03119844198227,95.038649996001,5.0800882594202054e8,4.320725677532898e8,2.540615543124048e7,714836.0108698667,696503.696817317,39003.12399543978,4.4118196519806945e8,714825.9214573007,6.682687056001577e7,3.3626411927459656e-15,0.3896435654708948,-0.3896435654708881,4.161523838,1,sensitivity_003,2.0,0.5,0.5,0.5,0.5,0.5,true,,277.965482468
recycling_support_support_0_02,recycling_support,-0.02,LOCALLY_INFEASIBLE,6.959268806212909e-6,0,0.0,0,support_expenditure,0.7832551443370581,135.3866355419159,172.85125609549138,5.0800872758658344e8,4.3207248375037193e8,2.5406115197464086e7,715034.5383052448,696702.2242541737,39201.54036552877,4.411818713378022e8,715024.4431927397,6.6826883203728616e7,-1.4523171714559477e-15,0.7832551443370581,-0.7832551443370612,32.905587267,1,sensitivity_003,2.0,0.5,0.5,0.5,0.5,0.5,true,,277.965482468
refurbishment_support_support_0_0025,refurbishment_support,-0.0025,ALMOST_LOCALLY_SOLVED,1.534531198872566e-5,0,9.993873095385564e-9,0,support_expenditure,43.98396582143109,49.67852824926376,1.1294690535853866,5.080088132946907e8,4.320725133702351e8,2.5406587430495154e7,714640.1779787175,696307.863928041,38808.440155032695,4.4118175509191394e8,714630.0819239218,6.6827058371530004e7,-2.507599817258695e-14,43.98396582143109,-43.98396582143114,3.182585634,1,sensitivity_003,2.0,0.5,0.5,0.5,0.5,0.5,true,,277.965482468
refurbishment_support_support_0_005,refurbishment_support,-0.005,ALMOST_LOCALLY_SOLVED,1.825378787254091e-5,0,9.97280978355393e-9,0,support_expenditure,88.09286720324283,718.034061551094,8.150876278036074,5.080081449391574e8,4.320718807952736e8,2.5406373947128233e7,714638.0018816653,696305.6878307206,38807.84901001615,4.4118092826202244e8,714627.9063194812,6.682722270941961e7,1.5807653425341592e-13,88.09286720324283,-88.09286720324252,5.948728684,1,sensitivity_003,2.0,0.5,0.5,0.5,0.5,0.5,true,,277.965482468
