scenario,instrument,wedge,termination_status,max_scaled_residual,scaled_residuals_above_tolerance,max_bound_violation,bound_violations_above_tolerance,fiscal_basis_kind,fiscal_basis_million_eur,primary_metal_market_demand_reduction_tonnes,primary_metal_market_demand_reduction_per_million_eur,primary_metal_market_demand_tonnes,primary_metal_domestic_demand_tonnes,primary_metal_ce_rise_demand_tonnes,recycled_metal_market_demand_tonnes,recycled_metal_domestic_demand_tonnes,recycled_metal_ce_rise_demand_tonnes,primary_metal_output_tonnes,recycled_metal_output_tonnes,external_metal_import_tonnes,tax_revenue_million_eur,support_expenditure_million_eur,household_transfer_million_eur,solver_elapsed_seconds,solver_attempts,sensitivity_profile,armington_elasticity,cet_transformation_elasticity,service_elasticity,eol_allocation_elasticity,eol_productivity_elasticity,material_substitution_elasticity,solver_valid,solver_message,profile_elapsed_seconds
virgin_metal_tax_tax_0_0025,virgin_metal_tax,0.0025,LOCALLY_INFEASIBLE,8.618863891002522e-5,0,0.0,0,tax_revenue,62.673384298094106,429.04308289289474,6.8456983406581715,5.080084339301472e8,4.3207215297894025e8,2.5405691420388784e7,714832.5908205735,696500.276769987,38998.2490714518,4.411820065363828e8,714822.488959311,6.682684851195558e7,62.673384298094106,-3.423517896482419e-14,62.67338429809416,31.767225859,1,sensitivity_704,1.0,0.5,0.5,2.0,2.0,2.0,true,,761.56937079
virgin_metal_tax_tax_0_005,virgin_metal_tax,0.005,LOCALLY_INFEASIBLE,0.0001388629670182002,0,0.0,0,tax_revenue,125.35217630201765,2437.4471939206123,19.44479358737212,5.0800642552603614e8,4.320699695376013e8,2.5406666524455596e7,715040.7919145613,696708.4778656904,39195.525199175616,4.4117997418961275e8,715030.686440622,6.682683408920752e7,125.35217630201765,4.604997932295248e-14,125.35217630201754,150.826324471,3,sensitivity_704,1.0,0.5,0.5,2.0,2.0,2.0,true,,761.56937079
virgin_metal_tax_tax_0_01,virgin_metal_tax,0.01,LOCALLY_INFEASIBLE,0.0002482702358519334,0,0.0,0,tax_revenue,250.735255835511,4311.140634655952,17.19399459916469,5.080045518325954e8,4.3206813157367766e8,2.5409482600221843e7,715475.4457729084,697143.1317098223,39604.67957852338,4.4117928170002526e8,715465.3550521525,6.682677433432821e7,250.735255835511,-1.0267320088581025e-13,250.73525583551123,68.46503777,3,sensitivity_704,1.0,0.5,0.5,2.0,2.0,2.0,true,,761.56937079
virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,0.0005326491252900016,0,7.812982469750807e-9,0,tax_revenue,501.6311695114108,4592.7282373309135,9.155587843164202,5.0800427024499273e8,4.3206820137471265e8,2.5417458076878767e7,716642.5293850614,698310.2153339626,40447.19071242115,4.411777175686378e8,716632.4346025813,6.682660899920906e7,501.6311695114108,-8.3348223401535e-15,501.6311695114108,386.87904629100007,13,sensitivity_704,1.0,0.5,0.5,2.0,2.0,2.0,true,,761.56937079
recycling_support_support_0_0025,recycling_support,-0.0025,ALMOST_LOCALLY_SOLVED,1.856418633621195e-7,0,1.5688635350717542e-12,0,support_expenditure,0.09740876790995548,51.32088005542755,526.8609916395667,5.0800881165235e8,4.3207255699701375e8,2.540611644122763e7,714835.6739838434,696503.3599327906,39002.303217127264,4.4118197274811447e8,714825.5788050017,6.68268483157181e7,4.077647399268918e-17,0.09740876790995548,-0.0974087679099554,3.228566245,1,sensitivity_704,1.0,0.5,0.5,2.0,2.0,2.0,true,,761.56937079
recycling_support_support_0_005,recycling_support,-0.005,ALMOST_LOCALLY_SOLVED,3.7484181712203e-7,0,7.661858604206773e-9,0,support_expenditure,0.1957976332038433,103.65402710437775,529.3936673711698,5.0800875931920296e8,4.3207251010496885e8,2.540607505972442e7,715032.0498714664,696699.7358073657,39198.33353660717,4.411819199520397e8,715022.0163059894,6.6826847691748045e7,-6.380681680956662e-15,0.1957976332038433,-0.19579763320385607,4.323388721,1,sensitivity_704,1.0,0.5,0.5,2.0,2.0,2.0,true,,761.56937079
recycling_support_support_0_01,recycling_support,-0.01,ALMOST_LOCALLY_SOLVED,1.5603991734394678e-6,0,0.0,0,support_expenditure,0.3955583751301275,260.50076949596405,658.5646667455004,5.0800860247246057e8,4.320723598601069e8,2.5405900760373946e7,715429.6353824314,697097.3213313837,39594.65661535707,4.411818301583441e8,715419.5399258456,6.682685748086118e7,1.5524692928613838e-14,0.3955583751301275,-0.3955583751300964,5.431217398,1,sensitivity_704,1.0,0.5,0.5,2.0,2.0,2.0,true,,761.56937079
recycling_support_support_0_02,recycling_support,-0.02,ALMOST_LOCALLY_SOLVED,3.6116513613126955e-6,0,1.749771873062569e-9,0,support_expenditure,0.8073547593677265,570.9238596558571,707.1536434651994,5.080082920493704e8,4.320720978357629e8,2.5405768528389424e7,716244.3829460478,697912.0688949694,40406.589595930316,4.411814539661147e8,716234.2880174353,6.682681244270899e7,-7.389577783201132e-15,0.8073547593677265,-0.8073547593677414,3.933568103,1,sensitivity_704,1.0,0.5,0.5,2.0,2.0,2.0,true,,761.56937079
refurbishment_support_support_0_0025,refurbishment_support,-0.0025,ALMOST_LOCALLY_SOLVED,8.0004768240542e-6,0,9.15391751374742e-9,0,support_expenditure,43.9839525077613,-105.89568829536438,-2.407598277500829,5.0800896886891836e8,4.3207263282798195e8,2.5406498668875873e7,714642.1315841976,696309.8175331185,38807.96837856764,4.4118203197471267e8,714632.0366011981,6.682693228936285e7,9.710771613371296e-16,43.9839525077613,-43.983952507761295,5.72641482,1,sensitivity_704,1.0,0.5,0.5,2.0,2.0,2.0,true,,761.56937079
refurbishment_support_support_0_005,refurbishment_support,-0.005,ALMOST_LOCALLY_SOLVED,1.8793908206196427e-5,0,0.0,0,support_expenditure,88.09281906946553,188.85720264911652,2.1438433307508675,5.080086741160274e8,4.3207224923786354e8,2.540682278463671e7,714649.8355292686,696317.5214805034,38808.565750390524,4.411818279002103e8,714639.7357936532,6.6827044298583515e7,-1.9726790422070967e-11,88.09281906946553,-88.092819069505,19.29398022,1,sensitivity_704,1.0,0.5,0.5,2.0,2.0,2.0,true,,761.56937079
