scenario,instrument,wedge,termination_status,max_scaled_residual,scaled_residuals_above_tolerance,max_bound_violation,bound_violations_above_tolerance,fiscal_basis_kind,fiscal_basis_million_eur,primary_metal_market_demand_reduction_tonnes,primary_metal_market_demand_reduction_per_million_eur,primary_metal_market_demand_tonnes,primary_metal_domestic_demand_tonnes,primary_metal_ce_rise_demand_tonnes,recycled_metal_market_demand_tonnes,recycled_metal_domestic_demand_tonnes,recycled_metal_ce_rise_demand_tonnes,primary_metal_output_tonnes,recycled_metal_output_tonnes,external_metal_import_tonnes,tax_revenue_million_eur,support_expenditure_million_eur,household_transfer_million_eur,solver_elapsed_seconds,solver_attempts,sensitivity_profile,armington_elasticity,cet_transformation_elasticity,service_elasticity,eol_allocation_elasticity,eol_productivity_elasticity,material_substitution_elasticity,solver_valid,solver_message,profile_elapsed_seconds
virgin_metal_tax_tax_0_0025,virgin_metal_tax,0.0025,LOCALLY_INFEASIBLE,8.609597062362563e-5,0,0.0,0,tax_revenue,62.67151385280573,919.499668776989,14.671732215318492,5.0800794347355294e8,4.320717136603937e8,2.5405156740089662e7,714854.9134310412,696522.5993798587,38996.91479640295,4.4118202576277906e8,714844.8202228763,6.682684976596881e7,62.67151385280573,2.8271070868252446e-14,62.67151385280567,12.266479363,1,sensitivity_669,2.0,0.5,2.0,0.5,2.0,2.0,true,,143.204554825
virgin_metal_tax_tax_0_005,virgin_metal_tax,0.005,ALMOST_LOCALLY_SOLVED,8.082006668378385e-5,0,0.0,0,tax_revenue,125.3516455113306,2294.08875477314,18.301225687266914,5.0800656888446695e8,4.320705736019649e8,2.5406482918151e7,715037.5410400378,696705.2250796728,39201.41376154861,4.4117996908328825e8,715031.9659392228,6.6826660062152445e7,125.3516455113306,-9.240219131535464e-10,125.35164551317865,4.848039654,1,sensitivity_669,2.0,0.5,2.0,0.5,2.0,2.0,true,,143.204554825
virgin_metal_tax_tax_0_01,virgin_metal_tax,0.01,LOCALLY_INFEASIBLE,0.00022990085797367797,0,0.0,0,tax_revenue,250.67450760174626,6651.258677840233,26.53344666545542,5.080022117145439e8,4.320662652827317e8,2.5403791386747897e7,715396.643972946,697064.3299228931,39582.01683720775,4.411792164777068e8,715386.5444734506,6.682656242059257e7,250.67450760174626,-1.6509754497007787e-13,250.6745076017466,19.825250973,1,sensitivity_669,2.0,0.5,2.0,0.5,2.0,2.0,true,,143.204554825
virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,0.0006794448531546443,0,0.0,0,tax_revenue,501.2132141151818,20443.03786724806,40.78710874240863,5.079884199353545e8,4.320548808362731e8,2.539721459933761e7,716428.2423102574,698095.9282820113,40342.86605551006,4.411668961274773e8,716417.7964277563,6.682535591605294e7,501.2132141151818,-2.269258185850238e-13,501.2132141151823,24.969284743,1,sensitivity_669,2.0,0.5,2.0,0.5,2.0,2.0,true,,143.204554825
recycling_support_support_0_0025,recycling_support,-0.0025,ALMOST_LOCALLY_SOLVED,1.0054297696889199e-6,0,0.0,0,support_expenditure,0.09740860304462053,30.95887178182602,317.82482054120527,5.0800883201434994e8,4.3207257421793365e8,2.540609105211742e7,714835.9331851238,696503.6190291914,39002.24350606275,4.411819946227647e8,714826.3734126545,6.682684593262866e7,2.5837456983994203e-13,0.09740860304462053,-0.0974086030441038,3.891128567,1,sensitivity_669,2.0,0.5,2.0,0.5,2.0,2.0,true,,143.204554825
recycling_support_support_0_005,recycling_support,-0.005,ALMOST_LOCALLY_SOLVED,5.621691927678536e-7,0,3.880536010754393e-10,0,support_expenditure,0.19579774285912716,104.33690285682678,532.8810298487213,5.0800875863631886e8,4.3207251062301916e8,2.540608478581366e7,715031.6351905521,696699.3211390647,39198.32180198436,4.411819127812277e8,715021.5420975252,6.6826854175640024e7,-3.550610102516782e-15,0.19579774285912716,-0.19579774285913423,4.809751871,1,sensitivity_669,2.0,0.5,2.0,0.5,2.0,2.0,true,,143.204554825
recycling_support_support_0_01,recycling_support,-0.01,ALMOST_LOCALLY_SOLVED,9.764685194015408e-7,0,4.0548557770523717e-10,0,support_expenditure,0.3955631280359134,310.48551815748215,784.920272268888,5.0800855248770356e8,4.320723315198753e8,2.5405995298342712e7,715433.5195566575,697101.2055057115,39595.069335289125,4.4118166323099685e8,715423.4238394988,6.682693721026773e7,4.183916528599348e-15,0.3955631280359134,-0.3955631280359051,4.397378362,1,sensitivity_669,2.0,0.5,2.0,0.5,2.0,2.0,true,,143.204554825
recycling_support_support_0_02,recycling_support,-0.02,ALMOST_LOCALLY_SOLVED,5.158263235882642e-6,0,0.0,0,support_expenditure,0.807349449359903,593.1568442583084,734.6965365847285,5.0800826981637746e8,4.3207208027510595e8,2.5405745196525514e7,716254.3395659667,697922.0255148899,40406.19608336225,4.411814255659068e8,716244.2445242841,6.682684694736695e7,-9.821441824069478e-16,0.807349449359903,-0.8073494493599049,6.166961775,1,sensitivity_669,2.0,0.5,2.0,0.5,2.0,2.0,true,,143.204554825
refurbishment_support_support_0_0025,refurbishment_support,-0.0025,ALMOST_LOCALLY_SOLVED,1.9076958307596517e-5,0,5.241879390835957e-9,0,support_expenditure,44.12717682815462,1126.780867278576,25.534850590297722,5.0800773619235444e8,4.320715889330673e8,2.5406760962418046e7,714641.104846755,696308.7907948713,38812.30699769987,4.411804271089194e8,714631.014683695,6.6826958444146834e7,-9.043087628400465e-14,44.12717682815462,-44.127176828154795,4.966071218,1,sensitivity_669,2.0,0.5,2.0,0.5,2.0,2.0,true,,143.204554825
refurbishment_support_support_0_005,refurbishment_support,-0.005,ALMOST_LOCALLY_SOLVED,2.1612077919462236e-5,0,9.738094446836178e-9,0,support_expenditure,88.6681528758917,1784.0589638352394,20.120628500430996,5.080070789142579e8,4.320709450478271e8,2.5406284985936567e7,714639.8532263726,696307.5391736219,38811.57584563233,4.4118018580839574e8,714629.7688329236,6.6827000999913454e7,-1.463161532800908e-12,88.6681528758917,-88.66815287589462,4.419110069,1,sensitivity_669,2.0,0.5,2.0,0.5,2.0,2.0,true,,143.204554825
