scenario,instrument,wedge,termination_status,max_scaled_residual,scaled_residuals_above_tolerance,max_bound_violation,bound_violations_above_tolerance,fiscal_basis_kind,fiscal_basis_million_eur,primary_metal_market_demand_reduction_tonnes,primary_metal_market_demand_reduction_per_million_eur,primary_metal_market_demand_tonnes,primary_metal_domestic_demand_tonnes,primary_metal_ce_rise_demand_tonnes,recycled_metal_market_demand_tonnes,recycled_metal_domestic_demand_tonnes,recycled_metal_ce_rise_demand_tonnes,primary_metal_output_tonnes,recycled_metal_output_tonnes,external_metal_import_tonnes,tax_revenue_million_eur,support_expenditure_million_eur,household_transfer_million_eur,solver_elapsed_seconds,solver_attempts,sensitivity_profile,armington_elasticity,cet_transformation_elasticity,service_elasticity,eol_allocation_elasticity,eol_productivity_elasticity,material_substitution_elasticity,solver_valid,solver_message,profile_elapsed_seconds
virgin_metal_tax_tax_0_0025,virgin_metal_tax,0.0025,LOCALLY_INFEASIBLE,8.630355607537938e-5,0,0.0,0,tax_revenue,62.673950287573106,181.31299793720245,2.8929562777719617,5.080086816602242e8,4.320724307415172e8,2.54059719660787e7,714833.6389073255,696501.3248561465,38998.89016351875,4.4118202336907625e8,714823.5433420517,6.6826849937837e7,62.673950287573106,2.4033935136870195e-14,62.67395028757306,16.404539906,1,sensitivity_516,2.0,0.5,0.5,1.0,0.5,2.0,true,,220.273706425
virgin_metal_tax_tax_0_005,virgin_metal_tax,0.005,LOCALLY_INFEASIBLE,0.00017270516646141173,0,0.0,0,tax_revenue,125.33943073298231,8218.616118133068,65.57087478434183,5.08000644357104e8,4.3206545598449427e8,2.5404297799485948e7,715014.5157207141,696682.2016718627,39187.664480785475,4.4117593314346683e8,715004.408584499,6.6825858836245425e7,125.33943073298231,6.934845979378967e-14,125.33943073298217,20.334471323,1,sensitivity_516,2.0,0.5,0.5,1.0,0.5,2.0,true,,220.273706425
virgin_metal_tax_tax_0_01,virgin_metal_tax,0.01,LOCALLY_INFEASIBLE,0.0007352635834383392,0,0.0,0,tax_revenue,250.65834630315106,20067.290115773678,80.05833602486113,5.0798879568310636e8,4.320553800755466e8,2.5403257505513947e7,715249.9432642814,696917.6304912093,39564.70821399441,4.4116596870111614e8,715231.1932042164,6.682448742784648e7,250.65834630315106,3.208733430508179e-11,250.6583463030869,48.281509145,1,sensitivity_516,2.0,0.5,0.5,1.0,0.5,2.0,true,,220.273706425
virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,0.000688659330811019,0,0.0,0,tax_revenue,501.2198622693718,16570.247208714485,33.05983752058313,5.079922927260134e8,4.320582710784189e8,2.5397895499104403e7,716132.3347141008,697800.0206594579,40338.59499280734,4.411706883591069e8,716122.2824330216,6.6825140426286146e7,501.2198622693718,1.2253347768615996e-13,501.21986226937156,39.404646616,1,sensitivity_516,2.0,0.5,0.5,1.0,0.5,2.0,true,,220.273706425
recycling_support_support_0_0025,recycling_support,-0.0025,ALMOST_LOCALLY_SOLVED,1.8629935372329038e-7,0,1.3376558328347633e-13,0,support_expenditure,0.09740883731342832,48.42099738121033,497.090394636455,5.0800881455222476e8,4.3207255947829056e8,2.5406135265720367e7,714835.3612111956,696503.0471601246,39002.31787014255,4.41181975484607e8,714825.2660574876,6.6826853568284705e7,9.682801660468068e-16,0.09740883731342832,-0.0974088373134264,5.600824677,1,sensitivity_516,2.0,0.5,0.5,1.0,0.5,2.0,true,,220.273706425
recycling_support_support_0_005,recycling_support,-0.005,ALMOST_LOCALLY_SOLVED,5.41639284334372e-5,0,2.6684526052562926e-9,0,support_expenditure,0.195666645876608,96.27252161502838,492.0231610437075,5.080087667007005e8,4.3207251816047096e8,2.540608667598106e7,715031.0483171102,696698.734244033,39198.10206131278,4.411819144279106e8,715021.0510051614,6.682685970177171e7,4.1012044058309876e-14,0.195666645876608,-0.19566664587652602,4.806947942,1,sensitivity_516,2.0,0.5,0.5,1.0,0.5,2.0,true,,220.273706425
recycling_support_support_0_01,recycling_support,-0.01,ALMOST_LOCALLY_SOLVED,9.658817580481911e-7,0,3.200680432230053e-13,0,support_expenditure,0.395562500768001,243.59985476732254,615.8315166234497,5.0800861937336737e8,4.3207239000995404e8,2.5405998811943986e7,715427.7638669888,697095.4498153937,39595.014546074926,4.411817515257084e8,715417.6734741839,6.682684462068755e7,-2.1166867446806785e-15,0.395562500768001,-0.3955625007680052,4.126942634,1,sensitivity_516,2.0,0.5,0.5,1.0,0.5,2.0,true,,220.273706425
recycling_support_support_0_02,recycling_support,-0.02,ALMOST_LOCALLY_SOLVED,2.7067051138733232e-6,0,0.0,0,support_expenditure,0.807358962016534,577.9653226733208,715.8715637834024,5.0800828500789946e8,4.3207209956351894e8,2.540581832080843e7,716261.2190543577,697928.9050033733,40406.68474839561,4.4118136847632897e8,716251.1237848185,6.68268867734599e7,4.438482296231495e-14,0.807358962016534,-0.8073589620164452,3.909232005,1,sensitivity_516,2.0,0.5,0.5,1.0,0.5,2.0,true,,220.273706425
refurbishment_support_support_0_0025,refurbishment_support,-0.0025,ALMOST_LOCALLY_SOLVED,1.0699790862869519e-5,0,9.98637126746998e-9,0,support_expenditure,43.983959627338784,16.07907325029373,0.3655667517551008,5.080088468941489e8,4.3207254069163585e8,2.540662427693314e7,714640.6948499803,696308.3807990571,38808.62927291342,4.411818186515874e8,714630.5994879999,6.682700554457142e7,4.611577758261661e-12,43.983959627338784,-43.98395962732956,5.74895958,1,sensitivity_516,2.0,0.5,0.5,1.0,0.5,2.0,true,,220.273706425
refurbishment_support_support_0_005,refurbishment_support,-0.005,ALMOST_LOCALLY_SOLVED,2.1589745214052074e-5,0,9.985386842373449e-9,0,support_expenditure,88.09291961804252,134.10090118646622,1.5222665086809168,5.0800872887232095e8,4.320723905102514e8,2.5406977126569655e7,714640.2732267035,696307.9591756382,38809.26384533751,4.4118150402629626e8,714630.1782058743,6.682718472793771e7,-6.209635485761963e-14,88.09291961804252,-88.09291961804264,4.004310243,1,sensitivity_516,2.0,0.5,0.5,1.0,0.5,2.0,true,,220.273706425
