scenario,instrument,wedge,termination_status,max_scaled_residual,scaled_residuals_above_tolerance,max_bound_violation,bound_violations_above_tolerance,fiscal_basis_kind,fiscal_basis_million_eur,primary_metal_market_demand_reduction_tonnes,primary_metal_market_demand_reduction_per_million_eur,primary_metal_market_demand_tonnes,primary_metal_domestic_demand_tonnes,primary_metal_ce_rise_demand_tonnes,recycled_metal_market_demand_tonnes,recycled_metal_domestic_demand_tonnes,recycled_metal_ce_rise_demand_tonnes,primary_metal_output_tonnes,recycled_metal_output_tonnes,external_metal_import_tonnes,tax_revenue_million_eur,support_expenditure_million_eur,household_transfer_million_eur,solver_elapsed_seconds,solver_attempts,sensitivity_profile,armington_elasticity,cet_transformation_elasticity,service_elasticity,eol_allocation_elasticity,eol_productivity_elasticity,material_substitution_elasticity,solver_valid,solver_message,profile_elapsed_seconds
virgin_metal_tax_tax_0_0025,virgin_metal_tax,0.0025,LOCALLY_INFEASIBLE,0.0001340160369520671,0,0.0,0,tax_revenue,62.674388826474605,5.2712021470069885,0.08410456401260276,5.080088577020172e8,4.3207259006578493e8,2.5406129628007043e7,714689.2555226745,696356.9414715713,38855.441638541975,4.411820212397519e8,714679.1605676091,6.682685019188509e7,62.674388826474605,1.7433563075390393e-14,62.67438882647457,13.38999374,1,sensitivity_049,0.5,1.0,2.0,1.0,0.5,0.5,true,,186.979813646
virgin_metal_tax_tax_0_005,virgin_metal_tax,0.005,LOCALLY_INFEASIBLE,0.00026274729484943027,0,0.0,0,tax_revenue,125.34886162530997,-19.023416876792908,-0.1517637785467672,5.080088819966362e8,4.320726166444745e8,2.540615670497245e7,714738.0057412909,696405.6916907246,38903.25643930521,4.411820214333154e8,714727.9147537384,6.6826850188179135e7,125.34886162530997,8.583799433499266e-13,125.34886162530825,9.934278831,1,sensitivity_049,0.5,1.0,2.0,1.0,0.5,0.5,true,,186.979813646
virgin_metal_tax_tax_0_01,virgin_metal_tax,0.01,LOCALLY_INFEASIBLE,0.0005216551576507911,0,0.0,0,tax_revenue,250.69421097129964,206.7003555893898,0.8245118815809177,5.0800865627286375e8,4.320723763880191e8,2.540590109415451e7,714831.1518474902,696498.8377958995,38997.98407226782,4.4118201878859067e8,714821.0964472061,6.6826850101357415e7,250.69421097129964,1.5394997070551546e-12,250.69421097129663,13.501286162,1,sensitivity_049,0.5,1.0,2.0,1.0,0.5,0.5,true,,186.979813646
virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,0.0007990721996282579,0,0.0,0,tax_revenue,501.3583785097396,782.8968026041985,1.5615512498889845,5.0800808007641673e8,4.3207167993036443e8,2.5405085335685797e7,715010.4706699366,696678.1567024017,39187.334754878844,4.411819645017065e8,714995.8125754518,6.682684845990121e7,501.3583785097396,5.294910403470953e-12,501.358378509729,73.88924563399999,5,sensitivity_049,0.5,1.0,2.0,1.0,0.5,0.5,true,,186.979813646
recycling_support_support_0_0025,recycling_support,-0.0025,ALMOST_LOCALLY_SOLVED,2.406607729765753e-7,0,1.8872037451087292e-10,0,support_expenditure,0.09704362744568275,10.287096381187439,106.0048624722456,5.0800885268612295e8,4.320725879567019e8,2.5406138807433933e7,714689.3170058515,696357.0029545452,38856.23311716936,4.411820176322011e8,714679.2229626225,6.682684916515915e7,2.2992162299642884e-16,0.09704362744568275,-0.09704362744568229,4.026120194,1,sensitivity_049,0.5,1.0,2.0,1.0,0.5,0.5,true,,186.979813646
recycling_support_support_0_005,recycling_support,-0.005,ALMOST_LOCALLY_SOLVED,4.823320833846623e-7,0,0.0,0,support_expenditure,0.1943310114177089,14.110017597675323,72.60816220086586,5.0800884886320174e8,4.3207257858764845e8,2.5406136136019226e7,714738.0227268502,696405.7086737002,38904.97809970661,4.411820134803993e8,714727.9357130842,6.682684219165631e7,2.4691264870870248e-15,0.1943310114177089,-0.194331011417704,4.031874096,1,sensitivity_049,0.5,1.0,2.0,1.0,0.5,0.5,true,,186.979813646
recycling_support_support_0_01,recycling_support,-0.01,ALMOST_LOCALLY_SOLVED,9.667029595705756e-7,0,1.0378429886772483e-10,0,support_expenditure,0.3896418366767678,28.51060712337494,73.1713189901275,5.080088344626122e8,4.320725552543891e8,2.5406104036724612e7,714835.9782142381,696503.6641625311,39002.946331461884,4.411820086948252e8,714825.8858146707,6.682684138858418e7,1.8667937986537992e-16,0.3896418366767678,-0.38964183667676744,4.594450239,1,sensitivity_049,0.5,1.0,2.0,1.0,0.5,0.5,true,,186.979813646
recycling_support_support_0_02,recycling_support,-0.02,ALMOST_LOCALLY_SOLVED,3.0545922137078214e-6,0,4.429520154411698e-10,0,support_expenditure,0.7832516837815267,85.80863159894943,109.55435318653478,5.0800877716458774e8,4.320724752423944e8,2.5406069779572684e7,715034.1558941428,696701.8418416339,39201.31907320842,4.411819790122286e8,715024.0667600029,6.6826793500543565e7,5.357093463387857e-15,0.7832516837815267,-0.783251683781516,4.415848173,1,sensitivity_049,0.5,1.0,2.0,1.0,0.5,0.5,true,,186.979813646
refurbishment_support_support_0_0025,refurbishment_support,-0.0025,ALMOST_LOCALLY_SOLVED,9.846166995652804e-6,0,9.994686511837979e-9,0,support_expenditure,44.12715708211917,549.1789644360542,12.445373795870205,5.080083137942549e8,4.320719625594197e8,2.540607861263014e7,714641.4213851162,696309.1073341161,38809.54802147482,4.411814683712404e8,714631.3262244047,6.682684775601701e7,-1.5147455397579452e-12,44.12715708211917,-44.127157082122196,4.707782075,1,sensitivity_049,0.5,1.0,2.0,1.0,0.5,0.5,true,,186.979813646
refurbishment_support_support_0_005,refurbishment_support,-0.005,ALMOST_LOCALLY_SOLVED,1.8359444739801384e-5,0,0.0,0,support_expenditure,88.66808042973796,1277.3455919027328,14.405923594059562,5.0800758562762743e8,4.32071156104584e8,2.5405861427543655e7,714641.3909900836,696309.0769391595,38810.336240593526,4.411807459367205e8,714631.2961171309,6.6826840412417196e7,1.014918542687822e-14,88.66808042973796,-88.66808042973794,4.080955483,1,sensitivity_049,0.5,1.0,2.0,1.0,0.5,0.5,true,,186.979813646
