scenario,instrument,wedge,termination_status,max_scaled_residual,scaled_residuals_above_tolerance,max_bound_violation,bound_violations_above_tolerance,fiscal_basis_kind,fiscal_basis_million_eur,primary_metal_market_demand_reduction_tonnes,primary_metal_market_demand_reduction_per_million_eur,primary_metal_market_demand_tonnes,primary_metal_domestic_demand_tonnes,primary_metal_ce_rise_demand_tonnes,recycled_metal_market_demand_tonnes,recycled_metal_domestic_demand_tonnes,recycled_metal_ce_rise_demand_tonnes,primary_metal_output_tonnes,recycled_metal_output_tonnes,external_metal_import_tonnes,tax_revenue_million_eur,support_expenditure_million_eur,household_transfer_million_eur,solver_elapsed_seconds,solver_attempts,sensitivity_profile,armington_elasticity,cet_transformation_elasticity,service_elasticity,eol_allocation_elasticity,eol_productivity_elasticity,material_substitution_elasticity,solver_valid,solver_message,profile_elapsed_seconds
virgin_metal_tax_tax_0_0025,virgin_metal_tax,0.0025,LOCALLY_INFEASIBLE,0.00013186416403843104,0,0.0,0,tax_revenue,62.67431264603802,43.127650797367096,0.6881232354463392,5.080088198455701e8,4.320725633521673e8,2.5406119127719913e7,714798.5121643937,696466.1981055697,38997.04934617397,4.4118202314311725e8,714788.3551867257,6.6826850038784765e7,62.67431264603802,6.90816324866446e-13,62.674312646036626,10.776764731,1,sensitivity_564,2.0,1.0,2.0,2.0,0.5,2.0,true,,561.195786885
virgin_metal_tax_tax_0_005,virgin_metal_tax,0.005,LOCALLY_INFEASIBLE,0.00021029676270001296,0,0.0,0,tax_revenue,125.33976943679012,5781.273761808872,46.124815673323994,5.080030816994591e8,4.320677213028632e8,2.540445049928508e7,715037.1695600926,696704.8556162866,39186.16097291623,4.411779104653973e8,715026.6823655423,6.682618686509237e7,125.33976943679012,-6.967130993722253e-12,125.33976943680406,109.93945799,3,sensitivity_564,2.0,1.0,2.0,2.0,0.5,2.0,true,,561.195786885
virgin_metal_tax_tax_0_01,virgin_metal_tax,0.01,LOCALLY_INFEASIBLE,0.0005299470161228559,0,0.0,0,tax_revenue,250.6647323963288,8302.330347537994,33.12125430717189,5.0800056064287335e8,4.3206592376046526e8,2.5403291375055093e7,715367.9052596549,697035.5912725197,39567.17818323847,4.41176325406079e8,715357.694862498,6.682593866069815e7,250.6647323963288,-4.2700045061637204e-13,250.66473239632967,130.985982498,3,sensitivity_564,2.0,1.0,2.0,2.0,0.5,2.0,true,,561.195786885
virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,0.0008760389502485699,0,0.0,0,tax_revenue,501.1894476839748,39391.469406068325,78.59596722975428,5.079694715038148e8,4.320366620494913e8,2.5395737692412905e7,716278.2686410595,697945.9545762505,40334.63986919717,4.4115370923863924e8,716268.2307675539,6.6822442258287236e7,501.1894476839748,3.3673455449246266e-13,501.18944768397415,191.849505698,11,sensitivity_564,2.0,1.0,2.0,2.0,0.5,2.0,true,,561.195786885
recycling_support_support_0_0025,recycling_support,-0.0025,ALMOST_LOCALLY_SOLVED,7.447558473474513e-7,0,0.0,0,support_expenditure,0.097409218719063,27.585040032863617,283.1871602668467,5.0800883538818085e8,4.320725769164014e8,2.5406154500654604e7,714836.5111970818,696504.1969411938,39002.486509248316,4.411819669993172e8,714827.4779497838,6.682684909071137e7,3.5988090879696094e-13,0.097409218719063,-0.09740921871834321,4.228590542,1,sensitivity_564,2.0,1.0,2.0,2.0,0.5,2.0,true,,561.195786885
recycling_support_support_0_005,recycling_support,-0.005,ALMOST_LOCALLY_SOLVED,9.924595153411864e-7,0,4.230832530457205e-10,0,support_expenditure,0.19579816717956455,93.8440090417862,479.2895173309911,5.0800876912921184e8,4.320725112573483e8,2.5406087052732844e7,715031.0726918044,696698.7586403216,39198.403473411316,4.411819163204147e8,715020.9795070132,6.682686288149686e7,-1.4400110071554456e-15,0.19579816717956455,-0.19579816717956744,4.940940943,1,sensitivity_564,2.0,1.0,2.0,2.0,0.5,2.0,true,,561.195786885
recycling_support_support_0_01,recycling_support,-0.01,ALMOST_LOCALLY_SOLVED,1.0237928498302296e-6,0,6.962369341634028e-10,0,support_expenditure,0.3955618083033673,243.26852083206177,614.9949659586256,5.0800861970470005e8,4.3207237011876714e8,2.5405967668398567e7,715428.9380655928,697096.6240145664,39594.931461386695,4.4118176020427835e8,715418.8427993457,6.682687574366705e7,-3.4225415440632165e-15,0.3955618083033673,-0.3955618083033742,5.592490722,1,sensitivity_564,2.0,1.0,2.0,2.0,0.5,2.0,true,,561.195786885
recycling_support_support_0_02,recycling_support,-0.02,ALMOST_LOCALLY_SOLVED,2.4364782437300702e-6,0,3.237302317472588e-11,0,support_expenditure,0.807352129175292,514.6636907458305,637.4711506261315,5.0800834830953014e8,4.32072112152004e8,2.5405738074848313e7,716239.6366959326,697907.3226448658,40406.31710771406,4.411814863320478e8,716229.5415994038,6.682686470997476e7,-8.002184764872788e-16,0.807352129175292,-0.8073521291752935,4.387235651,1,sensitivity_564,2.0,1.0,2.0,2.0,0.5,2.0,true,,561.195786885
refurbishment_support_support_0_0025,refurbishment_support,-0.0025,ALMOST_LOCALLY_SOLVED,9.941629917721286e-6,0,8.53955811194886e-13,0,support_expenditure,44.12711771831876,678.9195173382759,15.385539605647798,5.0800818405370355e8,4.320718673613738e8,2.5405459516928196e7,714639.8829755035,696307.5689272917,38806.51275113242,4.411819450476213e8,714629.7893155842,6.682684088116382e7,2.930232441068549e-13,44.12711771831876,-44.127117718318175,7.331387643,1,sensitivity_564,2.0,1.0,2.0,2.0,0.5,2.0,true,,561.195786885
refurbishment_support_support_0_005,refurbishment_support,-0.005,LOCALLY_INFEASIBLE,2.275959306397013e-5,0,0.0,0,support_expenditure,88.66794505017974,1241.9372628331184,14.006609289639796,5.0800762103595805e8,4.320712911407402e8,2.540500665705316e7,714643.7745312161,696311.4604801382,38805.72685588654,4.4118192533626574e8,714633.6795387634,6.682683849505096e7,-3.386798642186897e-14,88.66794505017974,-88.6679450501798,5.684748827,1,sensitivity_564,2.0,1.0,2.0,2.0,0.5,2.0,true,,561.195786885
