scenario,instrument,wedge,termination_status,max_scaled_residual,scaled_residuals_above_tolerance,max_bound_violation,bound_violations_above_tolerance,fiscal_basis_kind,fiscal_basis_million_eur,primary_metal_market_demand_reduction_tonnes,primary_metal_market_demand_reduction_per_million_eur,primary_metal_market_demand_tonnes,primary_metal_domestic_demand_tonnes,primary_metal_ce_rise_demand_tonnes,recycled_metal_market_demand_tonnes,recycled_metal_domestic_demand_tonnes,recycled_metal_ce_rise_demand_tonnes,primary_metal_output_tonnes,recycled_metal_output_tonnes,external_metal_import_tonnes,tax_revenue_million_eur,support_expenditure_million_eur,household_transfer_million_eur,solver_elapsed_seconds,solver_attempts,sensitivity_profile,armington_elasticity,cet_transformation_elasticity,service_elasticity,eol_allocation_elasticity,eol_productivity_elasticity,material_substitution_elasticity,solver_valid,solver_message,profile_elapsed_seconds
virgin_metal_tax_tax_0_0025,virgin_metal_tax,0.0025,LOCALLY_INFEASIBLE,0.00013523838701223756,0,0.0,0,tax_revenue,62.67368074916439,346.6935151219368,5.531724177960605,5.080085162797075e8,4.3207224088122207e8,2.540583555371202e7,714833.422290936,696501.1082398652,38998.69779415162,4.4118199839979255e8,714823.3271730054,6.682684592950435e7,62.67368074916439,2.984894202171175e-15,62.67368074916439,18.825664338,1,sensitivity_657,2.0,2.0,0.5,0.5,2.0,2.0,true,,766.230133068
virgin_metal_tax_tax_0_005,virgin_metal_tax,0.005,LOCALLY_INFEASIBLE,0.0002620656157462653,0,0.0,0,tax_revenue,125.34430391783431,2148.0640758275986,17.137309065401947,5.080067149091468e8,4.320704981002794e8,2.540514920784716e7,715037.0047131861,696704.6906637483,39192.34874591526,4.4118133733484024e8,715027.0560676833,6.6826764247685e7,125.34430391783431,-7.995174145188025e-13,125.34430391783589,13.794720845,1,sensitivity_657,2.0,2.0,0.5,0.5,2.0,2.0,true,,766.230133068
virgin_metal_tax_tax_0_01,virgin_metal_tax,0.01,LOCALLY_INFEASIBLE,0.0004458172535619642,0,0.0,0,tax_revenue,250.68644705021603,2291.845230579376,9.142278162809045,5.0800657112799203e8,4.320703582516815e8,2.540494596968193e7,715340.4335264725,697008.1194683758,39573.16334343949,4.4118131787129545e8,715330.2272701118,6.682676148011453e7,250.68644705021603,7.843145702614942e-13,250.68644705021447,23.434981579,1,sensitivity_657,2.0,2.0,0.5,0.5,2.0,2.0,true,,766.230133068
virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,0.0010241597727886909,1,0.0,0,,,,,,,,,,,,,,,,,598.727377814,16,sensitivity_657,2.0,2.0,0.5,0.5,2.0,2.0,false,"Policy solve failed at virgin_metal_tax_tax_0_02: status LOCALLY_INFEASIBLE, scaled residuals above tolerance 1, bound violations above tolerance 0.",766.230133068
recycling_support_support_0_0025,recycling_support,-0.0025,ALMOST_LOCALLY_SOLVED,8.15478711515513e-7,0,5.659637618450353e-11,0,support_expenditure,0.09740869536110397,48.32224041223526,496.0772776300903,5.080088146509822e8,4.3207254454141885e8,2.5406111087666415e7,714835.1541678515,696502.8401177184,39002.256018409826,4.411819615869146e8,714825.0540359807,6.682686549370239e7,-1.440606487539789e-14,0.09740869536110397,-0.0974086953611328,5.447460735,1,sensitivity_657,2.0,2.0,0.5,0.5,2.0,2.0,true,,766.230133068
recycling_support_support_0_005,recycling_support,-0.005,ALMOST_LOCALLY_SOLVED,9.014212947189293e-7,0,0.0,0,support_expenditure,0.1957977334190505,61.89530819654465,316.1186144278544,5.080088010779144e8,4.320725103609264e8,2.5406066225379795e7,715031.3779781897,696699.0638883966,39198.32510003024,4.411819222411416e8,715021.4635912422,6.682686779769565e7,-1.7435163857995816e-14,0.1957977334190505,-0.19579773341908538,3.967503048,1,sensitivity_657,2.0,2.0,0.5,0.5,2.0,2.0,true,,766.230133068
recycling_support_support_0_01,recycling_support,-0.01,ALMOST_LOCALLY_SOLVED,3.096562298510185e-5,0,1.8523293064559721e-9,0,support_expenditure,0.39556014024252883,203.78400093317032,515.1783008475645,5.080086591892217e8,4.320723579643416e8,2.5405933293528464e7,715429.182806307,697096.868755235,39594.759572675495,4.411817807867362e8,715419.0877187494,6.6826886147731245e7,-1.0808865154188831e-15,0.39556014024252883,-0.395560140242531,4.502938079,1,sensitivity_657,2.0,2.0,0.5,0.5,2.0,2.0,true,,766.230133068
recycling_support_support_0_02,recycling_support,-0.02,ALMOST_LOCALLY_SOLVED,3.6520343770218844e-6,0,2.5466241608909074e-9,0,support_expenditure,0.8073484502072961,462.5718677639961,572.9519486229589,5.0800840040135485e8,4.320720618613034e8,2.540566253605126e7,716246.7310464763,697914.4169954136,40406.12197657748,4.411814703324821e8,716236.6360122402,6.682693221767075e7,-2.6323828651319236e-14,0.8073484502072961,-0.8073484502073487,3.890729496,1,sensitivity_657,2.0,2.0,0.5,0.5,2.0,2.0,true,,766.230133068
refurbishment_support_support_0_0025,refurbishment_support,-0.0025,LOCALLY_INFEASIBLE,1.1361623592165415e-5,0,0.0,0,support_expenditure,43.983919101016596,-83.57771039009094,-1.9001878890814716,5.08008946550933e8,4.3207255949629253e8,2.5406476306139972e7,714641.33804042,696309.0239893513,38808.147387838704,4.411820596254794e8,714631.2429513759,6.682686536977942e7,-1.7203880141599313e-15,43.983919101016596,-43.983919101016596,23.157417481,1,sensitivity_657,2.0,2.0,0.5,0.5,2.0,2.0,true,,766.230133068
refurbishment_support_support_0_005,refurbishment_support,-0.005,LOCALLY_INFEASIBLE,2.2638626373638893e-5,0,0.0,0,support_expenditure,88.09281755915293,-197.09151428937912,-2.237316500372295,5.080090600647369e8,4.320723326189342e8,2.5406756453089442e7,714651.0573492114,696318.7432981571,38808.48266496105,4.411820631173341e8,714640.9621326912,6.682690099966396e7,-1.100609933610803e-15,88.09281755915293,-88.09281755915293,12.352281632,1,sensitivity_657,2.0,2.0,0.5,0.5,2.0,2.0,true,,766.230133068
