scenario,instrument,wedge,termination_status,max_scaled_residual,scaled_residuals_above_tolerance,max_bound_violation,bound_violations_above_tolerance,fiscal_basis_kind,fiscal_basis_million_eur,primary_metal_market_demand_reduction_tonnes,primary_metal_market_demand_reduction_per_million_eur,primary_metal_market_demand_tonnes,primary_metal_domestic_demand_tonnes,primary_metal_ce_rise_demand_tonnes,recycled_metal_market_demand_tonnes,recycled_metal_domestic_demand_tonnes,recycled_metal_ce_rise_demand_tonnes,primary_metal_output_tonnes,recycled_metal_output_tonnes,external_metal_import_tonnes,tax_revenue_million_eur,support_expenditure_million_eur,household_transfer_million_eur,solver_elapsed_seconds,solver_attempts,sensitivity_profile,armington_elasticity,cet_transformation_elasticity,service_elasticity,eol_allocation_elasticity,eol_productivity_elasticity,material_substitution_elasticity,solver_valid,solver_message,profile_elapsed_seconds
virgin_metal_tax_tax_0_0025,virgin_metal_tax,0.0025,LOCALLY_INFEASIBLE,0.00013119372625725045,0,0.0,0,tax_revenue,62.67468447095799,-61.735867500305176,-0.9850207946226225,5.080089247090907e8,4.320726707024293e8,2.5406249467970792e7,714833.2966226006,696500.9825696917,38999.27277882564,4.411820233889151e8,714823.1879583437,6.682685009349948e7,62.67468447095799,4.855068033759911e-13,62.674684470957025,10.907931491,1,sensitivity_673,0.5,2.0,2.0,0.5,2.0,2.0,true,,165.385342944
virgin_metal_tax_tax_0_005,virgin_metal_tax,0.005,LOCALLY_INFEASIBLE,0.0002637491780869139,0,0.0,0,tax_revenue,125.34837291742713,-338.4226677417755,-2.6998568857747394,5.0800920139589095e8,4.320729634082331e8,2.540649579711133e7,715078.0192422303,696745.7051938316,39191.082173988565,4.41181989987338e8,715067.918955641,6.682684747282403e7,125.34837291742713,3.882609748269697e-13,125.34837291742633,43.287532228,1,sensitivity_673,0.5,2.0,2.0,0.5,2.0,2.0,true,,165.385342944
virgin_metal_tax_tax_0_01,virgin_metal_tax,0.01,LOCALLY_INFEASIBLE,0.0004892040962040101,0,0.0,0,tax_revenue,250.69290488372246,-476.40274864435196,-1.9003439641234332,5.0800933937597185e8,4.320731065199648e8,2.5406517634182375e7,715211.0735788769,696878.759825997,39566.08102450427,4.411819895001729e8,715199.6308186438,6.682684771169435e7,250.69290488372246,3.878725286764919e-12,250.69290488371473,14.622385921,1,sensitivity_673,0.5,2.0,2.0,0.5,2.0,2.0,true,,165.385342944
virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,0.000911931496304974,0,0.0,0,tax_revenue,501.3561378654408,-744.3514192700386,-1.4846759878899007,5.080096073246425e8,4.320734027147298e8,2.5407055795748282e7,716026.6962028507,697694.382236566,40348.506246737255,4.411818851804565e8,716016.5108348692,6.682685328136809e7,501.3561378654408,-4.3180525523161005e-12,501.3561378654495,10.224461208,1,sensitivity_673,0.5,2.0,2.0,0.5,2.0,2.0,true,,165.385342944
recycling_support_support_0_0025,recycling_support,-0.0025,ALMOST_LOCALLY_SOLVED,9.65466865730881e-7,0,0.0,0,support_expenditure,0.09740857928605785,18.61055064201355,191.05658637480292,5.0800884436267257e8,4.320725681085219e8,2.540608872357392e7,714835.8432345384,696503.5291024013,39002.22681503776,4.411819951616297e8,714826.1689789661,6.682684587142581e7,1.4334412011878613e-13,0.09740857928605785,-0.09740857928577115,3.883325101,1,sensitivity_673,0.5,2.0,2.0,0.5,2.0,2.0,true,,165.385342944
recycling_support_support_0_005,recycling_support,-0.005,ALMOST_LOCALLY_SOLVED,1.099455786116472e-6,0,1.5977393847430803e-9,0,support_expenditure,0.1958034918775158,-65.39156359434128,-333.96525755141664,5.080089283647868e8,4.320725657249451e8,2.5406345161027208e7,715107.9275653566,696775.6135148341,39199.45012566067,4.411816267802677e8,715097.8322399792,6.6826787759886205e7,6.339434972010103e-14,0.1958034918775158,-0.195803491877389,7.134441132,1,sensitivity_673,0.5,2.0,2.0,0.5,2.0,2.0,true,,165.385342944
recycling_support_support_0_01,recycling_support,-0.01,ALMOST_LOCALLY_SOLVED,7.06209438510425e-6,0,7.0221861126974976e-9,0,support_expenditure,0.395564702540685,529.1654044389725,1337.7467732590378,5.080083338078188e8,4.320720164332208e8,2.5405984603798e7,715438.440383988,697106.1263329235,39595.213459255276,4.4118167062136704e8,715428.344663142,6.682679646873279e7,3.276067882467463e-14,0.395564702540685,-0.39556470254061954,4.614288366,1,sensitivity_673,0.5,2.0,2.0,0.5,2.0,2.0,true,,165.385342944
recycling_support_support_0_02,recycling_support,-0.02,ALMOST_LOCALLY_SOLVED,3.6353739483978645e-5,0,0.0,0,support_expenditure,0.8073753770452786,901.2145736217499,1116.2274689623196,5.080079617586496e8,4.320716737247857e8,2.540593798478091e7,716345.6283292576,698013.3142783071,40407.48009705774,4.4118118061462575e8,716335.532879856,6.682681390464814e7,6.61094098553289e-14,0.8073753770452786,-0.8073753770451464,3.30035195,1,sensitivity_673,0.5,2.0,2.0,0.5,2.0,2.0,true,,165.385342944
refurbishment_support_support_0_0025,refurbishment_support,-0.0025,ALMOST_LOCALLY_SOLVED,1.093783252685027e-5,0,1.5947054446244973e-9,0,support_expenditure,44.12715444944024,421.69823771715164,9.556433968574218,5.080084412749855e8,4.320719070175748e8,2.5405936244102437e7,714640.5559681772,696308.2419178978,38808.38482577968,4.4118160490987355e8,714630.4582835764,6.6826835998608634e7,3.015733877333502e-14,44.12715444944024,-44.127154449440184,4.510802611,1,sensitivity_673,0.5,2.0,2.0,0.5,2.0,2.0,true,,165.385342944
refurbishment_support_support_0_005,refurbishment_support,-0.005,ALMOST_LOCALLY_SOLVED,2.261874497290239e-5,0,1.4858831098640279e-9,0,support_expenditure,88.66798620902934,893.6713932752609,10.078850682009236,5.0800796930182993e8,4.320711901940939e8,2.5405554350185465e7,714640.7286074669,696308.4145565511,38808.353584469376,4.4118130744370353e8,714630.6308506244,6.682683198436847e7,-1.575065027982912e-13,88.66798620902934,-88.66798620902965,6.967374145,1,sensitivity_673,0.5,2.0,2.0,0.5,2.0,2.0,true,,165.385342944
