sensitivity_profile,stage,scenario,instrument,wedge,termination_status,primal_status,solver_valid,solver_elapsed_seconds,max_scaled_residual,scaled_residuals_above_tolerance,max_bound_violation,bound_violations_above_tolerance,worst_equation_block,worst_equation_tag,worst_equation_indices,worst_equation_scaled_residual,worst_bound_variable,worst_bound_violation,solver_message,armington_elasticity,cet_transformation_elasticity,service_elasticity,eol_allocation_elasticity,eol_productivity_elasticity,material_substitution_elasticity,target_profile,source_profile,continued_parameter,source_parameter_value,target_parameter_value,trial_fraction,trial_parameter_value,continuation_phase,continuation_path,attempt,trial_accepted
sensitivity_675,policy,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,17.825180469,0.001260481314282691,2,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.001260481314282691,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,2.0,0.5,2.0,2.0,sensitivity_675,sensitivity_672,trade.cet_transformation_elasticity,1.0,2.0,1.0,2.0,direct_target,parameter_only,1,false
sensitivity_675,policy,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,15.259251689,0.0009836543116230612,0,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.0009836543116230612,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,2.0,0.5,2.0,2.0,sensitivity_675,sensitivity_672,trade.cet_transformation_elasticity,1.0,2.0,0.5,1.5,parameter_bisection,parameter_only,2,true
sensitivity_675,policy,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,11.649463193,0.0011790171945731398,2,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.0011790171945731398,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,2.0,0.5,2.0,2.0,sensitivity_675,sensitivity_672,trade.cet_transformation_elasticity,1.0,2.0,1.0,2.0,parameter_bisection,parameter_only,3,false
sensitivity_675,policy,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,6.664482382,0.0010869290143820098,1,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.0010869290143820098,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,2.0,0.5,2.0,2.0,sensitivity_675,sensitivity_672,trade.cet_transformation_elasticity,1.0,2.0,0.75,1.75,parameter_bisection,parameter_only,4,false
sensitivity_675,policy,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,11.169775337,0.0011632457515547978,1,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.0011632457515547978,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,2.0,0.5,2.0,2.0,sensitivity_675,sensitivity_672,trade.cet_transformation_elasticity,1.0,2.0,0.625,1.625,parameter_bisection,parameter_only,5,false
sensitivity_675,policy,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,19.455914461,0.0010224047546958381,1,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.0010224047546958381,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,2.0,0.5,2.0,2.0,sensitivity_675,sensitivity_672,trade.cet_transformation_elasticity,1.0,2.0,0.5625,1.5625,parameter_bisection,parameter_only,6,false
sensitivity_675,policy,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,10.75778772,0.001020027843942506,1,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.001020027843942506,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,2.0,0.5,2.0,2.0,sensitivity_675,sensitivity_672,trade.cet_transformation_elasticity,1.0,2.0,0.53125,1.53125,parameter_bisection,parameter_only,7,false
sensitivity_675,policy,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,6.797285322,0.0009890047781722089,0,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.0009890047781722089,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,2.0,0.5,2.0,2.0,sensitivity_675,sensitivity_672,trade.cet_transformation_elasticity,1.0,2.0,0.515625,1.515625,parameter_bisection,parameter_only,8,true
sensitivity_675,policy,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,5.609667033,0.0010373297772767742,1,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.0010373297772767742,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,2.0,0.5,2.0,2.0,sensitivity_675,sensitivity_672,trade.cet_transformation_elasticity,1.0,2.0,0.546875,1.546875,parameter_bisection,parameter_only,9,false
sensitivity_675,policy,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,4.997956417,0.0009824431370466513,0,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.0009824431370466513,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,2.0,0.5,2.0,2.0,sensitivity_675,sensitivity_672,trade.cet_transformation_elasticity,1.0,2.0,0.53125,1.53125,parameter_bisection,parameter_only,10,true
