region	product_sector	product_label	output_meur
REU	EXTRACTIVE	Extractive industries	299769.74484598555
REU	INC_EE	Incineration and disposal activities for CE-RISE chains	379.2763557022043
REU	METAL_COMPONENTS	Metal components and fabricated metals	254545.9695993948
REU	NEW_ELMA	New CE-RISE electrical equipment	102345.3906233059
REU	NEW_OFMA	New CE-RISE office machinery and computers	9003.025254499564
REU	NEW_RATV	New CE-RISE communication and consumer electronics	160394.68474834875
REU	OTHER_MANUFACTURING	Other manufacturing	2.4434850230273153e6
REU	OTHER_SERVICES	Other market services	6.475189781890995e6
REU	PUBLIC_SOCIAL	Public and social services	2.3370533514318536e6
REU	REC_EE	Recycling and recovery activities for CE-RISE chains	113.23918662254928
REU	REF_ELMA	Refurbishment route for ELMA	16021.662609657042
REU	REF_OFMA	Refurbishment route for OFMA	2396.209352525445
REU	REF_RATV	Refurbishment route for RATV	42655.9016460846
REU	REP_ELMA	Repair activities linked to ELMA	96.65367936195601
REU	REP_OFMA	Repair activities linked to OFMA	16.958349206727533
REU	REP_RATV	Repair activities linked to RATV	292.77634378300377
REU	REU_ELMA	Reuse route for ELMA	4378.578221572044
REU	REU_OFMA	Reuse route for OFMA	676.1483755177061
REU	REU_RATV	Reuse route for RATV	12030.687812158292
REU	TRADE	Trade services	1.9539704207322677e6
REU	TRANSPORT	Transport and storage	1.1673415646549203e6
REU	UTIL_WASTE	Utilities, water, and residual waste services	749590.6798194229
ROW	AGRI_FOOD	Agriculture and food	9.173221002120871e6
ROW	BASIC_METALS	Basic metals	2.8604991757327463e6
ROW	CONSTRUCTION	Construction	6.859992503694977e6
ROW	EXTRACTIVE	Extractive industries	3.5837521457155696e6
ROW	INC_EE	Incineration and disposal activities for CE-RISE chains	2132.2277695925413
ROW	METAL_COMPONENTS	Metal components and fabricated metals	1.334725488139749e6
ROW	NEW_ELMA	New CE-RISE electrical equipment	995547.2804381305
ROW	NEW_OFMA	New CE-RISE office machinery and computers	399886.74671677477
ROW	NEW_RATV	New CE-RISE communication and consumer electronics	1.440914643490844e6
ROW	OTHER_MANUFACTURING	Other manufacturing	1.9130679701043244e7
ROW	OTHER_SERVICES	Other market services	2.656505144587523e7
ROW	PUBLIC_SOCIAL	Public and social services	1.130344480779438e7
ROW	REC_EE	Recycling and recovery activities for CE-RISE chains	5.732910734915967
ROW	REF_ELMA	Refurbishment route for ELMA	73326.10068848205
ROW	REF_OFMA	Refurbishment route for OFMA	25907.61534770129
ROW	REF_RATV	Refurbishment route for RATV	93492.52748483414
ROW	REP_ELMA	Repair activities linked to ELMA	928.8602993216585
ROW	REP_OFMA	Repair activities linked to OFMA	580.414607014097
ROW	REP_RATV	Repair activities linked to RATV	2093.811232242206
ROW	REU_ELMA	Reuse route for ELMA	19419.94752161768
ROW	REU_OFMA	Reuse route for OFMA	9722.84503895252
