map,from_item,to_item
activity_to_family,ACT_REF_RATV,RATV
commodity_to_family,COM_REF_RATV,RATV
activity_to_service_target,ACT_REF_RATV,TST_RATV
commodity_to_service_target,COM_REF_RATV,TST_RATV
activity_to_eol_target,ACT_REF_RATV,EOL_RATV
commodity_to_eol_target,COM_REF_RATV,EOL_RATV
activity_to_route,ACT_REP_RATV,REP
commodity_to_route,COM_REP_RATV,REP
activity_to_family,ACT_REP_RATV,RATV
commodity_to_family,COM_REP_RATV,RATV
activity_to_service_target,ACT_REP_RATV,TST_RATV
commodity_to_service_target,COM_REP_RATV,TST_RATV
activity_to_eol_target,ACT_REP_RATV,EOL_RATV
commodity_to_eol_target,COM_REP_RATV,EOL_RATV
activity_to_route,ACT_REU_RATV,REU
commodity_to_route,COM_REU_RATV,REU
activity_to_family,ACT_REU_RATV,RATV
commodity_to_family,COM_REU_RATV,RATV
activity_to_service_target,ACT_REU_RATV,TST_RATV
commodity_to_service_target,COM_REU_RATV,TST_RATV
activity_to_eol_target,ACT_REU_RATV,EOL_RATV
commodity_to_eol_target,COM_REU_RATV,EOL_RATV
activity_to_family,ACT_REC_EE,RATV
activity_to_eol_target,ACT_REC_EE,EOL_RATV
activity_to_family,ACT_INC_EE,RATV
commodity_to_family,COM_INC_EE,RATV
activity_to_eol_target,ACT_INC_EE,EOL_RATV
commodity_to_eol_target,COM_INC_EE,EOL_RATV
family_to_service_target,ELMA,TST_ELMA
family_to_service_target,OFMA,TST_OFMA
family_to_service_target,RATV,TST_RATV
family_to_eol_target,ELMA,EOL_ELMA
family_to_eol_target,OFMA,EOL_OFMA
family_to_eol_target,RATV,EOL_RATV
activity_to_material_target,ACT_BASIC_METALS,VMTL_EE
activity_to_material_target,ACT_METAL_COMPONENTS,VMTL_EE
activity_to_material_target,ACT_REC_EE,RMTL_EE
commodity_to_material_target,COM_BASIC_METALS,VMTL_EE
commodity_to_material_target,COM_METAL_COMPONENTS,VMTL_EE
commodity_to_material_target,COM_REC_EE,RMTL_EE
