row_account_id	column_account_id	row_type	column_type	flow_kind	note	value
ACT_BASIC_METALS	COM_REP_RATV	activity	commodity	aggregated_closed_sam_flow	eu_submatrix	0.06982908204656908
ACT_BASIC_METALS	COM_REU_ELMA	activity	commodity	aggregated_closed_sam_flow	eu_submatrix	3.838533078017789
ACT_BASIC_METALS	COM_REU_OFMA	activity	commodity	aggregated_closed_sam_flow	eu_submatrix	0.8802602261537713
ACT_BASIC_METALS	COM_REU_RATV	activity	commodity	aggregated_closed_sam_flow	eu_submatrix	15.22273446771852
ACT_BASIC_METALS	COM_TRADE	activity	commodity	aggregated_closed_sam_flow	eu_submatrix	2538.3070777488083
ACT_BASIC_METALS	COM_TRANSPORT	activity	commodity	aggregated_closed_sam_flow	eu_submatrix	285.61204338963745
ACT_BASIC_METALS	COM_UTIL_WASTE	activity	commodity	aggregated_closed_sam_flow	eu_submatrix	5800.788131280727
ACT_CONSTRUCTION	CAP	activity	factor	aggregated_closed_sam_flow	eu_submatrix	0.7816677982045803
ACT_CONSTRUCTION	COM_AGRI_FOOD	activity	commodity	aggregated_closed_sam_flow	eu_submatrix	551.6462302361723
ACT_CONSTRUCTION	COM_BASIC_METALS	activity	commodity	aggregated_closed_sam_flow	eu_submatrix	300.41179598801733
ACT_CONSTRUCTION	COM_CONSTRUCTION	activity	commodity	aggregated_closed_sam_flow	eu_submatrix	2.201412068172769e6
ACT_CONSTRUCTION	COM_EXTRACTIVE	activity	commodity	aggregated_closed_sam_flow	eu_submatrix	2660.953320490048
ACT_CONSTRUCTION	COM_INC_EE	activity	commodity	aggregated_closed_sam_flow	eu_submatrix	1.8421208739989596
ACT_CONSTRUCTION	COM_METAL_COMPONENTS	activity	commodity	aggregated_closed_sam_flow	eu_submatrix	2680.6255284708927
ACT_CONSTRUCTION	COM_NEW_ELMA	activity	commodity	aggregated_closed_sam_flow	eu_submatrix	639.5080813528234
ACT_CONSTRUCTION	COM_NEW_OFMA	activity	commodity	aggregated_closed_sam_flow	eu_submatrix	11.72036182703112
ACT_CONSTRUCTION	COM_NEW_RATV	activity	commodity	aggregated_closed_sam_flow	eu_submatrix	267.0649404078871
ACT_CONSTRUCTION	COM_OTHER_MANUFACTURING	activity	commodity	aggregated_closed_sam_flow	eu_submatrix	8054.030570314181
ACT_CONSTRUCTION	COM_OTHER_SERVICES	activity	commodity	aggregated_closed_sam_flow	eu_submatrix	58956.820644230684
ACT_CONSTRUCTION	COM_PUBLIC_SOCIAL	activity	commodity	aggregated_closed_sam_flow	eu_submatrix	147.40947495651633
ACT_CONSTRUCTION	COM_REC_EE	activity	commodity	aggregated_closed_sam_flow	eu_submatrix	2.800382752983636
ACT_CONSTRUCTION	COM_REF_ELMA	activity	commodity	aggregated_closed_sam_flow	eu_submatrix	290.47911555543817
ACT_CONSTRUCTION	COM_REF_OFMA	activity	commodity	aggregated_closed_sam_flow	eu_submatrix	19.752143174595396
ACT_CONSTRUCTION	COM_REF_RATV	activity	commodity	aggregated_closed_sam_flow	eu_submatrix	329.6106792913503
