account_id	account_type	row_sum	column_sum	gap
ACT_AGRI_FOOD	activity	753631.479915836	753631.4799158359	1.1641532182693481e-10
ACT_EXTRACTIVE	activity	34941.09228932942	34941.09228932941	7.275957614183426e-12
ACT_BASIC_METALS	activity	181195.16655303293	181195.16655303293	0.0
ACT_METAL_COMPONENTS	activity	293541.74267767026	293541.74267767026	0.0
ACT_NEW_ELMA	activity	127278.68809059764	127278.68809059764	0.0
ACT_NEW_OFMA	activity	3555.420687834804	3555.420687834804	0.0
ACT_NEW_RATV	activity	99887.76624644066	99887.76624644066	0.0
ACT_REP_ELMA	activity	121.32288986428681	121.32288986428681	0.0
ACT_REP_OFMA	activity	6.283815982414258	6.283815982414258	0.0
ACT_REP_RATV	activity	166.2650091264793	166.2650091264793	0.0
ACT_REF_ELMA	activity	15668.377005292677	15668.37700529268	-1.8189894035458565e-12
ACT_REF_OFMA	activity	351.5818729036545	351.5818729036545	0.0
ACT_REF_RATV	activity	14319.041477411729	14319.041477411729	0.0
ACT_REU_ELMA	activity	5104.284437940058	5104.284437940058	0.0
ACT_REU_OFMA	activity	102.96974044359716	102.96974044359715	1.4210854715202004e-14
ACT_REU_RATV	activity	5567.166910921587	5567.166910921587	0.0
ACT_REC_EE	activity	605.0678422380971	605.0678422380971	0.0
ACT_INC_EE	activity	322.13060876237404	322.13060876237404	0.0
ACT_CONSTRUCTION	activity	857044.6307772377	857044.6307772377	0.0
ACT_UTIL_WASTE	activity	474532.51507886616	474532.51507886616	0.0
ACT_TRADE	activity	1.3190792335372453e6	1.3190792335372453e6	0.0
ACT_TRANSPORT	activity	791592.6675949425	791592.6675949425	0.0
ACT_OTHER_MANUFACTURING	activity	2.493737616181586e6	2.493737616181586e6	0.0
ACT_OTHER_SERVICES	activity	4.578832709971924e6	4.578832709971923e6	9.313225746154785e-10
ACT_PUBLIC_SOCIAL	activity	1.8498232702853775e6	1.8498232702853775e6	0.0
COM_AGRI_FOOD	commodity	739191.1071954985	739191.1071954987	-1.1641532182693481e-10
COM_EXTRACTIVE	commodity	30110.483186644084	30110.483186644084	0.0
COM_BASIC_METALS	commodity	176294.16580506775	176294.16580506772	2.9103830456733704e-11
COM_METAL_COMPONENTS	commodity	294345.24261210416	294345.24261210416	0.0
COM_NEW_ELMA	commodity	115342.29473532629	115342.29473532629	0.0
COM_NEW_OFMA	commodity	3524.8530355425655	3524.8530355425646	9.094947017729282e-13
COM_NEW_RATV	commodity	89316.32241388471	89316.3224138847	1.4551915228366852e-11
COM_REP_ELMA	commodity	168.47478847743042	168.47478847743042	0.0
COM_REP_OFMA	commodity	8.775547570672636	8.775547570672636	0.0
COM_REP_RATV	commodity	229.63078011608	229.63078011608	0.0
COM_REF_ELMA	commodity	16477.51663415921	16477.51663415921	0.0
COM_REF_OFMA	commodity	327.0042410614482	327.0042410614482	0.0
COM_REF_RATV	commodity	14979.913342282298	14979.913342282298	0.0
COM_REU_ELMA	commodity	6058.669512204875	6058.669512204875	0.0
COM_REU_OFMA	commodity	148.2864260432179	148.28642604321786	2.842170943040401e-14
COM_REU_RATV	commodity	6176.471080586984	6176.471080586984	0.0
COM_REC_EE	commodity	769.9097928839861	769.9097928839861	0.0
COM_INC_EE	commodity	412.64103666768364	412.64103666768364	0.0
COM_CONSTRUCTION	commodity	867330.2104767447	867330.2104767446	1.1641532182693481e-10
COM_UTIL_WASTE	commodity	477091.13992263685	477091.1399226368	5.820766091346741e-11
COM_TRADE	commodity	1.340159100425312e6	1.3401591004253118e6	2.3283064365386963e-10
COM_TRANSPORT	commodity	791932.6889874878	791932.6889874878	0.0
COM_OTHER_MANUFACTURING	commodity	2.335164060662366e6	2.3351640606623655e6	4.656612873077393e-10
COM_OTHER_SERVICES	commodity	4.805610537186114e6	4.805610537186113e6	9.313225746154785e-10
COM_PUBLIC_SOCIAL	commodity	1.7898315483549878e6	1.7898315483549878e6	0.0
CAP	factor	3.071354569694885e6	3.071354569694885e6	0.0
LAB	factor	3.6848362459999993e6	3.684836246e6	-4.656612873077393e-10
HH	institution	6.756183372377847e6	6.756183372377847e6	0.0
GOV	institution	1.590539898169887e6	1.590539898169887e6	0.0
INV	institution	2.283529733101647e6	2.2835297331016473e6	-4.656612873077393e-10
EXT	external	1.9388779407541777e6	1.9388779407541768e6	9.313225746154785e-10
