label,ACT_AGRI_FOOD,ACT_EXTRACTIVE,ACT_BASIC_METALS,ACT_METAL_COMPONENTS,ACT_NEW_ELMA,ACT_NEW_OFMA,ACT_NEW_RATV,ACT_REP_ELMA,ACT_REP_OFMA,ACT_REP_RATV,ACT_REF_ELMA,ACT_REF_OFMA,ACT_REF_RATV,ACT_REU_ELMA,ACT_REU_OFMA,ACT_REU_RATV,ACT_REC_EE,ACT_INC_EE,ACT_CONSTRUCTION,ACT_UTIL_WASTE,ACT_TRADE,ACT_TRANSPORT,ACT_OTHER_MANUFACTURING,ACT_OTHER_SERVICES,ACT_PUBLIC_SOCIAL,COM_AGRI_FOOD,COM_EXTRACTIVE,COM_BASIC_METALS,COM_METAL_COMPONENTS,COM_NEW_ELMA,COM_NEW_OFMA,COM_NEW_RATV,COM_REP_ELMA,COM_REP_OFMA,COM_REP_RATV,COM_REF_ELMA,COM_REF_OFMA,COM_REF_RATV,COM_REU_ELMA,COM_REU_OFMA,COM_REU_RATV,COM_REC_EE,COM_INC_EE,COM_CONSTRUCTION,COM_UTIL_WASTE,COM_TRADE,COM_TRANSPORT,COM_OTHER_MANUFACTURING,COM_OTHER_SERVICES,COM_PUBLIC_SOCIAL,CAP,LAB,HH,GOV,INV,EXT
ACT_AGRI_FOOD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8956798285915826e6,81.25453824505189,10.23742441663693,86.76390244198004,5.238302575512989,0.23424015636997136,3.8767854318462485,0.0376293955399119,0.042104385616118796,0.04181925930817718,430.8827364532961,42.78492613477911,890.3418067528237,61.727526108879864,7.936767588283737,132.3123087199736,0.14661697698311268,0.30125408825502087,3195.360921131373,3818.8184644389007,31073.06311351789,2821.3550596589716,11657.153363151248,31277.291602109388,349.03619527812475,0.0,0.0,0.0,0.0,0.0,0.0
ACT_EXTRACTIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.75223331237643,304092.30249855923,4174.565621936879,702.517774253036,2.0770809430161568,0.22387651666081082,3.6884885045954356,0.021072842144656632,0.02334701135309434,0.02022160363323188,49.649029760234384,4.882513555041727,86.9547278639135,8.896876743153301,3.6219120905442574,63.00419017824754,0.3651729426007457,0.7673535141552,2976.838562860789,1035.7372817991748,1976.3364219260473,2368.4117013883874,14649.124162824492,9673.017044746923,66.13083232345684,0.0,0.0,0.0,0.0,0.0,0.0
ACT_BASIC_METALS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.630533421966383,416.1807778702518,399552.477612805,11159.180429180999,646.7088706580507,1.1570493778763074,32.72882267748223,0.03931713281781576,0.02646174345971988,0.07567841317799297,49.00077256579405,4.382154241157528,81.34984480087192,3.8445425648491076,0.9260705944758048,15.229066015368607,25.72544387210632,15.510225269926101,251.44329659652664,5800.791921602418,2538.3095250142323,285.6140773947065,12534.11032339495,7746.405795120932,9.174387670572175,0.0,0.0,0.0,0.0,0.0,0.0
ACT_METAL_COMPONENTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.3858054066436,36.43028691370756,13084.861679397462,486210.0114957734,2534.5669078271494,49.54049237634523,693.1886124346821,0.5525321418786864,0.16897193459842436,0.6581629999247235,243.46447385145044,14.032156362648017,302.24886927038006,22.760659967137375,1.2924406040870402,41.268299059475964,1.1617041780452624,1.227595486225823,2567.2973631889563,650.3655669786841,7818.978330721743,286.2761820477437,29774.157766326105,17916.777477677202,33.1261670742922,0.0,0.0,0.0,0.0,0.0,0.0
ACT_NEW_ELMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.069044215978105,1.260400741454768,701.2216272712967,2392.350407807049,190284.95477273257,158.5383456306175,2272.0028215300827,2.3787330264240714,0.42312854938717454,3.8145045384683476,259.01786194893424,10.0152723450638,307.09270757978453,36.3986344403764,2.554714604766792,37.93275550570235,0.5084911363003498,0.395423731167891,503.8686259698046,169.35826611010057,7662.847861633396,48.06767058246861,12268.848941642724,15447.158849584031,4.702460037136958,0.0,0.0,0.0,0.0,0.0,0.0
ACT_NEW_OFMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7813674241337085,0.007890433765995084,1.3867482869586103,42.661140037060136,338.77472002677257,10350.996186724125,0.0,0.059112198570534805,0.09678812214900509,0.07332177858560074,10.787723565559256,1.213250259610223,18.10705495535657,0.8709240432093877,0.25424356170516715,3.4821742419933517,0.03804918558605451,0.0305109185778382,11.118209477439068,3.11060778359246,461.5807017855833,3.103102590244114,787.1901775442124,1457.6126308291912,0.37939107706895836,0.0,0.0,0.0,0.0,0.0,0.0
ACT_NEW_RATV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.73956129876437,0.7123125135156174,42.11433926468598,597.4012434893186,4595.812904854735,0.0,225453.50758652855,0.9988573761236795,0.15799986810964095,2.113074758444199,230.13857956206846,18.155006765942435,382.2700109408949,17.98971945942424,3.506395316637317,66.66889393945728,0.07942874663512714,0.0639732147997499,164.58555805472756,37.24266903124687,8786.392703234314,60.61073162833938,9377.961852406272,27093.461003613244,6.939141934465493,0.0,0.0,0.0,0.0,0.0,0.0
ACT_REP_ELMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07911059451762877,0.12052045946042458,0.10893997832871849,0.5246108143446244,181.34381696163533,0.0,0.0,0.09804302283248337,0.04741954219876281,0.13897185644796003,0.04417763572663288,0.05190136781034932,0.04771984485941311,0.0,0.0,0.26685373331459944,0.0038448735389489466,5.973500812919905,0.03831503684981112,1.4413218041534321,11.923370829629762,0.4477418477421814,0.0,0.0,0.0,0.0,0.0,0.0
ACT_REP_OFMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026297133959866124,0.03818595424609866,0.03299844354890412,0.09062056816336878,0.0,16.764422396986735,0.0,0.0340242231502577,0.024563400981363042,0.04087320930653578,0.023003630036380705,0.023049239349220797,0.023588261510095368,0.0,0.0,0.05646448314036071,0.0,0.8834520479719585,0.0,0.2036713589038787,1.8315974349050936,0.08002545466019531,0.0,0.0,0.0,0.0,0.0,0.0
ACT_REP_RATV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704996030569639,0.11284199035201765,0.12395793709770009,0.8282725834705025,0.0,0.0,367.1791214225644,0.20796038589732738,0.05904456728211424,0.35592729697436515,0.043235209797872404,0.05277979983772106,0.0699484506786091,0.0,0.0,0.4463731097113858,0.00108468443559674,10.098755002523966,0.14680015722219053,2.3237225813128988,30.285758002024533,1.2197586048212345,0.0,0.0,0.0,0.0,0.0,0.0
