coefficient_kind	value	physical_unit	calibration_basis	notes
external_price	0.001	model_value_per_tonne_METAL	sensitivity_calibration_assumption	Common EU-wide METAL price of EUR 1,000 per tonne, expressed in the model monetary unit of million EUR per tonne.
recovery_yield	0.25	kg_METAL_per_kg_eol	sensitivity_calibration_assumption	Common output yield of 0.25 kg generic METAL per kg end-of-life electronics entering recycling.
