product_region	product_sector	original_supply_total_meur	original_use_total_meur	original_gap_meur	balanced_supply_total_meur	balanced_use_total_meur	balanced_gap_meur
DE	AGRI_FOOD	228497.651	228497.5519999999	0.09900000010384247	228497.5253958878	228497.52539588755	2.3283064365386963e-10
DE	BASIC_METALS	86551.64200000002	86551.63100000002	0.010999999998603016	86551.51519048134	86551.5151904813	4.3655745685100555e-11
DE	CONSTRUCTION	302067.79299999995	302067.80900000007	-0.01600000011967495	302067.5719367389	302067.57193673897	-5.820766091346741e-11
DE	EXTRACTIVE	9855.468000000003	9855.417000000001	0.05100000000129512	9855.351728127036	9855.351728126941	9.458744898438454e-11
DE	INC_EE	76.54707536683017	76.54701742402268	5.794280748716574e-5	76.54347749270863	76.54347749261349	9.514167231827741e-11
DE	METAL_COMPONENTS	127251.488	127251.46600000001	0.021999999982654117	127251.3154443482	127251.315444348	2.0372681319713593e-10
DE	NEW_ELMA	63189.909999999996	63189.90369999997	0.006300000022747554	63189.750820370304	63189.75082037024	6.548361852765083e-11
DE	NEW_OFMA	1.9741840814031728	1.9741846475867992	-5.661836264270192e-7	1.9330296154544973	1.9330296153593516	9.514566912116607e-11
DE	NEW_RATV	51254.25881591859	51254.273515352405	-0.014699433813802898	51254.118748955065	51254.11874895492	1.4551915228366852e-10
DE	OTHER_MANUFACTURING	1.1381810820000002e6	1.1381808555999997e6	0.22640000050887465	1.138180785172804e6	1.1381807851728038e6	2.3283064365386963e-10
DE	OTHER_SERVICES	1.9426549567677942e6	1.9426546051244177e6	0.3516433765180409	1.9426546459647212e6	1.9426546459647221e6	-9.313225746154785e-10
DE	PUBLIC_SOCIAL	769582.261	769582.1390000002	0.12199999985750765	769582.1373805949	769582.1373805947	1.1641532182693481e-10
DE	REC_EE	205.31259362724188	205.31243821454458	0.00015541269729624219	205.3068945060989	205.30689450600377	9.512746146356221e-11
DE	REF_ELMA	10077.994268139539	10077.993495931163	0.000772208375565242	10077.759274551765	10077.75927455166	1.0550138540565968e-10
DE	REF_OFMA	0.3753842508306246	0.3753842234042489	2.742637572605844e-8	0.4108650671201796	0.41086506702503006	9.514955490175225e-11
DE	REF_RATV	9745.819414072808	9745.81870211996	0.0007119528490875382	9745.584895493525	9745.584895493424	1.000444171950221e-10
DE	REP_ELMA	63.711994611236236	63.71117704815267	0.0008175630835651759	63.65400630951523	63.65400630942008	9.514877774563502e-11
DE	REP_OFMA	0.0060908490689708435	0.006090770907003593	7.816196725095315e-8	0.0327026539552786	0.03270265386014205	9.513654447568243e-11
DE	REP_RATV	158.13214052857808	158.13011135022424	0.002029178353836869	158.06550099879624	158.06550099870108	9.515588317299262e-11
DE	REU_ELMA	3673.5347984950376	3673.5337662873617	0.0010322076759621268	3673.3763324640204	3673.376332463925	9.549694368615746e-11
DE	REU_OFMA	0.17603692889876676	0.17603686603742597	6.286134079935835e-8	0.23428891793743367	0.2342889178422858	9.51478618116397e-11
DE	REU_RATV	4570.314592205559	4570.312960277352	0.001631928206734301	4570.159215960546	4570.159215960447	9.913492249324918e-11
DE	TRADE	526293.2645121246	526293.1881507055	0.07636141905095428	526293.0586726374	526293.0586726372	2.3283064365386963e-10
DE	TRANSPORT	338926.239	338926.2049999999	0.03400000010151416	338926.0665868297	338926.0665868295	2.3283064365386963e-10
DE	UTIL_WASTE	163884.10133100595	163884.06354436156	0.03778664438868873	163883.9651422206	163883.9651422206	0.0
FR	AGRI_FOOD	233558.019	233557.90800000002	0.11099999997531995	233557.81488137358	233557.81488137343	1.4551915228366852e-10
FR	BASIC_METALS	24587.9	24587.846999999987	0.0530000000144355	24587.886612385308	24587.886612385228	8.003553375601768e-11
FR	CONSTRUCTION	290460.863	290460.86199999996	0.0010000000474974513	290460.6395522433	290460.6395522432	5.820766091346741e-11
FR	EXTRACTIVE	5056.604	5056.543999999998	0.06000000000221917	5056.57955377462	5056.579553774523	9.640643838793039e-11
FR	INC_EE	117.59253955637263	117.59233417541732	0.00020538095530753253	117.5227006717491	117.52270067165394	9.517009402770782e-11
FR	METAL_COMPONENTS	51740.854999999996	51740.85199999998	0.0030000000188010745	51740.74874256337	51740.74874256331	6.548361852765083e-11
FR	NEW_ELMA	15160.4432	15160.431999999992	0.011200000008102506	15160.412119386998	15160.412119386903	9.458744898438454e-11
FR	NEW_OFMA	0.9132118204223798	0.913210816363641	1.0040587388182587e-6	0.9095721924676735	0.9095721923725353	9.513823062690108e-11
FR	NEW_RATV	16552.361288179574	16552.343089183647	0.018198995927377837	16552.2738927384	16552.273892738303	9.822542779147625e-11
FR	OTHER_MANUFACTURING	444694.6782999999	444694.45369999995	0.22459999995771796	444694.3566464768	444694.3566464765	2.9103830456733704e-10
FR	OTHER_SERVICES	1.5307112733626643e6	1.5307105969636033e6	0.6763990609906614	1.5307111858883747e6	1.530711185888375e6	-2.3283064365386963e-10
FR	PUBLIC_SOCIAL	564292.832	564292.7889999999	0.04300000017974526	564292.7589553444	564292.7589553442	2.3283064365386963e-10
FR	REC_EE	140.99410119827252	140.99385494538026	0.0002462528922535512	140.92326608712168	140.9232660870267	9.498535291641019e-11
FR	REF_ELMA	2350.668069027066	2350.668045427255	2.3599810901941964e-5	2350.611427572044	2350.611427571949	9.458744898438454e-11
FR	REF_OFMA	0.13914120189168128	0.13914120193491084	-4.3229558821522573e-11	0.1390745977775761	0.1390745976824348	9.514131149579441e-11
FR	REF_RATV	2521.994779609187	2521.9947804702833	-8.610963959654327e-7	2521.9379940350655	2521.9379940349695	9.595169103704393e-11
FR	REP_ELMA	38.559	38.55867422494199	0.00032577505800901463	38.55897900530868	38.55897900521355	9.512746146356221e-11
FR	REP_OFMA	0.002175607089109588	0.0021755887001087037	1.8389000884522222e-8	0.002175605809387517	0.0021756057142404304	9.514708639024594e-11
FR	REP_RATV	39.4338243929109	39.433491226687025	0.0003331662238750255	39.433802921895385	39.43380292180024	9.514167231827741e-11
FR	REU_ELMA	479.3090158557548	479.3090778951228	-6.203936800375232e-5	479.2333892416259	479.23338924153046	9.544010026729666e-11
FR	REU_OFMA	0.02525111183122339	0.02525111519540511	-3.364181721393633e-9	0.02521029397659327	0.025210293881450265	9.514300458590697e-11
FR	REU_RATV	457.68738053052954	457.6874416919065	-6.116137694789359e-5	457.6118681113779	457.6118681112827	9.515588317299262e-11
FR	TRADE	386911.73	386911.72795755515	0.0020424448302946985	386911.51933438284	386911.5193343832	-3.4924596548080444e-10
FR	TRANSPORT	199502.373	199502.23800000004	0.13499999995110556	199502.18524203124	199502.1852420311	1.4551915228366852e-10
FR	UTIL_WASTE	147053.24035924536	147053.1188108793	0.12154836606350727	147053.08770133965	147053.08770133948	1.7462298274040222e-10
IT	AGRI_FOOD	185622.84099999996	185622.70899999992	0.13200000004144385	185622.73826166772	185622.7382616676	1.1641532182693481e-10
IT	BASIC_METALS	47020.27199999999	47020.24800000001	0.02399999998306157	47020.205217435025	47020.20521743486	1.673470251262188e-10
IT	CONSTRUCTION	177606.69599999997	177606.65899999996	0.03700000001117587	177606.61111259414	177606.61111259394	2.0372681319713593e-10
IT	EXTRACTIVE	7023.558000000001	7023.507999999997	0.05000000000381988	7023.517907245306	7023.517907245212	9.367795428261161e-11
IT	INC_EE	187.81022367019855	187.81008529223143	0.00013837796711868577	187.77412996319487	187.7741299630998	9.50706180447014e-11
IT	METAL_COMPONENTS	85776.72900000004	85776.70699999998	0.022000000055413693	85776.64644230623	85776.6464423062	2.9103830456733704e-11
IT	NEW_ELMA	25223.140600000002	25223.1483	-0.0076999999982945155	25223.059084259636	25223.059084259523	1.127773430198431e-10
IT	NEW_OFMA	3371.4744265004842	3371.474270319983	0.00015618050110788317	3371.4043172438423	3371.404317243747	9.549694368615746e-11
IT	NEW_RATV	11739.452173499516	11739.45162968002	0.0005438194966700394	11739.377236889184	11739.377236889088	9.640643838793039e-11
IT	OTHER_MANUFACTURING	544043.8477999999	544043.6728000004	0.17499999946448952	544043.7212719994	544043.7212720001	-6.984919309616089e-10
