product_region	product_sector	activity_region	activity_sector	original_value_meur	balanced_value_meur	delta_meur	abs_delta_meur	pct_delta	objective_contribution
ROW	OTHER_SERVICES	ROW	OTHER_SERVICES	3.168554784018688e7	3.1685546876779143e7	-0.9634077362716198	0.9634077362716198	-3.040527312738228e-6	0.46407723315400345
ROW	OTHER_MANUFACTURING	ROW	OTHER_SERVICES	32141.53926474075	32140.6670824478	-0.8721822929510381	0.8721822929510381	-0.002713567280543473	0.38035097606866525
ROW	TRANSPORT	ROW	OTHER_SERVICES	13327.040655718081	13326.292855948881	-0.7477997692003555	0.7477997692003555	-0.005611146454179275	0.2796022474080525
ROW	AGRI_FOOD	ROW	OTHER_SERVICES	3652.296409748229	3651.560613902045	-0.7357958461839189	0.7357958461839189	-0.020146115310357326	0.27069776363075465
ROW	UTIL_WASTE	ROW	OTHER_SERVICES	2827.0280132778153	2826.294150939639	-0.7338623381760954	0.7338623381760954	-0.025958792581089924	0.2692769656966429
ROW	OTHER_SERVICES	ROW	OTHER_MANUFACTURING	300661.47146576113	300660.7431191482	-0.7283466129447334	0.7283466129447334	-0.0002422480703609795	0.2652443942940326
ROW	PUBLIC_SOCIAL	ROW	OTHER_SERVICES	23577.719148838187	23576.99096661696	-0.7281822212280531	0.7281822212280531	-0.0030884336887350484	0.26512467365631065
ROW	TRADE	ROW	OTHER_SERVICES	108416.3574978767	108415.6471455136	-0.710352363093989	0.710352363093989	-0.0006552077375481841	0.25230023987660716
ROW	METAL_COMPONENTS	ROW	OTHER_SERVICES	3776.300483617801	3775.5966707710736	-0.7038128467274873	0.7038128467274873	-0.018637628276159186	0.2476762616093248
ROW	EXTRACTIVE	ROW	OTHER_SERVICES	1010.5831400620865	1009.8797104185262	-0.7034296435602982	0.7034296435602982	-0.06960631101732828	0.2474066317196841
ROW	BASIC_METALS	ROW	OTHER_SERVICES	103.15414940118944	102.453467033292	-0.7006823678974428	0.7006823678974428	-0.6792575693415231	0.24547789034118367
ROW	NEW_ELMA	ROW	OTHER_SERVICES	1008.4352090469957	1007.7351693679035	-0.7000396790922423	0.7000396790922423	-0.0694184091166157	0.24502777615178478
ROW	CONSTRUCTION	ROW	OTHER_SERVICES	47747.55615456911	47746.85644971	-0.6997048591074417	0.6997048591074417	-0.0014654254907672062	0.24479344492928246
ROW	NEW_RATV	ROW	OTHER_SERVICES	13071.374997576022	13070.67649704171	-0.6985005343121884	0.6985005343121884	-0.005343741836201008	0.24395149821720633
ROW	NEW_OFMA	ROW	OTHER_SERVICES	2482.1723697546263	2481.482174802406	-0.6901949522202813	0.6901949522202813	-0.02780608472764968	0.23818453603517817
ROW	REU_RATV	ROW	OTHER_SERVICES	3655.6692439551903	3654.981014015653	-0.6882299395374503	0.6882299395374503	-0.01882637332891833	0.23683022483786123
ROW	REF_RATV	ROW	OTHER_SERVICES	1640.4304355240706	1639.7425550921648	-0.6878804319057963	0.6878804319057963	-0.04193292303102376	0.23658974429945243
