product_region	product_sector	activity_region	activity_sector	value_meur
DE	AGRI_FOOD	DE	AGRI_FOOD	225938.0863994678
DE	AGRI_FOOD	DE	EXTRACTIVE	43.26513054780532
DE	AGRI_FOOD	DE	OTHER_MANUFACTURING	1293.2666828730512
DE	AGRI_FOOD	DE	OTHER_SERVICES	241.5491773803873
DE	AGRI_FOOD	DE	REF_ELMA	22.934052242058772
DE	AGRI_FOOD	DE	REF_RATV	23.52175777195732
DE	AGRI_FOOD	DE	REU_ELMA	2.901212632973061
DE	AGRI_FOOD	DE	REU_RATV	4.788251603180521
DE	AGRI_FOOD	DE	TRADE	927.2080409997299
DE	BASIC_METALS	DE	BASIC_METALS	83961.26871555249
DE	BASIC_METALS	DE	METAL_COMPONENTS	830.8244548104944
DE	BASIC_METALS	DE	NEW_ELMA	124.67912179829484
DE	BASIC_METALS	DE	NEW_RATV	3.5167962693802712
DE	BASIC_METALS	DE	OTHER_MANUFACTURING	1501.3368653735686
DE	BASIC_METALS	DE	OTHER_SERVICES	2.727990785010176
DE	BASIC_METALS	DE	REF_ELMA	4.078446796871335
DE	BASIC_METALS	DE	REF_RATV	4.149275107867268
DE	BASIC_METALS	DE	TRADE	118.92667231243054
DE	CONSTRUCTION	DE	AGRI_FOOD	714.4849054888067
DE	CONSTRUCTION	DE	BASIC_METALS	65.8526390729794
DE	CONSTRUCTION	DE	CONSTRUCTION	284177.4842521089
DE	CONSTRUCTION	DE	EXTRACTIVE	83.51563656880909
DE	CONSTRUCTION	DE	INC_EE	1.8029236596821163
DE	CONSTRUCTION	DE	METAL_COMPONENTS	249.74437833098068
DE	CONSTRUCTION	DE	NEW_ELMA	168.81214531878106
DE	CONSTRUCTION	DE	NEW_RATV	16.903204291980717
DE	CONSTRUCTION	DE	OTHER_MANUFACTURING	1917.7776888940548
DE	CONSTRUCTION	DE	OTHER_SERVICES	2371.41732799921
DE	CONSTRUCTION	DE	PUBLIC_SOCIAL	222.5078711806013
DE	CONSTRUCTION	DE	REC_EE	4.836973584485048
DE	CONSTRUCTION	DE	REF_ELMA	5.778985310035328
DE	CONSTRUCTION	DE	REF_RATV	5.882059681485646
DE	CONSTRUCTION	DE	REU_ELMA	1.5668436785026638
DE	CONSTRUCTION	DE	REU_RATV	0.9171646318110944
DE	CONSTRUCTION	DE	TRADE	195.2149761892105
DE	CONSTRUCTION	DE	TRANSPORT	548.2090116239987
DE	CONSTRUCTION	DE	UTIL_WASTE	11314.867344528035
DE	EXTRACTIVE	DE	BASIC_METALS	0.9961608151008496
DE	EXTRACTIVE	DE	CONSTRUCTION	138.74577385102464
DE	EXTRACTIVE	DE	EXTRACTIVE	8937.13715831093
DE	EXTRACTIVE	DE	NEW_RATV	0.7018500507636107
DE	EXTRACTIVE	DE	OTHER_MANUFACTURING	717.5585106361764
DE	EXTRACTIVE	DE	OTHER_SERVICES	18.489802352824515
DE	EXTRACTIVE	DE	REF_ELMA	1.945000136429412
DE	EXTRACTIVE	DE	REF_RATV	1.7698356712994456
DE	EXTRACTIVE	DE	TRADE	38.00861963621544
DE	INC_EE	DE	INC_EE	46.25576590249664
DE	INC_EE	DE	REC_EE	25.624420928902726
DE	INC_EE	DE	UTIL_WASTE	4.666136271156218
DE	METAL_COMPONENTS	DE	BASIC_METALS	1748.1291126122965
DE	METAL_COMPONENTS	DE	CONSTRUCTION	177.28672564822028
DE	METAL_COMPONENTS	DE	EXTRACTIVE	1.0041101081261758
DE	METAL_COMPONENTS	DE	INC_EE	0.008045407462624936
DE	METAL_COMPONENTS	DE	METAL_COMPONENTS	118184.83385187031
DE	METAL_COMPONENTS	DE	NEW_ELMA	369.1461188580982
DE	METAL_COMPONENTS	DE	NEW_RATV	61.98104145000392
DE	METAL_COMPONENTS	DE	OTHER_MANUFACTURING	5810.275562433371
DE	METAL_COMPONENTS	DE	OTHER_SERVICES	211.3122262902015
DE	METAL_COMPONENTS	DE	REC_EE	0.02704732114071231
DE	METAL_COMPONENTS	DE	REF_ELMA	21.37384721692004
DE	METAL_COMPONENTS	DE	REF_RATV	19.356321254842598
DE	METAL_COMPONENTS	DE	REU_ELMA	0.008862537899692262
DE	METAL_COMPONENTS	DE	REU_RATV	0.018008664308500705
DE	METAL_COMPONENTS	DE	TRADE	410.454448206179
DE	METAL_COMPONENTS	DE	TRANSPORT	176.45348516331575
DE	METAL_COMPONENTS	DE	UTIL_WASTE	59.63456966154866
DE	NEW_ELMA	DE	BASIC_METALS	330.364866773705
DE	NEW_ELMA	DE	CONSTRUCTION	19.548079809628767
DE	NEW_ELMA	DE	INC_EE	0.12977366489322678
DE	NEW_ELMA	DE	METAL_COMPONENTS	275.8098060317063
DE	NEW_ELMA	DE	NEW_ELMA	57603.7573730195
DE	NEW_ELMA	DE	NEW_OFMA	0.023007380029224582
DE	NEW_ELMA	DE	NEW_RATV	836.7290942638158
DE	NEW_ELMA	DE	OTHER_MANUFACTURING	3037.1244765947795
DE	NEW_ELMA	DE	OTHER_SERVICES	196.80376300102114
DE	NEW_ELMA	DE	REC_EE	0.3542936955848395
DE	NEW_ELMA	DE	REF_ELMA	8.801410046260589
DE	NEW_ELMA	DE	REF_RATV	6.900542988625191
DE	NEW_ELMA	DE	TRADE	226.76676787737864
DE	NEW_ELMA	DE	UTIL_WASTE	646.6250575138993
DE	NEW_OFMA	DE	NEW_ELMA	0.029986825737048035
DE	NEW_OFMA	DE	NEW_OFMA	1.8600275128732122
DE	NEW_OFMA	DE	OTHER_MANUFACTURING	0.05157663537937902
DE	NEW_RATV	DE	BASIC_METALS	12.567579444432129
DE	NEW_RATV	DE	CONSTRUCTION	56.64419443786922
DE	NEW_RATV	DE	METAL_COMPONENTS	108.64531798301378
DE	NEW_RATV	DE	NEW_ELMA	651.1336296953923
DE	NEW_RATV	DE	NEW_RATV	48256.42806461308
DE	NEW_RATV	DE	OTHER_MANUFACTURING	2020.5133470362975
DE	NEW_RATV	DE	OTHER_SERVICES	80.00108976843605
DE	NEW_RATV	DE	REF_ELMA	4.342864471309443
DE	NEW_RATV	DE	REF_RATV	3.6351629098412586
DE	NEW_RATV	DE	REU_ELMA	0.038562230264543106
DE	NEW_RATV	DE	REU_RATV	0.067023151247799
DE	NEW_RATV	DE	TRADE	60.09451104896501
DE	OTHER_MANUFACTURING	DE	AGRI_FOOD	2370.057562998748
DE	OTHER_MANUFACTURING	DE	BASIC_METALS	2576.594096582921
DE	OTHER_MANUFACTURING	DE	CONSTRUCTION	1974.267409618845
DE	OTHER_MANUFACTURING	DE	EXTRACTIVE	731.5102940787506
DE	OTHER_MANUFACTURING	DE	INC_EE	0.1679509917228001
DE	OTHER_MANUFACTURING	DE	METAL_COMPONENTS	4587.567935840921
DE	OTHER_MANUFACTURING	DE	NEW_ELMA	4795.041162828723
DE	OTHER_MANUFACTURING	DE	NEW_OFMA	0.07435805313716906
DE	OTHER_MANUFACTURING	DE	NEW_RATV	2205.479923209139
DE	OTHER_MANUFACTURING	DE	OTHER_MANUFACTURING	1.107300496526404e6
DE	OTHER_MANUFACTURING	DE	OTHER_SERVICES	3849.419723352138
DE	OTHER_MANUFACTURING	DE	PUBLIC_SOCIAL	158.88552869054286
DE	OTHER_MANUFACTURING	DE	REC_EE	0.4589968377643757
DE	OTHER_MANUFACTURING	DE	REF_ELMA	178.07639728721884
DE	OTHER_MANUFACTURING	DE	REF_RATV	169.45074370119977
DE	OTHER_MANUFACTURING	DE	REP_ELMA	0.16955336335454604
DE	OTHER_MANUFACTURING	DE	REP_RATV	0.42779410697874765
DE	OTHER_MANUFACTURING	DE	REU_ELMA	11.822923554210815
DE	OTHER_MANUFACTURING	DE	REU_RATV	18.588622936841688
DE	OTHER_MANUFACTURING	DE	TRADE	5935.0096085902
DE	OTHER_MANUFACTURING	DE	TRANSPORT	721.9046691339402
DE	OTHER_MANUFACTURING	DE	UTIL_WASTE	595.2864664725381
DE	OTHER_SERVICES	DE	AGRI_FOOD	3499.566773323568
DE	OTHER_SERVICES	DE	BASIC_METALS	1695.5515866749934
DE	OTHER_SERVICES	DE	CONSTRUCTION	1274.7811612990822
DE	OTHER_SERVICES	DE	EXTRACTIVE	666.1055776315567
DE	OTHER_SERVICES	DE	INC_EE	1.2004677485247062
DE	OTHER_SERVICES	DE	METAL_COMPONENTS	3666.192375807647
DE	OTHER_SERVICES	DE	NEW_ELMA	5443.395912685738
DE	OTHER_SERVICES	DE	NEW_OFMA	0.32322874662658846
DE	OTHER_SERVICES	DE	NEW_RATV	8685.322715890417
DE	OTHER_SERVICES	DE	OTHER_MANUFACTURING	90052.81913184679
DE	OTHER_SERVICES	DE	OTHER_SERVICES	1.794355992725033e6
