product_region	product_sector	use_region	use_code	original_value_meur	balanced_value_meur	delta_meur	abs_delta_meur	pct_delta	objective_contribution
ROW	OTHER_SERVICES	ROW	P3_S14	1.2888234436949048e7	1.2888234820286091e7	0.38333704322576523	0.38333704322576523	2.9743177399596575e-6	0.0734736443545361
ROW	OTHER_SERVICES	ROW	P51G	2.6581804520879905e6	2.6581807723397035e6	0.32025171304121614	0.32025171304121614	1.2047779254025424e-5	0.05128057985291672
ROW	OTHER_SERVICES	ROW	OTHER_MANUFACTURING	1.3523843500752018e6	1.3523846692500822e6	0.3191748803947121	0.3191748803947121	2.360090017138721e-5	0.050936302137489384
ROW	OTHER_SERVICES	ROW	OTHER_SERVICES	7.824495372964909e6	7.824495680203916e6	0.30723900627344847	0.30723900627344847	3.926630301744653e-6	0.047197903487948056
ROW	OTHER_SERVICES	ROW	P3_S13	917701.7408838287	917702.0416791308	0.30079530202783644	0.30079530202783644	3.27770220570949e-5	0.045238906861008676
ROW	OTHER_MANUFACTURING	ROW	P3_S14	3.589981605289564e6	3.589981897401163e6	0.2921115988865495	0.2921115988865495	8.136855031684433e-6	0.042664593102028185
ROW	OTHER_SERVICES	ROW	AGRI_FOOD	438300.08585130464	438300.3703332808	0.2844819761812687	0.2844819761812687	6.490575415442207e-5	0.040464997385999964
ROW	OTHER_SERVICES	ROW	CONSTRUCTION	788700.0903998163	788700.3706975606	0.28029774432070553	0.28029774432070553	3.553920529901474e-5	0.039283412735637804
ROW	OTHER_SERVICES	ROW	PUBLIC_SOCIAL	2.0429107615583092e6	2.0429110407336531e6	0.2791753439232707	0.2791753439232707	1.366556724730937e-5	0.03896943632733824
ROW	OTHER_SERVICES	ROW	TRADE	1.8361266299056115e6	1.8361269068369132e6	0.27693130169063807	0.27693130169063807	1.5082363992775056e-5	0.0383454729280356
ROW	OTHER_SERVICES	ROW	TRANSPORT	701151.4645762512	701151.7360766974	0.2715004461351782	0.2715004461351782	3.8722082153713045e-5	0.0368562461258004
ROW	OTHER_SERVICES	ROW	BASIC_METALS	152378.6520464506	152378.92225436366	0.2702079130685888	0.2702079130685888	0.00017732661986419172	0.03650615814244103
ROW	OTHER_SERVICES	ROW	UTIL_WASTE	301104.22809896717	301104.4963484662	0.2682494990294799	0.2682494990294799	8.90885859435064e-5	0.03597889686478348
ROW	OTHER_SERVICES	ROW	EXTRACTIVE	265265.66477011796	265265.93174103065	0.2669709126930684	0.2669709126930684	0.0001006428453243009	0.03563673411208497
ROW	OTHER_SERVICES	DE	P3_S14	23298.645249300364	23298.911459893243	0.2662105928793608	0.2662105928793608	0.0011426011685694679	0.035434039880590386
ROW	OTHER_SERVICES	ROW	NEW_RATV	119411.89508261651	119412.1600020277	0.264919411187293	0.264919411187293	0.00022185345187261741	0.03509114721191101
ROW	OTHER_SERVICES	ROW	METAL_COMPONENTS	127530.01092398516	127530.27539355941	0.2644695742492331	0.2644695742492331	0.00020737830439524654	0.03497207785178531
ROW	OTHER_SERVICES	FR	P3_S14	14821.118111134441	14821.382025494255	0.26391435981349787	0.26391435981349787	0.0017806643050447782	0.03482539465788421
ROW	OTHER_SERVICES	ROW	NEW_ELMA	64234.69521117622	64234.95847507564	0.26326389941823436	0.26326389941823436	0.0004098468881228987	0.03465394036844711
ROW	OTHER_SERVICES	DE	OTHER_MANUFACTURING	19350.878069264938	19351.14132912437	0.26325985943185515	0.26325985943185515	0.0013604543343694135	0.03465287679404007
ROW	OTHER_SERVICES	DE	OTHER_SERVICES	44330.33038012111	44330.59333234971	0.26295222860062495	0.26295222860062495	0.0005931655062028134	0.03457193726301766
ROW	OTHER_SERVICES	FR	OTHER_SERVICES	35076.428579271254	35076.691207513155	0.26262824190052925	0.26262824190052925	0.0007487314203240517	0.03448679672188145
ROW	OTHER_SERVICES	ROW	P3_S15	160138.81148764197	160139.07349033776	0.2620026957883965	0.2620026957883965	0.00016360974167003571	0.034322706300193524
ROW	OTHER_SERVICES	IT	P3_S14	1339.5679999999998	1339.8295636620264	0.26156366202667414	0.26156366202667414	0.019525971210619705	0.03420777464640211
ROW	OTHER_SERVICES	ROW	P5M	23062.151970909017	23062.4134131057	0.2614421966827649	0.2614421966827649	0.0011336418085031808	0.03417601110315477
ROW	OTHER_SERVICES	IT	OTHER_MANUFACTURING	10036.812656397191	10037.073974043042	0.2613176458507951	0.2613176458507951	0.0026035919449411897	0.03414345601650078
ROW	OTHER_SERVICES	FR	OTHER_MANUFACTURING	6995.99307048617	6996.254228631755	0.26115814558488637	0.26115814558488637	0.0037329674708602564	0.03410178850266835
ROW	OTHER_SERVICES	PL	P5M	291.3782906780233	291.6391317401109	0.26084106208759295	0.26084106208759295	0.0895197310275341	0.03401902983549176
ROW	OTHER_SERVICES	IT	OTHER_SERVICES	12275.01336269123	12275.273949979523	0.2605872882922995	0.2605872882922995	0.0021229083878990347	0.033952867409767
ROW	OTHER_SERVICES	ROW	NEW_OFMA	22675.572129869597	22675.83259106882	0.2604611992246646	0.2604611992246646	0.0011486422381447646	0.03392001815077521
ROW	OTHER_SERVICES	DE	PUBLIC_SOCIAL	7610.68865027617	7610.948548116776	0.259897840605845	0.259897840605845	0.0034149057010289603	0.0337734437757906
ROW	OTHER_SERVICES	FR	P51G	19442.9206863212	19443.180413282953	0.2597269617544953	0.2597269617544953	0.0013358433434191943	0.033729047331110526
ROW	OTHER_SERVICES	DE	UTIL_WASTE	3238.8519915800066	3239.111638730784	0.25964715077725486	0.25964715077725486	0.008016641435059568	0.03370832145337326
ROW	OTHER_SERVICES	DE	TRADE	3127.506338457301	3127.7659299800757	0.25959152277482644	0.25959152277482644	0.008300271675960045	0.03369387934827662
ROW	OTHER_SERVICES	ROW	REF_RATV	22037.612787064434	22037.872351468308	0.2595644038738101	0.2595644038738101	0.0011778245056840654	0.033686839879183195
ROW	OTHER_SERVICES	FR	TRADE	7803.389091479072	7803.648633861479	0.2595423824068348	0.2595423824068348	0.0033260212884968494	0.03368112413270784
