instrument,wedge_percent,family,route,valid_parameter_configurations,median_change_tonnes,lower_quartile_change_tonnes,upper_quartile_change_tonnes,median_change_percent,lower_quartile_change_percent,upper_quartile_change_percent
recycling_support,0.25,ELMA,INC,729,-0.003091464549470402,-0.012572828340836395,-0.0002530541218561666,-2.020309717684073e-6,-8.216496378752567e-6,-1.6537394924150263e-7
recycling_support,0.25,ELMA,REC,729,10.47145790170017,5.232268035768776,20.940805391701993,0.018838961121578415,0.009413254107388554,0.037674125449595815
recycling_support,0.25,ELMA,REP,729,0.11273500484185206,-0.11006580987850612,0.2542326858110755,5.064303601623409e-6,-4.944397511360931e-6,1.1420689680277929e-5
recycling_support,0.25,ELMA,REU,729,-2.51319201340916e-5,-5.285786792152969e-5,1.7266078573552335e-6,-1.1971208700044757e-5,-2.5178043100243388e-5,8.224434461534913e-7
recycling_support,0.25,OFMA,INC,729,-3.872250176856218e-5,-0.0002347143205961022,5.006070543905894e-6,-1.4526860112626967e-6,-8.805376579511384e-6,1.878042047487357e-7
recycling_support,0.25,OFMA,REC,729,0.2097356267926893,0.10479368609700718,0.41936913131824954,0.01866636946150971,0.009326587436924633,0.037323650090580085
recycling_support,0.25,OFMA,REP,729,-0.5965390759990195,-0.7993540886080077,-0.18009682491659795,-0.0006620206779984702,-0.0008870985271415689,-0.00019986590473891093
recycling_support,0.25,OFMA,REU,729,0.0007110942872091686,0.0003129630859902699,0.0010505558195188502,0.002007595870040654,0.0008835725588165615,0.002965980127320062
recycling_support,0.25,RATV,INC,729,9.881689169333185e-5,-0.0038447606821989666,0.002713420306633907,2.744143991207156e-7,-1.0676896169157453e-5,7.53516519541706e-6
recycling_support,0.25,RATV,REC,729,2.1423536413199997,1.070388321153473,4.284160150994765,0.015113986998755912,0.007551430752378433,0.030224114064952987
recycling_support,0.25,RATV,REP,729,0.4563956478086766,0.105770047463011,0.6923091524949996,1.6845800887377378e-5,3.904027498871483e-6,2.5553491124281547e-5
recycling_support,0.25,RATV,REU,729,0.0001447862870334049,-8.911015731083438e-6,0.00029174895025274594,1.1138101171405879e-5,-6.855054907920762e-7,2.2443626334701282e-5
recycling_support,0.5,ELMA,INC,729,-0.006144051468865541,-0.02309424949119432,-0.0017506884800724265,-4.015212430828815e-6,-1.5092373185283084e-5,-1.1440962341081332e-6
recycling_support,0.5,ELMA,REC,729,20.996515667466618,10.48595515424163,42.081108890241055,0.03777435253631616,0.018865042798032843,0.07570716339388082
recycling_support,0.5,ELMA,REP,729,0.16848695199314534,-0.26262870211849076,0.4478213455822697,7.568803310049323e-6,-1.1797857142013353e-5,2.0117116742023567e-5
recycling_support,0.5,ELMA,REU,729,-4.406215637753341e-5,-9.576006349099053e-5,4.413437330708092e-6,-2.0988339408811606e-5,-4.5613852784178436e-5,2.1022738847082816e-6
recycling_support,0.5,OFMA,INC,729,-7.754943261908953e-5,-0.00040908681276843883,4.5412353195106725e-6,-2.909289710164651e-6,-1.5347011767282807e-5,1.703657749681134e-7
recycling_support,0.5,OFMA,REC,729,0.42052274316737426,0.210013979308671,0.8426673598514393,0.03742632098784363,0.018691142700960305,0.07499698793514752
recycling_support,0.5,OFMA,REP,729,-0.5368604526619611,-0.8303306833462658,-0.07974694329312415,-0.0005957911814353992,-0.0009214753971167037,-8.85006994366726e-5
recycling_support,0.5,OFMA,REU,729,0.0012154208912849018,0.0007601002487682695,0.001552380162429201,0.0034314351916414024,0.0021459518768362517,0.004382754943873104
recycling_support,0.5,RATV,INC,729,0.0006003160573868627,-0.007077611759655156,0.002875931987517788,1.667077028506142e-6,-1.9654520041602756e-5,7.986459953789399e-6
