instrument,wedge_percent,activity_group,valid_parameter_configurations,median_change_million_eur,lower_quartile_change_million_eur,upper_quartile_change_million_eur,median_change_percent,lower_quartile_change_percent,upper_quartile_change_percent
recycling_support,0.25,All industries,729,0.5090935386523427,-0.31806984113069026,1.290601110833487,1.583844462404193e-6,-9.895493033897135e-7,4.015198126386518e-6
recycling_support,0.25,Basic metals,729,0.01807151528464601,-0.003470020197710255,0.035370198021155375,4.0881635492797825e-6,-7.849928389676251e-7,8.00149583492056e-6
recycling_support,0.25,New CE-RISE products,729,0.1351954188362296,-0.01584015096692637,0.4127139274655236,2.5966106719534805e-5,-3.0423149985892296e-6,7.926728566331363e-5
recycling_support,0.25,Recycling,729,0.09633824539349956,0.048252430251606304,0.19272985294075617,0.013651407076456087,0.0068375084588118,0.027310375724160382
recycling_support,0.25,Refurbishment,729,-0.005240408717824264,-0.0232696160115808,-0.0016123796017340729,-6.1442412310402406e-6,-2.728301202746143e-5,-1.890472625760568e-6
recycling_support,0.25,Repair,729,1.2130345254440967e-5,-1.7206329606627166e-5,3.980621520395537e-5,1.937207295586341e-6,-2.7478382973634903e-6,6.357023556963273e-6
recycling_support,0.25,Reuse,729,-0.004208065830038825,-0.008845897258178682,-0.0021422098346700353,-1.713773482540281e-5,-3.602572954494053e-5,-8.724346426163124e-6
recycling_support,0.25,Trade,729,0.09042620433683624,0.010893110222241376,0.15733746453588537,2.851689268330273e-6,3.435261465116556e-7,4.961809051035736e-6
recycling_support,0.5,All industries,729,0.669983320285517,-1.11607582795083,2.574334895044632,2.0843897853065162e-6,-3.4722313003675035e-6,8.009031265020874e-6
recycling_support,0.5,Basic metals,729,0.02843937383249795,-0.010345964702537458,0.05558031031068822,6.433595060286202e-6,-2.3404786545698585e-6,1.2573455799926571e-5
recycling_support,0.5,New CE-RISE products,729,0.34312819390053395,0.06916058832483385,0.9294233446628086,6.590240540709492e-5,1.328322536909406e-5,0.0001785083101415512
recycling_support,0.5,Recycling,729,0.19321631938679096,0.09734302009692541,0.3869599438410264,0.02737930942154394,0.013793786547775846,0.054833339491442784
recycling_support,0.5,Refurbishment,729,-0.009378805907090074,-0.0430887969398424,-0.001538482440989506,-1.09964029618855e-5,-5.0520479791010725e-5,-1.8038301505361135e-6
recycling_support,0.5,Repair,729,2.01682140409704e-5,-3.4250663088211996e-5,7.911079781293776e-5,3.220849082195801e-6,-5.469805931084135e-6,1.2633936748590832e-5
recycling_support,0.5,Reuse,729,-0.007665818752373554,-0.016578300825782384,-0.002796494576863505,-3.121975137790848e-5,-6.751665370123372e-5,-1.1388981169620093e-5
recycling_support,0.5,Trade,729,0.15481190125865396,-0.009440447352972114,0.29064043189646327,4.882162650415995e-6,-2.977148339086723e-7,9.165663943011885e-6
recycling_support,1.0,All industries,729,1.3127149759024501,-1.9909149632234096,5.004553178986683,4.083996726422819e-6,-6.193949442015067e-6,1.5569700334734225e-5
recycling_support,1.0,Basic metals,729,0.02401394448679639,-0.06977709734428572,0.10854954567548702,5.432468223036798e-6,-1.5785072886703202e-5,2.4556230561593695e-5
recycling_support,1.0,New CE-RISE products,729,0.7680254836890896,0.215226322877756,1.9957023733107926,0.00014750967040494414,4.133712308353799e-5,0.0003833016033601863
recycling_support,1.0,Recycling,729,0.38876663338229833,0.19570743660895784,0.779840137224264,0.055089352607033244,0.02773230791126551,0.1105055954091283
recycling_support,1.0,Refurbishment,729,-0.034212501615599,-0.10293834685581996,-0.009098653312379823,-4.0113257257479297e-5,-0.00012069250107420387,-1.066793142245419e-5
recycling_support,1.0,Repair,729,1.3311296928842172e-5,-0.00010743263161415954,0.00012367941799532086,2.125804417579784e-6,-1.7156912966707886e-5,1.9751512910332856e-5
recycling_support,1.0,Reuse,729,-0.0210403381679724,-0.040825229215501614,-0.008747167593733226,-8.568871084833576e-5,-0.0001662644979289156,-3.5623643913567006e-5
recycling_support,1.0,Trade,729,0.23110060017461365,-0.08455459175092983,0.5131454164438765,7.288010220706708e-6,-2.6665215426673233e-6,1.6182602022522984e-5
recycling_support,2.0,All industries,729,0.15794333856726972,-9.006500752311773,7.742997718510429,4.913786233185213e-7,-2.8020187370916474e-5,2.408929426065256e-5
recycling_support,2.0,Basic metals,729,-0.0017867889641820511,-0.1944074029947842,0.17867748964590646,-4.042099070639512e-7,-4.3979115537425296e-5,4.0420672464129556e-5
recycling_support,2.0,New CE-RISE products,729,1.625150584802041,0.5180551934960489,3.931937976695135,0.0003121321261024632,9.949949899768766e-5,0.000755181810133362
recycling_support,2.0,Recycling,729,0.7876955955806255,0.3968177431907889,1.5838218744055101,0.11161873650228414,0.05623021807390806,0.2244321251190869
recycling_support,2.0,Refurbishment,729,-0.0953252940207967,-0.22334368564286058,-0.03930942310938912,-0.00011176639712692435,-0.0002618645903010214,-4.608926349883558e-5
recycling_support,2.0,Repair,729,-8.145357071067718e-5,-0.00031781580831486414,0.00017551571495092605,-1.3008075873943636e-5,-5.075495294755945e-5,2.8029731750553064e-5
recycling_support,2.0,Reuse,729,-0.05237684823065529,-0.09327638737177991,-0.026818103198367194,-0.00021330952798764762,-0.00037987665991760875,-0.0001092191899314214
recycling_support,2.0,Trade,729,0.12699143027384707,-0.5516566021251492,0.7409664186288865,4.004813665963166e-6,-1.739709438903045e-5,2.336718653318268e-5
refurbishment_support,0.25,All industries,729,51.43272650770146,36.61229852311589,63.87412762656542,0.00016001271452244475,0.00011390477754878046,0.00019871924440461756
refurbishment_support,0.25,Basic metals,729,0.6398046265849189,0.31262264491579117,0.8542197255360406,0.00014473750052758865,7.072193346846163e-5,0.00019324278512679733
refurbishment_support,0.25,New CE-RISE products,729,0.012635922365819008,-32.62032729540758,16.275540220711576,2.4268996056169997e-6,-0.006265174567832019,0.0031259373870353457
refurbishment_support,0.25,Recycling,729,0.00131296938861436,0.0009642658370628832,0.0021228247727139715,0.00018605154712454943,0.00013663924870015338,0.00030081038954576895
refurbishment_support,0.25,Refurbishment,729,42.96791145127864,24.445457628225178,79.91708747468766,0.050378744742076646,0.028661655367443934,0.09370068067229702
refurbishment_support,0.25,Repair,729,-0.0006755275441102698,-0.08729087772626815,0.041422263389441286,-0.00010788125643734138,-0.013940289550836196,0.006615105264891846
refurbishment_support,0.25,Reuse,729,-0.011845981655943328,-3.2380529251903556,1.5749725992741115,-4.8243848971290436e-5,-0.013187268123636776,0.006414220654456051
refurbishment_support,0.25,Trade,729,-1.3810779288542108,-3.023371849576506,0.38210977860399,-4.355380320672007e-5,-9.534533845459556e-5,1.2050249847014613e-5
refurbishment_support,0.5,All industries,729,86.76956115855336,44.07044355240622,122.93978886964997,0.0002699493875136581,0.00013710786461924073,0.0003824788354732492
refurbishment_support,0.5,Basic metals,729,1.192266194210788,0.33936597821275427,1.6457997330871876,0.00026971613168209056,7.677184785790982e-5,0.0003723151253410954
refurbishment_support,0.5,New CE-RISE products,729,-0.8300963615660333,-66.73221862579263,32.256355225910795,-0.0001594312210990197,-0.012816824160434918,0.00619526881451183
refurbishment_support,0.5,Recycling,729,0.010576519105012339,0.003521605374953274,0.031415751138400116,0.0014987232449801757,0.0004990216329912878,0.004451702495180752
refurbishment_support,0.5,Refurbishment,729,86.1230398692347,48.96864646490339,160.34561193255402,0.10097699644777014,0.057414448536044514,0.18800100780468018
refurbishment_support,0.5,Repair,729,-0.0015927289406183444,-0.1752698358798631,0.08304420152088753,-0.00025435765095901676,-0.02799046504452444,0.013262098455111497
refurbishment_support,0.5,Reuse,729,-0.03313513939955119,-6.517779954060915,3.1215513219043824,-0.00013494590040662345,-0.02654425786399784,0.012712804636806943
refurbishment_support,0.5,Trade,729,-4.043863240143764,-7.212422488419179,0.07950890666143096,-0.00012752765074132563,-0.0002274516326307031,2.5074003439610224e-6
refurbishment_support,1.0,All industries,729,133.40388144446115,-3.093742161913326,209.19092943891957,0.0004150337469420589,-9.624962839237011e-6,0.0006508153610727052
refurbishment_support,1.0,Basic metals,729,1.775403973552784,0.04262693231930825,3.0157405158452093,0.0004016343785061788,9.643124452024177e-6,0.000682225051787128
refurbishment_support,1.0,New CE-RISE products,729,-2.6767409899343058,-135.3795180837659,63.642628132441374,-0.0005141042707192085,-0.026001465467538367,0.012223426564419871
refurbishment_support,1.0,Recycling,729,0.05800351817968363,0.02146298633870536,0.1404782155719192,0.008219265726666779,0.003041367033244473,0.019906168088563013
refurbishment_support,1.0,Refurbishment,729,172.95161308587777,98.17702005817915,322.7850487353135,0.2027812121709317,0.11510997080787332,0.37845697004079715
refurbishment_support,1.0,Repair,729,-0.003486758821775465,-0.3524709151003116,0.16561519433200045,-0.0005568328424619001,-0.05628934824361206,0.026448625789238046
refurbishment_support,1.0,Reuse,729,-0.1455566972513532,-13.068322729003905,6.092963355305559,-0.0005927930268197811,-0.05322194533801377,0.024814153223023928
refurbishment_support,1.0,Trade,729,-10.682851436571582,-18.94086043849711,-2.6399215331675805,-0.0003368954057115812,-0.0005973207527804188,-8.325281328262642e-5
refurbishment_support,2.0,All industries,729,164.81161781392797,-151.946856066581,332.8700258476463,0.0005127465748336953,-0.0004727229247318875,0.0010355942613851942
refurbishment_support,2.0,Basic metals,729,2.9244517791585167,-0.11915335658022741,5.264128931261894,0.0006615735856624127,-2.6955039545756842e-5,0.0011908586345151942
refurbishment_support,2.0,New CE-RISE products,729,-4.885942263035119,-275.8566230285214,126.9663251847337,-0.0009384112222416549,-0.052981991361174825,0.02438559810624201
refurbishment_support,2.0,Recycling,729,0.11038417457373051,0.0507593340167628,0.2786799193337398,0.015641755730017803,0.007192743948972906,0.03948974789095362
refurbishment_support,2.0,Refurbishment,729,349.3948325090288,197.79915182491,654.8790517591625,0.409656240769777,0.23191429704074307,0.7678284438096664
refurbishment_support,2.0,Repair,729,-0.007196418063501843,-0.7113759665900544,0.3301664683525139,-0.001149262719642887,-0.1136062233785865,0.05272734427878982
refurbishment_support,2.0,Reuse,729,-0.3629796609076329,-26.422102137957822,12.019488452854791,-0.0014782680284723903,-0.10760643921717676,0.04895047134503202
refurbishment_support,2.0,Trade,729,-26.135958483333525,-47.081856369333764,-11.734622278027018,-0.0008242260401079203,-0.0014847778420497865,-0.00037006414969821804
repair_support,0.25,All industries,729,1.1581699269984427,0.8733538956643915,1.3624291179430625,3.6031905457998324e-6,2.7170974022287e-6,4.238662740734791e-6
repair_support,0.25,Basic metals,729,0.011185325863607432,0.005050132024734921,0.017616389306567726,2.53036011437189e-6,1.1424479540039073e-6,3.985204311851596e-6
repair_support,0.25,New CE-RISE products,729,0.012907396359388257,-0.299663348418668,0.11439711311215497,2.4790398537806983e-6,-5.755439460960011e-5,2.197151111385652e-5
repair_support,0.25,Recycling,729,2.1495429755824524e-5,1.1008030127324098e-5,3.3171061129988466e-5,3.0459643590709743e-6,1.559869600743655e-6,4.700434980867281e-6
repair_support,0.25,Refurbishment,729,0.0008581902165361449,-0.08383014136728827,0.04006188264961398,1.0062054309906184e-6,-9.828863333477863e-5,4.697150249083689e-5
repair_support,0.25,Repair,729,0.6870536823926566,0.3441564147689714,1.3742894280088962,0.10972197230150002,0.054961528590682776,0.2194730199818243
repair_support,0.25,Reuse,729,-0.0004194925018894567,-0.0506023829730305,0.02422110301461813,-1.7084217664118247e-6,-0.00020608285514904417,9.864266800682976e-5
repair_support,0.25,Trade,729,0.018681897647184087,-0.01122145758199622,0.04410959399137937,5.891540778866356e-7,-3.538809396757035e-7,1.3910442967160157e-6
repair_support,0.5,All industries,729,1.81783756281025,1.2572449756156285,2.3678726633081615,5.655487132989182e-6,3.911423621230402e-6,7.366705174425781e-6
repair_support,0.5,Basic metals,729,0.0252462450675921,0.01786403018877536,0.031309161865465285,5.711240989838325e-6,4.041225979703617e-6,7.082802536585041e-6
repair_support,0.5,New CE-RISE products,729,0.02734241304273309,-0.9696697252411477,0.44929083290041116,5.251479829294101e-6,-0.0001862381712732699,8.629237451719714e-5
repair_support,0.5,Recycling,729,6.959062364242374e-5,5.017032002596622e-5,0.00013074947774471823,9.861191971828078e-6,7.109278968273777e-6,1.852757789434136e-5
repair_support,0.5,Refurbishment,729,0.0011171907142320178,-0.17585118531856925,0.08296351896795767,1.3098766950330629e-6,-0.00020618088425886606,9.727254135664228e-5
repair_support,0.5,Repair,729,1.3775526773055082,0.6894489310991982,2.758922156376369,0.21999415853919743,0.1101044918504076,0.44059785753029873
repair_support,0.5,Reuse,729,-0.00048566667447246057,-0.10314354548465035,0.04868882247802607,-1.977922165793287e-6,-0.0004200615681461215,0.00019828970416487077
repair_support,0.5,Trade,729,-0.019139634421662777,-0.06903149104255135,0.035083265360299265,-6.035893077738876e-7,-2.1769835815465964e-6,1.1063891497122173e-6
repair_support,1.0,All industries,729,2.983027780523421,1.7587296785776396,4.1576455088521165,9.280518554380814e-6,5.471596181795225e-6,1.2934879969766466e-5
repair_support,1.0,Basic metals,729,0.046314402357438667,0.03192781846382786,0.058749105201513885,1.047730909916144e-5,7.222755900503762e-6,1.3290305027433441e-5
repair_support,1.0,New CE-RISE products,729,0.03789693734174679,-1.9915966887867573,0.9419277048880186,7.278618816073511e-6,-0.00038251305117723895,0.0001809099414621683
repair_support,1.0,Recycling,729,0.0005315623098274269,0.00017254405397071348,0.0017110030381385366,7.532391158088106e-5,2.4449989822215635e-5,0.00024245406263407365
repair_support,1.0,Refurbishment,729,0.0007276598718057494,-0.35356705822629025,0.16214203416740652,8.531620388539049e-7,-0.00041454806561465264,0.00019010726552710973
repair_support,1.0,Repair,729,2.76900380426139,1.3841025453502032,5.559694577124851,0.44220788933909905,0.22104016765165183,0.8878791717789998
repair_support,1.0,Reuse,729,-0.0017385204644918611,-0.20743773191671488,0.09564874914240751,-7.080284366034673e-6,-0.0008448092273029816,0.000389538321257204
repair_support,1.0,Trade,729,-0.10311549099787953,-0.2362082948347961,0.01069242213088728,-3.2518598036679208e-6,-7.449086959054907e-6,3.3719722802524437e-7
repair_support,2.0,All industries,729,5.315611669713255,2.366535121936678,7.4692835737598795,1.6537436577313513e-5,7.362543940117596e-6,2.323774027406365e-5
repair_support,2.0,Basic metals,729,0.0855616015310261,0.04964206898421253,0.11422102236974752,1.935586557561221e-5,1.1230098513440321e-5,2.583923997873685e-5
repair_support,2.0,New CE-RISE products,729,0.07606839222069584,-3.975178303068824,1.8694806185817967,1.4609962433579657e-5,-0.0007634866989965398,0.0003590590100625084
repair_support,2.0,Recycling,729,0.003968442066880962,0.0012578630937334356,0.010220259318162506,0.0005623396802896205,0.0001782428262929467,0.0014482402062749283
repair_support,2.0,Refurbishment,729,-0.0030281645503671527,-0.7158903878007892,0.32493382495115797,-3.5504431989264598e-6,-0.0008393626288586546,0.00038097635354730297
repair_support,2.0,Repair,729,5.594505105082027,2.7893197056318497,11.290231950160177,0.8934383876519114,0.44545232395050516,1.8030418135421011
repair_support,2.0,Reuse,729,-0.00462628526458591,-0.4199560771520346,0.19238249141912167,-1.8840971916141192e-5,-0.0017103097196138268,0.0007834953767416699
repair_support,2.0,Trade,729,-0.3047330529207102,-0.6756128885517683,-0.06552653452854429,-9.610090162507305e-6,-2.130619147363511e-5,-2.0664509439206766e-6
reuse_support,0.25,All industries,729,30.52374969740127,18.238604537156217,40.4762465641296,9.496265078908319e-5,5.6742249909576757e-5,0.0001259259332757068
reuse_support,0.25,Basic metals,729,0.30570001287287596,0.04054878779561477,0.45929093347695016,6.91558859322656e-5,9.173003681353132e-6,0.00010390143954217077
reuse_support,0.25,New CE-RISE products,729,-0.052995363531070705,-19.778756107871338,9.844456552545871,-1.0178475550005148e-5,-0.0037987773276877096,0.0018907608825840647
reuse_support,0.25,Recycling,729,0.0005824383051205029,0.00031194793331734694,0.0009009455526406418,8.253318676879489e-5,4.420392137033934e-5,0.00012766658187258573
reuse_support,0.25,Refurbishment,729,0.01668200554801285,-3.316247549622725,1.579638550554988,1.955921223309381e-5,-0.0038882129283830036,0.0018520846053847132
reuse_support,0.25,Repair,729,-0.00036423301953522044,-0.05106276749802065,0.024188997679921432,-5.81677477635262e-5,-0.008154686752288405,0.003862965298946516
reuse_support,0.25,Reuse,729,26.315094159603746,14.282296875555545,50.410576230949424,0.10717063939129598,0.058165966640406915,0.20530170456463576
reuse_support,0.25,Trade,729,-1.5012994198423257,-3.180395678164132,-0.24929717749546398,-4.734511943205131e-5,-0.00010029725665293432,-7.861859191219092e-6
reuse_support,0.5,All industries,729,53.81214798073674,14.423080312117222,75.97435086034876,0.00016741534927956658,4.4871745854503455e-5,0.0002363643333864942
reuse_support,0.5,Basic metals,729,0.43193160645842,-0.37517742582804203,0.8588631203533623,9.77121741864833e-5,-8.487316379536709e-5,0.0001942932204172336
