instrument,wedge_percent,parameter,value_at_lowest_median,lowest_median_reduction_tonnes,value_at_highest_median,highest_median_reduction_tonnes,conditional_median_range_tonnes,changes_material_outcome_sign
recycling_support,0.25,Metal-substitution elasticity,0.5,6.948789358139038,2.0,32.868206799030304,25.919417440891266,false
recycling_support,0.25,CET transformation elasticity,2.0,8.426244497299194,0.5,20.926370680332184,12.50012618303299,false
recycling_support,0.25,EOL-allocation elasticity,0.5,14.675313949584961,2.0,19.986069917678833,5.310755968093872,false
recycling_support,0.25,EOL-productivity elasticity,2.0,15.042515456676483,1.0,18.39549094438553,3.3529754877090454,false
recycling_support,0.25,Armington elasticity,2.0,15.042515456676483,1.0,15.9702427983284,0.9277273416519165,false
recycling_support,0.25,Circular-service elasticity,1.0,15.858966886997223,0.5,15.969511568546295,0.11054468154907227,false
recycling_support,0.5,Metal-substitution elasticity,0.5,6.2705753445625305,2.0,96.8210523724556,90.55047702789307,false
recycling_support,0.5,CET transformation elasticity,2.0,22.06754571199417,0.5,33.47111368179321,11.403567969799042,false
recycling_support,0.5,EOL-allocation elasticity,0.5,27.295425713062286,2.0,36.11369287967682,8.818267166614532,false
recycling_support,0.5,EOL-productivity elasticity,2.0,26.325849175453186,1.0,32.66741406917572,6.341564893722534,false
recycling_support,0.5,Armington elasticity,0.5,26.879420936107635,2.0,32.0325208902359,5.153099954128265,false
recycling_support,0.5,Circular-service elasticity,0.5,29.228829979896545,1.0,29.900200486183167,0.6713705062866211,false
recycling_support,1.0,Metal-substitution elasticity,0.5,23.219473958015442,2.0,238.86231297254562,215.64283901453018,false
recycling_support,1.0,CET transformation elasticity,2.0,66.85681706666946,0.5,105.19677269458771,38.33995562791824,false
recycling_support,1.0,Armington elasticity,0.5,88.68953597545624,2.0,107.85410732030869,19.164571344852448,false
recycling_support,1.0,EOL-allocation elasticity,0.5,89.46622270345688,2.0,102.59528625011444,13.129063546657562,false
recycling_support,1.0,EOL-productivity elasticity,0.5,91.16991174221039,1.0,101.22329038381577,10.053378641605377,false
recycling_support,1.0,Circular-service elasticity,2.0,91.3495152592659,0.5,97.73313754796982,6.3836222887039185,false
recycling_support,2.0,Metal-substitution elasticity,0.5,85.17955136299133,2.0,529.3803434371948,444.2007920742035,false
recycling_support,2.0,CET transformation elasticity,2.0,171.83307844400406,0.5,295.24881213903427,123.41573369503021,false
recycling_support,2.0,Armington elasticity,0.5,224.8559610247612,2.0,258.6173818707466,33.76142084598541,false
recycling_support,2.0,EOL-productivity elasticity,2.0,237.7802585363388,0.5,247.11265313625336,9.33239459991455,false
recycling_support,2.0,EOL-allocation elasticity,0.5,234.36587673425674,2.0,242.54852324724197,8.18264651298523,false
recycling_support,2.0,Circular-service elasticity,1.0,239.61176526546478,0.5,241.41027450561523,1.7985092401504517,false
refurbishment_support,0.25,Circular-service elasticity,0.5,-105.89568829536438,2.0,678.9195173382759,784.8152056336403,true
refurbishment_support,0.25,CET transformation elasticity,2.0,-13.666988551616669,0.5,273.45672339200974,287.1237119436264,true
refurbishment_support,0.25,Armington elasticity,0.5,37.39779007434845,2.0,159.02204018831253,121.62425011396408,false
refurbishment_support,0.25,EOL-productivity elasticity,0.5,57.400028109550476,1.0,98.0992900133133,40.69926190376282,false
refurbishment_support,0.25,EOL-allocation elasticity,0.5,69.63419753313065,2.0,95.2817394733429,25.64754194021225,false
refurbishment_support,0.25,Metal-substitution elasticity,1.0,79.55501413345337,2.0,82.0610402226448,2.5060260891914368,false
refurbishment_support,0.5,Circular-service elasticity,0.5,-154.64163035154343,2.0,1538.9424939751625,1693.584124326706,true
refurbishment_support,0.5,CET transformation elasticity,2.0,-27.630221903324127,0.5,851.2451922893524,878.8754141926765,true
refurbishment_support,0.5,Armington elasticity,1.0,211.76794171333313,2.0,670.4056732654572,458.637731552124,false
refurbishment_support,0.5,EOL-productivity elasticity,0.5,274.4679256081581,2.0,418.2226675748825,143.7547419667244,false
refurbishment_support,0.5,EOL-allocation elasticity,0.5,314.4524358510971,2.0,407.01785403490067,92.56541818380356,false
refurbishment_support,0.5,Metal-substitution elasticity,1.0,323.1286610364914,2.0,404.27046114206314,81.14180010557175,false
refurbishment_support,1.0,Circular-service elasticity,0.5,-255.56525313854218,2.0,3353.4047647714615,3608.9700179100037,true
refurbishment_support,1.0,CET transformation elasticity,2.0,85.08688914775848,0.5,2021.9464393258095,1936.859550178051,false
refurbishment_support,1.0,Armington elasticity,0.5,773.3971729874611,2.0,1383.4606912732124,610.0635182857513,false
refurbishment_support,1.0,EOL-allocation elasticity,0.5,800.8084349036217,2.0,1049.1571108102798,248.34867590665817,false
refurbishment_support,1.0,Metal-substitution elasticity,0.5,845.5331926345825,1.0,1086.7227428555489,241.18955022096634,false
refurbishment_support,1.0,EOL-productivity elasticity,0.5,895.3683795928955,2.0,1058.7917497754097,163.4233701825142,false
refurbishment_support,2.0,Circular-service elasticity,0.5,-400.4993752837181,2.0,7016.372116088867,7416.871491372585,true
refurbishment_support,2.0,CET transformation elasticity,2.0,437.1840186715126,0.5,4051.0947557091713,3613.9107370376587,false
refurbishment_support,2.0,Metal-substitution elasticity,0.5,1680.1453150510788,2.0,3266.714837014675,1586.5695219635963,false
refurbishment_support,2.0,Armington elasticity,0.5,1956.170704305172,2.0,3390.7926221489906,1434.6219178438187,false
refurbishment_support,2.0,EOL-productivity elasticity,0.5,2276.9086281061172,1.0,2468.04978710413,191.14115899801254,false
refurbishment_support,2.0,EOL-allocation elasticity,1.0,2348.910403609276,0.5,2509.5303223729134,160.61991876363754,false
repair_support,0.25,Circular-service elasticity,0.5,-1.565291702747345,2.0,1.249530851840973,2.814822554588318,true
repair_support,0.25,CET transformation elasticity,2.0,-1.565912663936615,0.5,-0.08977341651916504,1.47613924741745,false
repair_support,0.25,EOL-productivity elasticity,1.0,-1.6188652515411377,0.5,-0.1442742943763733,1.4745909571647644,false
repair_support,0.25,EOL-allocation elasticity,2.0,-1.6178090572357178,0.5,-0.33351248502731323,1.2842965722084045,false
repair_support,0.25,Metal-substitution elasticity,2.0,-1.3101038932800293,0.5,-0.9289767146110535,0.38112717866897583,false
repair_support,0.25,Armington elasticity,1.0,-1.1013466119766235,2.0,-0.9670388698577881,0.13430774211883545,false
repair_support,0.5,Circular-service elasticity,0.5,-2.6351630687713623,2.0,8.465896844863892,11.101059913635254,true
repair_support,0.5,CET transformation elasticity,2.0,-1.6902913451194763,0.5,3.598900020122528,5.289191365242004,true
repair_support,0.5,EOL-allocation elasticity,2.0,-0.9279306530952454,0.5,1.4963889122009277,2.424319565296173,true
repair_support,0.5,Metal-substitution elasticity,0.5,-0.35890471935272217,2.0,1.7914453148841858,2.150350034236908,true
repair_support,0.5,EOL-productivity elasticity,2.0,-0.2858920097351074,0.5,1.7914453148841858,2.077337324619293,true
repair_support,0.5,Armington elasticity,1.0,-0.04603266716003418,2.0,1.0969546437263489,1.142987310886383,true
repair_support,1.0,Circular-service elasticity,0.5,-2.0873671770095825,2.0,18.389894723892212,20.477261900901794,true
repair_support,1.0,Metal-substitution elasticity,0.5,0.4953221082687378,2.0,11.22901165485382,10.733689546585083,false
repair_support,1.0,CET transformation elasticity,2.0,2.8851903080940247,0.5,13.57339882850647,10.688208520412445,false
repair_support,1.0,EOL-allocation elasticity,2.0,3.2447615265846252,0.5,11.340853929519653,8.096092402935028,false
repair_support,1.0,EOL-productivity elasticity,2.0,4.699669241905212,0.5,12.291612684726715,7.591943442821503,false
repair_support,1.0,Armington elasticity,0.5,4.793086528778076,2.0,8.930854439735413,4.137767910957336,false
repair_support,2.0,Circular-service elasticity,0.5,2.4633625745773315,2.0,42.16230899095535,39.69894641637802,false
repair_support,2.0,CET transformation elasticity,2.0,9.719647586345673,0.5,39.111996829509735,29.392349243164062,false
repair_support,2.0,Metal-substitution elasticity,0.5,5.948441445827484,2.0,30.03170943260193,24.083267986774445,false
