instrument,wedge_percent,valid_parameter_configurations,median_reduction_tonnes,lower_quartile_reduction_tonnes,upper_quartile_reduction_tonnes,minimum_reduction_tonnes,maximum_reduction_tonnes,median_reduction_percent,lower_quartile_reduction_percent,upper_quartile_reduction_percent
recycling_support,0.25,729,15.952478468418121,7.706246554851532,29.715025544166565,-27.338189601898193,818.7990084290504,3.1401968806317986e-6,1.5169512023371486e-6,5.849312425427535e-6
recycling_support,0.5,729,29.671530961990356,10.757687211036682,91.23323982954025,-65.39156359434128,820.0558096170425,5.8407506491780345e-6,2.117618017149397e-6,1.7958985852250146e-5
recycling_support,1.0,729,95.599025785923,34.887468457221985,225.5776988863945,-40.723413705825806,27199.923710346222,1.8818377542944317e-5,6.867492085283003e-6,4.4404284123343055e-5
recycling_support,2.0,729,240.12451726198196,128.0743464231491,512.1473033428192,-52.02266699075699,109013.14483368397,4.7267781088819336e-5,2.521104566435501e-5,0.00010081463940321188
refurbishment_support,0.25,729,82.02887964248657,-64.34870612621307,542.7278572320938,-291.6205126643181,95196.16584599018,1.6147135536651255e-5,-1.2666847139161974e-5,0.00010683432845160905
refurbishment_support,0.5,729,346.3093500137329,-96.4337882399559,1366.1453447937965,-16391.6267644763,95052.27366012335,6.816994254527183e-5,-1.8982697993802373e-5,0.00026892155715515717
refurbishment_support,1.0,729,968.189345240593,-96.02271628379822,2980.2527849674225,-17348.28187441826,94922.13662612438,0.00019058512868733773,-1.8901779729157042e-5,0.0005866536988203151
refurbishment_support,2.0,729,2400.887065768242,19.704103887081146,6604.020288467407,-17073.003414094448,200487.2818209529,0.00047260731864333887,3.8786929369222135e-6,0.0012999813132818327
repair_support,0.25,729,-1.0449143052101135,-2.2057570815086365,1.0030699372291565,-11.70005053281784,44.84280210733414,-2.0568820376371998e-7,-4.341965745634874e-7,1.974512671606736e-7
repair_support,0.5,729,0.41993433237075806,-3.2415061593055725,7.5585989356040955,-29.425756990909576,191.15735590457916,8.266279645457543e-8,-6.380806311791553e-7,1.4878872174327693e-6
repair_support,1.0,729,6.518957674503326,-3.6661524772644043,19.503493189811707,-54.9130722284317,537.3977771997452,1.2832369963684735e-6,-7.216709676692368e-7,3.839203331151296e-6
repair_support,2.0,729,21.088630437850952,-1.842136025428772,47.42755991220474,-312.7156110405922,598.4823403954506,4.151232778582962e-6,-3.626188753178871e-7,9.335970958188488e-6
reuse_support,0.25,729,105.38117867708206,-43.25649058818817,475.4505069255829,-383.12561589479446,39768.95033365488,2.0743964595483296e-5,-8.514908644510821e-6,9.359098661053181e-5
reuse_support,0.5,729,554.8742443919182,-20.98172962665558,1322.2974699735641,-228.83671402931213,45819.7863535285,0.0001092253078311234,-4.130189678946693e-6,0.0002602902363227606
reuse_support,1.0,729,1592.1530224084854,105.46151614189148,2636.460193991661,-794.2709582448006,79979.87623280287,0.0003134104812837359,2.0759778781152006e-5,0.0005189791726390898
reuse_support,2.0,729,2900.5241933465004,387.2267264723778,5547.218790173531,-2407.530395925045,150058.25321376324,0.0005709593679863401,7.622440368580552e-5,0.0010919531517043495
virgin_metal_tax,0.25,729,74.67023968696594,-3.22258597612381,300.71780121326447,-725.4950495362282,4204.741014242172,1.4698609636442999e-5,-6.343562506494116e-7,5.9195384791764185e-5
virgin_metal_tax,0.5,729,770.2132202982903,104.8141160607338,1843.3444782495499,-3327.1862864494324,125259.38063573837,0.0001516141304682071,2.0632340043692485e-5,0.0003628567555811974
virgin_metal_tax,1.0,729,2373.271185338497,697.8830533027649,4028.4365099072456,-4414.043048799038,134192.80629324913,0.00046717121655091213,0.00013737615702573408,0.0007929854779166401
virgin_metal_tax,2.0,719,4240.309158086777,1488.8074232041836,8008.798281610012,-10208.694711863995,153757.09349632263,0.0008346919644806109,0.0002930672143180008,0.0015765075897961243
