instrument,wedge_percent,indicator,material,valid_parameter_configurations,median_change_tonnes,lower_quartile_change_tonnes,upper_quartile_change_tonnes,median_change_percent,lower_quartile_change_percent,upper_quartile_change_percent
recycling_support,0.25,ce_route_metal_demand,primary,729,-16.258044255368688,-26.118424322054516,-3.0091908104412473,-6.399253921087706e-5,-0.00010280352706036134,-1.1844337357280592e-5
recycling_support,0.25,ce_route_metal_demand,recycled,729,97.18007579917999,48.5715088871289,194.49650977923935,0.25041436928427857,0.12515943893926554,0.5011801075490405
recycling_support,0.25,observed_new_product_output,all,729,228.69809726076664,-504.9663642132293,860.0091218120388,0.00013425795491419444,-0.00029644213122780033,0.0005048711261046615
recycling_support,0.25,observed_recycled_metal_output,recycled,729,3.2058973480215265,1.6018509653969097,6.411017930770559,0.018091385463417986,0.009039498188478943,0.03617838751770807
recycling_support,0.25,observed_route_input_mass,all,729,12.970995918496445,6.576340300224694,25.053024470276156,0.0002452189317638387,0.00012432685612343589,0.00047363178098714254
recycling_support,0.25,primary_metal_output,primary,729,-22.02420130604878,-29.377435512375087,-7.134193898178637,-4.992089468262123e-6,-6.65880157867971e-6,-1.617063598753804e-6
recycling_support,0.25,recycled_metal_output,recycled,729,97.09430055244604,48.521504492207214,194.33510317269372,0.013586639852083478,0.006789731249554182,0.02719378009231938
recycling_support,0.5,ce_route_metal_demand,primary,729,-35.356380874887016,-78.33839111519835,-15.519123036175108,-0.0001391646223834081,-0.00030834413330491913,-6.108410543184153e-5
recycling_support,0.5,ce_route_metal_demand,recycled,729,194.80827554961127,97.3251446746734,390.39681086037535,0.5019834679925771,0.25078818396542263,1.0059775150142964
recycling_support,0.5,observed_new_product_output,all,729,179.07796140136634,-2415.1218536035885,1190.894123723093,0.00010512829427057515,-0.0014178050662296505,0.0006991182326632451
recycling_support,0.5,observed_recycled_metal_output,recycled,729,6.428431813051393,3.2105234339416455,12.88368085966735,0.03627665680869374,0.01811749119744016,0.07270464750396176
recycling_support,0.5,observed_route_input_mass,all,729,25.351307950070073,13.119084636308742,50.387715784425886,0.00047927088200432516,0.00024801857470693945,0.0009525885226019788
recycling_support,0.5,primary_metal_output,primary,729,-30.628268592990935,-83.3266569445841,-11.548471548594534,-6.942320175405454e-6,-1.8887137870661628e-5,-2.617620607037865e-6
recycling_support,0.5,recycled_metal_output,recycled,729,194.71813121960997,97.24512358119364,390.1836458010066,0.027247378131305757,0.013607744882519326,0.0545993394215058
recycling_support,1.0,ce_route_metal_demand,primary,729,-93.74490798098725,-190.80921675295718,-51.29655122463606,-0.00036898501477571126,-0.0007510353701262585,-0.00020190599275431539
recycling_support,1.0,ce_route_metal_demand,recycled,729,391.57971625988637,195.35379315381593,786.7350883468627,1.009025635123124,0.503389161794562,2.027265047082099
recycling_support,1.0,observed_new_product_output,all,729,-2128.3467155782255,-8212.602135006537,456.40881336879465,-0.0012494527973971712,-0.004821234546226711,0.0002679362645411071
recycling_support,1.0,observed_recycled_metal_output,recycled,729,12.929226997612055,6.456213108463821,25.96358768389011,0.07296167156068432,0.03643343104882302,0.14651662914093203
recycling_support,1.0,observed_route_input_mass,all,729,50.69440307253946,26.202193360213542,101.83300258705049,0.000958386499075745,0.0004953570185384737,0.001925170609073427
recycling_support,1.0,primary_metal_output,primary,729,-96.94935637107119,-212.67777274129912,-35.98458564141765,-2.197491087960109e-5,-4.820635512188562e-5,-8.156403426577888e-6
recycling_support,1.0,recycled_metal_output,recycled,729,391.77952824475733,195.6805128376418,786.3702371892854,0.054822655103282714,0.02738204651412936,0.1100386855084595
recycling_support,2.0,ce_route_metal_demand,primary,729,-220.79401400519401,-422.2697207696964,-134.1907580297547,-0.0008690571496070192,-0.0016620763998104217,-0.000528182062373073
recycling_support,2.0,ce_route_metal_demand,recycled,729,791.1395797848927,393.737192470223,1597.6924128255353,2.038614574629679,1.0145850361308304,4.1169461391882125
recycling_support,2.0,observed_new_product_output,all,729,-7811.002615953365,-18930.021737986513,-2412.0411873044786,-0.004585474254521597,-0.011112930258118556,-0.0014159965511521507
recycling_support,2.0,observed_recycled_metal_output,recycled,729,26.221883011593654,13.207036421698,52.73394999896932,0.14797423050483835,0.07452939404965192,0.29758601505153476
recycling_support,2.0,observed_route_input_mass,all,729,100.28524973243744,51.18344025783971,204.6390998675567,0.0018959100724093589,0.0009676318320421301,0.0038687377424179007
recycling_support,2.0,primary_metal_output,primary,729,-243.7642976329662,-488.5472802477889,-124.07855005655438,-5.5252545417737056e-5,-0.00011073598985872296,-2.812411739101037e-5
recycling_support,2.0,recycled_metal_output,recycled,729,793.7384266868371,399.5567066513645,1597.0862144929688,0.11106973405140314,0.05591093445150509,0.22348412920137523
refurbishment_support,0.25,ce_route_metal_demand,primary,729,145.06068093203308,-14.707088452500168,288.90629321691904,0.0005709666652822615,-5.788789350624175e-5,0.0011371507548238223
refurbishment_support,0.25,ce_route_metal_demand,recycled,729,0.5458531318755501,0.18373175132541408,1.2329951717057537,0.0014065585627079354,0.0004734413948799257,0.003177191474863264
refurbishment_support,0.25,observed_new_product_output,all,729,5208.478771630141,-28016.20712969331,19299.398468602103,0.003057654245788167,-0.016447004670075007,0.011329774058042238
refurbishment_support,0.25,observed_recycled_metal_output,recycled,729,0.006996527829645771,-0.0036527888924950958,0.09874710873581805,3.948251242456547e-5,-2.061326508509782e-5,0.0005572455427218042
refurbishment_support,0.25,observed_route_input_mass,all,729,-18.677432070078517,-652.4386553267145,285.1232255761054,-0.0003531000987969797,-0.012334466150938223,0.005390304124383472
refurbishment_support,0.25,primary_metal_output,primary,729,-169.47084411559626,-575.6041485448368,19.182837075088173,-3.841290788849668e-5,-0.00013046863166154817,4.3480550147185325e-6
refurbishment_support,0.25,recycled_metal_output,recycled,729,0.2137996298173448,-0.17532119479460562,2.1339308599616515,2.9917498291270338e-5,-2.4533117995373953e-5,0.0002986060963260394
refurbishment_support,0.5,ce_route_metal_demand,primary,729,270.802328269344,-99.70457274565607,535.2241253851158,0.0010658925721924303,-0.0003924425767769534,0.0021066710295737346
refurbishment_support,0.5,ce_route_metal_demand,recycled,729,0.9986892086389209,0.24780968114413224,2.1978541758290393,0.0025734300599569567,0.0006385578987839204,0.00566344760361727
refurbishment_support,0.5,observed_new_product_output,all,729,15032.79795161388,-45262.95816926124,41682.58278441899,0.00882505247658747,-0.026571765440806073,0.02446989453435098
refurbishment_support,0.5,observed_recycled_metal_output,recycled,729,0.2905564618547807,0.0547368883437791,1.0063915491628563,0.0016396560399926459,0.0003088889127118348,0.005679226583652237
refurbishment_support,0.5,observed_route_input_mass,all,729,-38.2581321725114,-1304.8640477358936,556.97141352403,-0.0007232766367033503,-0.024668681564115787,0.010529641355649256
refurbishment_support,0.5,primary_metal_output,primary,729,-466.09943420719355,-1458.5192363606766,-31.261758823879063,-0.00010564787545914886,-0.0003305935329011981,-7.085909487268265e-6
refurbishment_support,0.5,recycled_metal_output,recycled,729,8.39065126283424,1.300177108558728,28.22867418792714,0.0011741240853884148,0.00018193692129612793,0.0039501065202777385
refurbishment_support,1.0,ce_route_metal_demand,primary,729,418.4610857650151,-398.8570423124661,1116.129952379299,0.0016470854069796015,-0.0015699228344323928,0.0043931477009285
refurbishment_support,1.0,ce_route_metal_demand,recycled,729,1.8228860381062642,0.590317852756149,3.631599018470058,0.004697226812268198,0.001521135598616948,0.009357932376742475
refurbishment_support,1.0,observed_new_product_output,all,729,32459.407797135667,-88971.33990383075,80891.55737468299,0.01905539993889971,-0.05223091177642768,0.047487649407795325
refurbishment_support,1.0,observed_recycled_metal_output,recycled,729,1.805154398089094,0.5269976718942075,4.837379568557626,0.010186771594029915,0.002973931160533916,0.027298097509734276
refurbishment_support,1.0,observed_route_input_mass,all,729,-106.92597838761293,-2618.882282107922,1068.4201237413793,-0.002021454201571679,-0.049510424617278746,0.020198668094964532
refurbishment_support,1.0,primary_metal_output,primary,729,-1162.0942936162464,-3095.251402415335,-134.8301576585509,-0.00026340472481496517,-0.0007015814881503762,-3.056111777667579e-5
refurbishment_support,1.0,recycled_metal_output,recycled,729,52.74248959364968,15.539899288027414,136.00044492350946,0.007380383884047502,0.0021745356191081523,0.019030870549375474
refurbishment_support,2.0,ce_route_metal_demand,primary,729,963.3743607528203,-1069.8688513548277,2447.400199261376,0.0037918934520596117,-0.004211061511792136,0.009633099206518956
refurbishment_support,2.0,ce_route_metal_demand,recycled,729,3.597294294122117,1.2564904910984105,6.371872795520794,0.009269535701496768,0.0032377343941410123,0.016419090992872063
refurbishment_support,2.0,observed_new_product_output,all,729,54965.07608157337,-190824.55059533328,151202.07467959585,0.03226742502365849,-0.11202416730707429,0.0887636651481155
refurbishment_support,2.0,observed_recycled_metal_output,recycled,729,3.490618494784542,1.4180427933904411,9.364707862852871,0.01969811189845373,0.008002239620864129,0.05284652667137733
refurbishment_support,2.0,observed_route_input_mass,all,729,-263.2396772872696,-5305.422390040523,2109.0426459248683,-0.0049765918413552665,-0.10029993218843718,0.039871817702185
refurbishment_support,2.0,primary_metal_output,primary,729,-2664.2260604174808,-6444.127646240871,-392.5439201230183,-0.0006038836402038712,-0.0014606505501791197,-8.897550209633503e-5
refurbishment_support,2.0,recycled_metal_output,recycled,729,100.41410678864474,40.07504548228178,272.2970036710128,0.014051188352584999,0.005607797851463146,0.03810317702188474
repair_support,0.25,ce_route_metal_demand,primary,729,2.27093020597156,0.6938359379834464,3.8894454502229134,8.938503793456833e-6,2.730975680093567e-6,1.5309067103798733e-5
repair_support,0.25,ce_route_metal_demand,recycled,729,0.006826898571678987,0.0035554952128544178,0.010304783111682066,1.7591604930417155e-5,9.161827506276715e-6,2.6553444655890472e-5
repair_support,0.25,observed_new_product_output,all,729,13.328469009672347,-216.9726737256887,139.57917753281134,7.82452067948538e-6,-0.00012737450724594664,8.19404059264787e-5
repair_support,0.25,observed_recycled_metal_output,recycled,729,5.209433394526286e-5,-2.710727280330616e-5,0.00018523877146137124,2.9397656055392445e-7,-1.5297062504668561e-7,1.0453316664459883e-6
