instrument,wedge_percent,x_parameter,x_value,y_parameter,y_value,valid_remaining_parameter_configurations,median_reduction_tonnes,minimum_reduction_tonnes,maximum_reduction_tonnes,material_outcome_regime
recycling_support,0.25,Armington elasticity,0.5,Metal-substitution elasticity,1.0,81,17.808271765708923,-8.730955839157104,211.05343788862228,parameter_dependent
recycling_support,0.25,Armington elasticity,0.5,Metal-substitution elasticity,2.0,81,36.15884971618652,2.945383369922638,197.25103896856308,primary_metal_saving
recycling_support,0.25,Armington elasticity,1.0,Metal-substitution elasticity,0.5,81,6.458985507488251,-27.11171180009842,27.126172065734863,parameter_dependent
recycling_support,0.25,Armington elasticity,1.0,Metal-substitution elasticity,1.0,81,16.68113100528717,-5.176849067211151,189.25451052188873,parameter_dependent
recycling_support,0.25,Armington elasticity,1.0,Metal-substitution elasticity,2.0,81,33.07532173395157,8.572070002555847,110.03533446788788,primary_metal_saving
recycling_support,0.25,Armington elasticity,2.0,Metal-substitution elasticity,0.5,81,1.7856234312057495,-25.554572105407715,26.430016219615936,parameter_dependent
recycling_support,0.25,Armington elasticity,2.0,Metal-substitution elasticity,1.0,81,19.411373913288116,-21.36956614255905,818.7990084290504,parameter_dependent
recycling_support,0.25,Armington elasticity,2.0,Metal-substitution elasticity,2.0,81,31.52707529067993,5.622551262378693,168.42056530714035,primary_metal_saving
recycling_support,0.25,CET transformation elasticity,0.5,Circular-service elasticity,0.5,81,20.898459374904633,-12.254344761371613,211.05343788862228,parameter_dependent
recycling_support,0.25,CET transformation elasticity,0.5,Circular-service elasticity,1.0,81,20.44507372379303,-27.338189601898193,189.25451052188873,parameter_dependent
recycling_support,0.25,CET transformation elasticity,0.5,Circular-service elasticity,2.0,81,22.121960043907166,-27.11171180009842,102.48972362279892,parameter_dependent
recycling_support,0.25,CET transformation elasticity,1.0,Circular-service elasticity,0.5,81,15.969511568546295,-17.284153997898102,233.0325146317482,parameter_dependent
recycling_support,0.25,CET transformation elasticity,1.0,Circular-service elasticity,1.0,81,18.92646026611328,-5.697763979434967,152.41929352283478,parameter_dependent
recycling_support,0.25,CET transformation elasticity,1.0,Circular-service elasticity,2.0,81,15.760617852210999,-10.214306056499481,168.42056530714035,parameter_dependent
recycling_support,0.25,CET transformation elasticity,2.0,Circular-service elasticity,0.5,81,8.651046097278595,-17.960032761096954,157.9198482632637,parameter_dependent
recycling_support,0.25,CET transformation elasticity,2.0,Circular-service elasticity,1.0,81,8.074414312839508,-21.36956614255905,102.07785922288895,parameter_dependent
recycling_support,0.25,CET transformation elasticity,2.0,Circular-service elasticity,2.0,81,8.572070002555847,-13.515071272850037,818.7990084290504,parameter_dependent
recycling_support,0.25,CET transformation elasticity,0.5,EOL-allocation elasticity,0.5,81,20.804616510868073,-22.696335077285767,110.03533446788788,parameter_dependent
recycling_support,0.25,CET transformation elasticity,0.5,EOL-allocation elasticity,1.0,81,20.90270322561264,-24.119407892227173,211.05343788862228,parameter_dependent
recycling_support,0.25,CET transformation elasticity,0.5,EOL-allocation elasticity,2.0,81,23.051607966423035,-27.338189601898193,189.25451052188873,parameter_dependent
recycling_support,0.25,CET transformation elasticity,1.0,EOL-allocation elasticity,0.5,81,14.851918399333954,-5.176849067211151,152.41929352283478,parameter_dependent
recycling_support,0.25,CET transformation elasticity,1.0,EOL-allocation elasticity,1.0,81,16.665579319000244,-17.284153997898102,233.0325146317482,parameter_dependent
recycling_support,0.25,CET transformation elasticity,1.0,EOL-allocation elasticity,2.0,81,20.1188023686409,-10.214306056499481,138.14463824033737,parameter_dependent
recycling_support,0.25,CET transformation elasticity,2.0,EOL-allocation elasticity,0.5,81,7.627015173435211,-17.746657073497772,48.32224041223526,parameter_dependent
recycling_support,0.25,CET transformation elasticity,2.0,EOL-allocation elasticity,1.0,81,8.048827350139618,-21.36956614255905,197.25103896856308,parameter_dependent
recycling_support,0.25,CET transformation elasticity,2.0,EOL-allocation elasticity,2.0,81,13.348642468452454,-17.960032761096954,818.7990084290504,parameter_dependent
recycling_support,0.25,CET transformation elasticity,0.5,EOL-productivity elasticity,0.5,81,20.476525843143463,-21.811234056949615,110.03533446788788,parameter_dependent
recycling_support,0.25,CET transformation elasticity,0.5,EOL-productivity elasticity,1.0,81,21.040415823459625,-27.338189601898193,211.05343788862228,parameter_dependent
recycling_support,0.25,CET transformation elasticity,0.5,EOL-productivity elasticity,2.0,81,23.564380824565887,-24.119407892227173,80.13585460186005,parameter_dependent
recycling_support,0.25,CET transformation elasticity,1.0,EOL-productivity elasticity,0.5,81,15.315168738365173,-5.697763979434967,73.51611071825027,parameter_dependent
recycling_support,0.25,CET transformation elasticity,1.0,EOL-productivity elasticity,1.0,81,17.715833365917206,-10.214306056499481,168.42056530714035,parameter_dependent
recycling_support,0.25,CET transformation elasticity,1.0,EOL-productivity elasticity,2.0,81,19.986069917678833,-17.284153997898102,233.0325146317482,parameter_dependent
recycling_support,0.25,CET transformation elasticity,2.0,EOL-productivity elasticity,0.5,81,8.38907265663147,-17.960032761096954,76.5710301399231,parameter_dependent
recycling_support,0.25,CET transformation elasticity,2.0,EOL-productivity elasticity,1.0,81,10.477435827255249,-17.40473711490631,818.7990084290504,parameter_dependent
recycling_support,0.25,CET transformation elasticity,2.0,EOL-productivity elasticity,2.0,81,8.048827350139618,-21.36956614255905,59.15817505121231,parameter_dependent
recycling_support,0.25,CET transformation elasticity,0.5,Metal-substitution elasticity,0.5,81,6.930055558681488,-27.338189601898193,27.126172065734863,parameter_dependent
recycling_support,0.25,CET transformation elasticity,0.5,Metal-substitution elasticity,1.0,81,20.911965787410736,-8.730955839157104,211.05343788862228,parameter_dependent
recycling_support,0.25,CET transformation elasticity,0.5,Metal-substitution elasticity,2.0,81,38.43518626689911,19.040350794792175,110.03533446788788,primary_metal_saving
recycling_support,0.25,CET transformation elasticity,1.0,Metal-substitution elasticity,0.5,81,8.295211374759674,-17.284153997898102,21.272052824497223,parameter_dependent
recycling_support,0.25,CET transformation elasticity,1.0,Metal-substitution elasticity,1.0,81,16.15613842010498,-5.176849067211151,233.0325146317482,parameter_dependent
recycling_support,0.25,CET transformation elasticity,1.0,Metal-substitution elasticity,2.0,81,34.898175954818726,15.689355552196503,168.42056530714035,primary_metal_saving
recycling_support,0.25,CET transformation elasticity,2.0,Metal-substitution elasticity,0.5,81,6.415745258331299,-17.960032761096954,76.5710301399231,parameter_dependent
recycling_support,0.25,CET transformation elasticity,2.0,Metal-substitution elasticity,1.0,81,8.004357099533081,-21.36956614255905,818.7990084290504,parameter_dependent
recycling_support,0.25,CET transformation elasticity,2.0,Metal-substitution elasticity,2.0,81,24.11177968978882,2.945383369922638,197.25103896856308,primary_metal_saving
recycling_support,0.25,Circular-service elasticity,0.5,EOL-allocation elasticity,0.5,81,13.718546628952026,-17.746657073497772,66.21352916955948,parameter_dependent
recycling_support,0.25,Circular-service elasticity,0.5,EOL-allocation elasticity,1.0,81,13.25741982460022,-17.284153997898102,233.0325146317482,parameter_dependent
recycling_support,0.25,Circular-service elasticity,0.5,EOL-allocation elasticity,2.0,81,22.390830039978027,-17.960032761096954,138.14463824033737,parameter_dependent
recycling_support,0.25,Circular-service elasticity,1.0,EOL-allocation elasticity,0.5,81,14.675313949584961,-14.840965449810028,152.41929352283478,parameter_dependent
recycling_support,0.25,Circular-service elasticity,1.0,EOL-allocation elasticity,1.0,81,15.858966886997223,-21.36956614255905,162.34354048967361,parameter_dependent
recycling_support,0.25,Circular-service elasticity,1.0,EOL-allocation elasticity,2.0,81,19.040350794792175,-27.338189601898193,189.25451052188873,parameter_dependent
recycling_support,0.25,Circular-service elasticity,2.0,EOL-allocation elasticity,0.5,81,14.851918399333954,-22.696335077285767,102.48972362279892,parameter_dependent
recycling_support,0.25,Circular-service elasticity,2.0,EOL-allocation elasticity,1.0,81,15.427453994750977,-24.119407892227173,197.25103896856308,parameter_dependent
