instrument,wedge_percent,mechanism,unit,physical_anchor,median_change,lower_quartile_change,upper_quartile_change,median_change_percent,lower_quartile_change_percent,upper_quartile_change_percent
recycling_support,0.25,Recycling route input mass,tonnes,true,12.823586348466703,6.407406533930217,25.644334674015006,0.01809138117098776,0.00903950195934613,0.036178758488997605
recycling_support,0.5,Recycling route input mass,tonnes,true,25.713702387403373,12.842095539279097,51.534716637495485,0.03627662173175721,0.018117493743325493,0.07270463791427997
recycling_support,1.0,Recycling route input mass,tonnes,true,51.716765558632446,25.824860710637708,103.85435036132588,0.07296147062352043,0.036433442728732106,0.14651662862446513
recycling_support,2.0,Recycling route input mass,tonnes,true,104.88752993339966,52.82810857503334,210.9358006533359,0.14797422753233222,0.07452934169913634,0.2975860159964748
refurbishment_support,0.25,Refurbishment activity output,million EUR,false,42.96791145127864,24.445457628225178,79.91708747468766,0.050378744742076646,0.028661655367443934,0.09370068067229702
refurbishment_support,0.5,Refurbishment activity output,million EUR,false,86.1230398692347,48.96864646490339,160.34561193255402,0.10097699644777014,0.057414448536044514,0.18800100780468018
refurbishment_support,1.0,Refurbishment activity output,million EUR,false,172.95161308587777,98.17702005817915,322.7850487353135,0.2027812121709317,0.11510997080787332,0.37845697004079715
refurbishment_support,2.0,Refurbishment activity output,million EUR,false,349.3948325090288,197.79915182491,654.8790517591625,0.409656240769777,0.23191429704074307,0.7678284438096664
repair_support,0.25,Repair route input mass,tonnes,true,5945.513116407552,2975.1374015283614,11897.59561925886,0.11830843396984932,0.059201592853036354,0.2367475906892892
repair_support,0.5,Repair route input mass,tonnes,true,11921.542437382595,5962.259847864385,23885.369189467463,0.237224103060099,0.11864167342857727,0.475289612228631
repair_support,1.0,Repair route input mass,tonnes,true,23964.28718855286,11969.655798000618,48134.113530136274,0.47685998381826916,0.23818150004775954,0.9578099452109594
repair_support,2.0,Repair route input mass,tonnes,true,48417.98088568285,24122.913098267196,97749.20005475004,0.9634585581451733,0.4800164452704449,1.9450894403661865
reuse_support,0.25,Reuse route input mass,tonnes,true,2.0116293790963953,1.094496133595944,3.8420066094065293,0.13017933587258296,0.07082854389938906,0.248629232615045
reuse_support,0.5,Reuse route input mass,tonnes,true,4.036463417212717,2.194222133486354,7.713471379437229,0.26121318985844283,0.14199553012219548,0.49916480236452027
reuse_support,1.0,Reuse route input mass,tonnes,true,8.117495778464221,4.40901560553501,15.540405869805301,0.5253105867163469,0.2853223010881956,1.0056721861113274
reuse_support,2.0,Reuse route input mass,tonnes,true,16.391987837762063,8.881571791012131,31.541428669466974,1.0607809333694702,0.5747565278540419,2.0411524505115612
