instrument,wedge_percent,valid_parameter_configurations,median_fiscal_basis_million_eur,lower_quartile_fiscal_basis_million_eur,upper_quartile_fiscal_basis_million_eur,minimum_fiscal_basis_million_eur,maximum_fiscal_basis_million_eur
recycling_support,0.25,729,0.09716526781347126,0.09704376788662239,0.09740859469943794,0.09698693242711598,0.09741046355107723
recycling_support,0.5,729,0.1948187336970001,0.194331321148109,0.19579689463621952,0.1941059669099438,0.1958034918775158
recycling_support,1.0,729,0.3916054432793543,0.3896432250121259,0.3955580216675163,0.3894280191728089,0.39556778937092385
recycling_support,2.0,729,0.7912031445179735,0.7832550387122139,0.8073377044059062,0.7819116842747237,0.8074597713004288
refurbishment_support,0.25,729,44.03162618806849,43.98394725931298,44.12710470750456,43.97150374770627,44.12740140311651
refurbishment_support,0.5,729,88.28416243344824,88.09283067182861,88.66778070716839,88.06777953478992,88.66972242160605
refurbishment_support,1.0,729,177.45828624621552,176.68816656319558,179.00659550903032,176.63688690883754,179.04936990033042
refurbishment_support,2.0,729,358.5304037926958,355.4098217705103,364.8410447381468,355.1740135357642,365.0424687053021
repair_support,0.25,729,0.698438109495853,0.6975666560635827,0.7001846436438759,0.6974301334409565,0.700188384833601
repair_support,0.5,729,1.4003858897645904,1.3968883729157127,1.4074071334595604,1.396884232781388,1.4075048412848248
repair_support,1.0,729,2.8149168594599545,2.800838310813681,2.8432859145053815,2.8007631386471017,2.8436522483644007
repair_support,2.0,729,5.687279837140881,5.630246523667279,5.803081174994855,5.629177459577179,5.804425356097832
reuse_support,0.25,729,26.84913311596359,26.818375957867126,26.91065311283325,26.814782871261805,26.910778246753345
reuse_support,0.5,729,53.833005583552186,53.70959035463108,54.080186409750695,53.702085069849026,54.080845312106305
reuse_support,1.0,729,108.20804880090822,107.71207382891305,109.20574391489794,107.68964841499454,109.31241998284219
reuse_support,2.0,729,218.61693668273546,216.60892392418583,222.6875143753967,216.5651595257688,222.87645682614695
virgin_metal_tax,0.25,729,62.67423217345609,62.67364462736851,62.67446632520297,62.66371992267558,62.677049089395396
virgin_metal_tax,0.5,729,125.34734655544139,125.34418295232544,125.34969147542915,125.29984824777883,125.44670903184166
virgin_metal_tax,1.0,729,250.68871931216853,250.67425304086328,250.7014519582856,250.5927681344489,250.9959575625216
virgin_metal_tax,2.0,719,501.3588716844251,501.31030542111813,501.41040352176276,501.03289334948806,502.62418912205055
