instrument,wedge_percent,parameter,value,valid_parameter_configurations,median_reduction_percent,lower_quartile_reduction_percent,upper_quartile_reduction_percent,minimum_reduction_percent,maximum_reduction_percent,median_reduction_tonnes,lower_quartile_reduction_tonnes,upper_quartile_reduction_tonnes
refurbishment_support,0.25,Post-use activity productivity elasticity,1.0,243,1.93105469536827e-5,-1.0815649433400616e-5,0.00011050238697140306,-4.077632538949214e-5,0.018739075788723712,98.0992900133133,-54.944457709789276,561.3619196116924
refurbishment_support,0.25,Post-use activity productivity elasticity,2.0,243,1.495376538275929e-5,-1.2385088456038893e-5,0.00010598413560935313,-5.740461120255801e-5,0.0003462122913668772,75.96645349264145,-62.91734704375267,538.408802241087
refurbishment_support,0.25,Post-use allocation elasticity,0.5,243,1.3707280051293402e-5,-1.1531788740683164e-5,9.42929924482057e-5,-5.213815528389276e-5,0.0002311687570184684,69.63419753313065,-58.582508862018585,479.0167587995529
refurbishment_support,0.25,Post-use allocation elasticity,1.0,243,1.6147135536651255e-5,-1.5638542223524935e-5,0.00010743123290032623,-4.880039663476877e-5,0.0003462122913668772,82.02887964248657,-79.44518053531647,545.7601847350597
refurbishment_support,0.25,Post-use allocation elasticity,2.0,243,1.8755920697068938e-5,-1.2392328358088579e-5,0.0001223257201631627,-5.740461120255801e-5,0.018739075788723712,95.2817394733429,-62.95412638783455,621.4255001246929
refurbishment_support,0.5,Armington elasticity,0.5,243,4.835586079416862e-5,-2.0307116710604848e-5,0.00025092688775689507,-0.0001116197926183285,0.018710751049461356,245.6520586013794,-103.16195270419121,1274.7308293879032
refurbishment_support,0.5,Armington elasticity,1.0,243,4.1685875414439016e-5,-2.1296258831722667e-5,0.00025691197771636514,-6.883551328592849e-5,0.0024647772018540357,211.76794171333313,-108.18688234686852,1305.135616838932
refurbishment_support,0.5,Armington elasticity,2.0,243,0.0001319673183144442,-7.221770802991164e-6,0.00030867984416175695,-0.0032266418874151897,0.0011480436973773187,670.4056732654572,-36.68723574280739,1568.120966553688
refurbishment_support,0.5,CET transformation elasticity,0.5,243,0.0001675650277649245,4.437964122409815e-5,0.000378196461967221,-8.002559187296083e-5,0.0024647772018540357,851.2451922893524,225.4525107741356,1921.2715462446213
refurbishment_support,0.5,CET transformation elasticity,1.0,243,5.9210504712767196e-5,-2.3186093494914072e-5,0.0002725431367897303,-0.0032266418874151897,0.018710751049461356,300.79461175203323,-117.78740993142128,1384.5432903170586
