wedge_percent,family,material,valid_parameter_configurations,median_metal_demand_change_tonnes,lower_quartile_metal_demand_change_tonnes,upper_quartile_metal_demand_change_tonnes,median_metal_demand_change_percent,lower_quartile_metal_demand_change_percent,upper_quartile_metal_demand_change_percent
0.25,ELMA,primary,729,75.56930844932322,42.36176068467557,141.8279080203256,0.050444454078683906,0.028277563145831415,0.09467377087540345
0.25,ELMA,recycled,729,0.16238841966865303,0.09248030931061141,0.3026008244131936,0.056141919911156614,0.03197285945032735,0.10461701196808544
0.25,OFMA,primary,729,3.472872840167358,1.9288266887109364,6.565362929674504,0.05841765418762975,0.03244504929322698,0.11043683972582886
0.25,OFMA,recycled,729,0.006726444706627699,0.003793640289689716,0.012658962281490242,0.07681367915587532,0.04332206398083448,0.1445610278022904
0.25,RATV,primary,729,78.22590805931031,44.51173981177317,145.4419664696611,0.05019876005063879,0.028563863324563867,0.093332331410664
0.25,RATV,recycled,729,0.11787039659600584,0.06483275666771504,0.2240693877755564,0.052437356582270896,0.028842342768417774,0.09968242005737761
0.5,ELMA,primary,729,151.45127825225563,84.77220641553367,284.59215560127495,0.10109761764239908,0.0565876248110634,0.18997257245326563
0.5,ELMA,recycled,729,0.3254541709212703,0.18503214307841953,0.6067839328243403,0.11251801104577086,0.06397044677091283,0.20978106086371648
0.5,OFMA,primary,729,6.962695233488192,3.8647325600361526,13.173512098561018,0.11712041905469175,0.06500917845474609,0.2215933924529432
0.5,OFMA,recycled,729,0.013489759778513053,0.007574750613820613,0.025370132247963705,0.15404845153886448,0.08650104000669014,0.289718249580035
0.5,RATV,primary,729,156.74099273467755,89.03158084123697,291.89217281763695,0.1005830891525218,0.057132925324207405,0.1873116657561227
0.5,RATV,recycled,729,0.2361760837068433,0.12970828533837142,0.44909956117579375,0.1050683621589728,0.05770371364105014,0.1997922676989755
1.0,ELMA,primary,729,304.2106704091466,170.00276712124196,573.1631720440569,0.20306843490535562,0.11348121288178971,0.38260113669283113
1.0,ELMA,recycled,729,0.6540547742017433,0.3709608611691419,1.221494304330364,0.22612382598219005,0.1282508629360982,0.4223024986898409
1.0,OFMA,primary,729,13.996689967877758,7.763582573862976,26.529332867064966,0.235440176456454,0.1305922511212252,0.44625342319429756
1.0,OFMA,recycled,729,0.027125060366145554,0.015242641161631357,0.051093324806498815,0.30975883594700304,0.17406570611730807,0.583468327387643
1.0,RATV,primary,729,314.874583114256,178.63137191257738,587.8530267606184,0.20205982948428777,0.11463047983184427,0.3772342663369886
1.0,RATV,recycled,729,0.47434006704655296,0.26011170179104226,0.9036502730984738,0.21102108714399467,0.11571667235657764,0.40200960504057576
2.0,ELMA,primary,729,614.5019013519823,342.67079577606137,1162.8234468836158,0.4101958001208546,0.228741556283609,0.7762145131665364
2.0,ELMA,recycled,729,1.3214408544357688,0.7468658266984783,2.4752139999173024,0.4568566328007382,0.2582110319860374,0.8557461571893077
2.0,OFMA,primary,729,28.28767639863292,15.643548261054535,53.82073353509276,0.47583075273385544,0.26314219801167893,0.9053256898940166
2.0,OFMA,recycled,729,0.05483787268104099,0.030745699194154447,0.10357084883913807,0.6262295969869224,0.35110528273217473,1.1827437366980345
2.0,RATV,primary,729,636.3316717612097,360.22598010620504,1193.2961030900524,0.4083437533141738,0.2311625136383054,0.7657563361590615
2.0,RATV,recycled,729,0.9584128047483216,0.5237805180608424,1.8310239284006786,0.42637197671175403,0.23301580881843337,0.8145731020648008
