instrument,wedge_percent,route,valid_parameter_configurations,median_change_tonnes,lower_quartile_change_tonnes,upper_quartile_change_tonnes,median_change_percent,lower_quartile_change_percent,upper_quartile_change_percent
recycling_support,0.25,INC,729,-0.0019643939799756094,-0.01551629713957453,0.0010776628718235925,-1.0247496450808735e-6,-8.094262224803702e-6,5.621757430919093e-7
recycling_support,0.25,REC,729,12.823586348466703,6.407406533930217,25.644334674015006,0.01809138117098776,0.00903950195934613,0.036178758488997605
recycling_support,0.25,REP,729,-0.0017576909517855732,-0.5418881954803756,0.5366406573547509,-3.497589860408452e-8,-1.0782911842732232e-5,1.067849225678826e-5
recycling_support,0.25,REU,729,0.0008238773034221492,0.0003633620565161033,0.0013143006345476271,5.3315884782000134e-5,2.3514386740469055e-5,8.505283603442826e-5
recycling_support,0.5,INC,729,-0.005812355889304982,-0.030854861067079076,0.0008591316476069533,-3.032085057969359e-6,-1.6095807791012236e-5,4.4817631286668003e-7
recycling_support,0.5,REC,729,25.713702387403373,12.842095539279097,51.534716637495485,0.03627662173175721,0.018117493743325493,0.07270463791427997
recycling_support,0.5,REP,729,-0.2903626791255074,-1.1646279253378657,0.4121631137923032,-5.777861923444096e-6,-2.3174670260845593e-5,8.201541494936237e-6
recycling_support,0.5,REU,729,0.001462255227949738,0.0008244816946313405,0.0019247112024216584,9.462747781910758e-5,5.335499697982213e-5,0.0001245545669005491
recycling_support,1.0,INC,729,-0.015864592571244895,-0.07469043053060864,-0.0015926948312107447,-8.27595470789303e-6,-3.896315757296771e-5,-8.308483326881389e-7
recycling_support,1.0,REC,729,51.716765558632446,25.824860710637708,103.85435036132588,0.07296147062352043,0.036433442728732106,0.14651662862446513
recycling_support,1.0,REP,729,-0.7710852194702187,-2.863100403464489,0.45530894639702524,-1.5343652093049357e-5,-5.6972193719925236e-5,9.060090755167997e-6
recycling_support,1.0,REU,729,0.001764235344330567,0.001096936478805155,0.003356454324871083,0.0001141696317594323,7.098646688556936e-5,0.00021720750325024884
recycling_support,2.0,INC,729,-0.05273531879078394,-0.2881874870492155,-0.015665731603504762,-2.7510010601210227e-5,-0.00015033645392972504,-8.172216502528202e-6
recycling_support,2.0,REC,729,104.88752993339966,52.82810857503334,210.9358006533359,0.14797422753233222,0.07452934169913634,0.2975860159964748
recycling_support,2.0,REP,729,-3.226402526199937,-8.972079533428538,-0.31270870474422274,-6.420146129653494e-5,-0.000178533401284335,-6.222520482703613e-6
recycling_support,2.0,REU,729,0.0027911871327296334,0.0007778750758791197,0.006523018927907964,0.00018062715279991496,5.033892516287735e-5,0.0004221266008258352
refurbishment_support,0.25,INC,729,-0.2806951519700144,-0.37139060216811404,-0.2129668255135394,-0.00014642798760804875,-0.00019374035536541003,-0.0001110966950029594
refurbishment_support,0.25,REC,729,0.028067990684943492,-0.014612029883878178,0.39498132996433066,3.9598026978292385e-5,-2.0614498559734986e-5,0.0005572355191153527
refurbishment_support,0.25,REP,729,-18.43923369701233,-652.0413882562275,284.5688088081563,-0.00036691818175917817,-0.012974825556306597,0.005662570995571351
refurbishment_support,0.25,REU,729,-0.00524441178879631,-0.21388919606786594,0.09299683657906177,-0.0003393836115152171,-0.013841492763911962,0.006018139598632929
refurbishment_support,0.5,INC,729,-0.627719333062849,-0.8065699123739702,-0.4774863603259192,-0.0003274573076092119,-0.00042075685420721955,-0.0002490864782028191
refurbishment_support,0.5,REC,729,1.1622221267842539,0.21894535087044814,4.025567842707678,0.0016396507911005775,0.0003088858054663115,0.005679228906257058
refurbishment_support,0.5,REP,729,-42.30604578768846,-1305.7162738479901,551.751112998536,-0.0008418385304349347,-0.02598215571026142,0.010979171829566203
refurbishment_support,0.5,REU,729,-0.007181969560685508,-0.4237233424048068,0.18544009878582524,-0.0004647695233438645,-0.02742056955478855,0.012000455528706074
refurbishment_support,1.0,INC,729,-1.3574593231456376,-1.7864142255145234,-0.9988534737327416,-0.0007081349127441771,-0.0009319043746948161,-0.0005210638767627121
refurbishment_support,1.0,REC,729,7.2206175050346655,2.107971628512111,19.349509132627947,0.010186771471235742,0.0029739042723879094,0.027298084613571222
refurbishment_support,1.0,REP,729,-117.96986460782158,-2629.1515433175,1049.9879420175446,-0.0023474559157678956,-0.05231689774611945,0.020893474907070657
refurbishment_support,1.0,REU,729,-0.014562227958581087,-0.8433780165291229,0.3747090971525575,-0.0009423709875050522,-0.0545778418341724,0.024248692089914856
refurbishment_support,2.0,INC,729,-2.7666501529171414,-4.197191771966695,-2.0865269818299437,-0.0014432561854521603,-0.002189515353082398,-0.0010884617881533362
refurbishment_support,2.0,REC,729,13.962460098039891,5.672174514565473,37.458829456721716,0.019698092316316005,0.008002244334997303,0.05284652385887402
refurbishment_support,2.0,REP,729,-304.5479003387911,-5325.51908117009,2071.76919840885,-0.006060130463501328,-0.10597131151406504,0.04122567129392226
refurbishment_support,2.0,REU,729,-0.033586734006651464,-1.697377753219924,0.7365817888836599,-0.0021735110714474547,-0.10984305107848513,0.04766669700150522
repair_support,0.25,INC,729,-0.003691341258793168,-0.005436217241442887,-0.0017198433203439722,-1.925632374859778e-6,-2.8358678277054646e-6,-8.971768647647145e-7
repair_support,0.25,REC,729,0.00021744466604436963,-0.0001108560095559874,0.0007310334600960505,3.067686550476729e-7,-1.56394496007104e-7,1.031334340952526e-6
repair_support,0.25,REP,729,5945.513116407552,2975.1374015283614,11897.59561925886,0.11830843396984932,0.059201592853036354,0.2367475906892892
repair_support,0.25,REU,729,-0.00014501559366841832,-0.0038169805111162303,0.00147062848964441,-9.384449178905348e-6,-0.0002470097092133851,9.516933988267982e-5
repair_support,0.5,INC,729,-0.00976085355146955,-0.013038876513689873,-0.007705027033387213,-5.091866150332531e-6,-6.801886085917926e-6,-4.019419626759454e-6
repair_support,0.5,REC,729,0.002997291156920684,0.000934113988778712,0.014859415364402398,4.2285469389588185e-6,1.317838221611702e-6,2.0963507401935107e-5
