instrument,wedge_percent,region,factor_group,valid_parameter_configurations,median_utilisation_change_percentage_points,lower_quartile_utilisation_change_percentage_points,upper_quartile_utilisation_change_percentage_points
virgin_metal_tax,1.0,PL,Labour,729,-0.0004969925558762078,-0.0009270754584456142,-0.00023833014101137806
virgin_metal_tax,1.0,REU,Capital,729,-0.0011899858376573924,-0.00208708157154458,-0.0005232895555984385
virgin_metal_tax,1.0,REU,Labour,729,-0.00031463491533267884,-0.0008774876218531347,-1.774534120757565e-5
virgin_metal_tax,1.0,SK,Capital,729,-0.029262992340972627,-0.168496381816996,-0.0034600968749298744
virgin_metal_tax,1.0,SK,Labour,729,-0.11083103985757292,-0.42868478298055956,-0.03179418416000557
virgin_metal_tax,2.0,DE,Capital,719,-0.00037729331130442745,-0.001520321380171774,-3.299266941869661e-5
virgin_metal_tax,2.0,DE,Labour,719,-0.00032728568974960126,-0.0013157317565182236,3.262069445120197e-5
virgin_metal_tax,2.0,FR,Capital,719,-0.0008129599796902198,-0.0026851604082500646,-0.0002391249832978115
virgin_metal_tax,2.0,FR,Labour,719,-0.00017921026717049315,-0.00046484354212505963,-2.8595955403609707e-5
virgin_metal_tax,2.0,IT,Capital,719,-0.0011793771262369468,-0.0026110907304477404,-0.00047953854491189496
virgin_metal_tax,2.0,IT,Labour,719,-0.000922343400444614,-0.002198478754394939,-0.00042027269509525844
virgin_metal_tax,2.0,PL,Capital,719,-0.0019042792136603204,-0.0038655102585993806,-0.0008461663207059988
virgin_metal_tax,2.0,PL,Labour,719,-0.0008291210108701819,-0.0018393049744824808,-0.00043129453606294277
virgin_metal_tax,2.0,REU,Capital,719,-0.0023749748115697855,-0.0038963712324202593,-0.0012677924028925425
virgin_metal_tax,2.0,REU,Labour,719,-0.0002946798417169383,-0.001249934573849254,0.0001473238916416264
virgin_metal_tax,2.0,SK,Capital,719,-0.09743361698469899,-0.2949569282140352,-0.022775057946805566
virgin_metal_tax,2.0,SK,Labour,719,-0.2783179940471059,-0.7359665909126512,-0.11154525696455697
