instrument,wedge_percent,valid_parameter_configurations,median_tonnes_per_million_eur,lower_quartile_tonnes_per_million_eur,upper_quartile_tonnes_per_million_eur,minimum_tonnes_per_million_eur,maximum_tonnes_per_million_eur
recycling_support,0.25,729,164.17876380516913,79.41003585104234,305.05751869517275,-281.7097197855327,8426.450967319763
recycling_support,0.5,729,152.30309633353954,55.274284322870066,465.9579713950931,-333.96525755141664,4209.126134127296
recycling_support,1.0,729,244.14424469140718,89.44452813088195,570.2728461756619,-103.99108539382866,69845.83124789549
recycling_support,2.0,729,303.4923667200019,163.51549634840438,637.1739374016432,-66.41977024968631,139418.74386338284
refurbishment_support,0.25,729,1.8649731517766215,-1.4630052862348808,12.299196551650272,-6.63022902423765,2164.9513373978252
refurbishment_support,0.5,729,3.923172488565798,-1.0946854286869332,15.407422859747587,-186.07913748446515,1079.3081665306925
refurbishment_support,1.0,729,5.455836615205279,-0.5434716783779198,16.70201170170109,-98.19117061884691,537.3856972191419
refurbishment_support,2.0,729,6.75544678182709,0.05495767952859543,18.16602982256118,-48.040069735245076,564.4056425020315
repair_support,0.25,729,-1.4923405944074677,-3.1620740915920216,1.436161522313436,-16.772667830119058,64.0442555322985
repair_support,0.5,729,0.2998704411895942,-2.314723526687571,5.370584372524168,-21.065215774778295,136.50340844338166
repair_support,1.0,729,2.3123509962353523,-1.3024017088595996,6.859484369748465,-19.50787828716068,189.00612773821297
repair_support,2.0,729,3.634037496126596,-0.3271817206990563,8.187699258912486,-53.88755521940568,103.1320735109566
reuse_support,0.25,729,3.9249372046243267,-1.6129440635773356,17.667686582464565,-14.236899036676832,1483.0979808632515
reuse_support,0.5,729,10.331035615681735,-0.390648647666796,24.473829958200596,-4.2606482084080195,847.3719128460426
reuse_support,1.0,729,14.78217416162015,0.9791311201221465,24.26500896996159,-7.374010918656783,742.6686812212213
reuse_support,2.0,729,13.267153134111954,1.787671444336232,25.080028361771166,-11.114761964405108,673.9422979386848
