instrument,wedge_percent,family,valid_parameter_configurations,median_avoided_new_product_tonnes,lower_quartile_avoided_new_product_tonnes,upper_quartile_avoided_new_product_tonnes,median_avoided_new_product_percent,lower_quartile_avoided_new_product_percent,upper_quartile_avoided_new_product_percent,median_avoided_new_product_primary_metal_tonnes,lower_quartile_avoided_new_product_primary_metal_tonnes,upper_quartile_avoided_new_product_primary_metal_tonnes,median_avoided_new_product_recycled_metal_tonnes,lower_quartile_avoided_new_product_recycled_metal_tonnes,upper_quartile_avoided_new_product_recycled_metal_tonnes
recycling_support,0.25,ELMA,729,-101.22077357624948,-188.7369793488906,-47.47064964957826,-0.00011657896742657073,-0.00021737397759689139,-5.467335531720196e-5,37.635080917025334,22.371886455759523,74.68695298326202,-76.02231458574053,-152.20124040076553,-37.98548455304716
recycling_support,0.25,OFMA,729,-1692.181356284636,-2474.519064467601,-1002.9071432678401,-0.05007420159442526,-0.07322475574098977,-0.029677536799451457,-23.93860360501961,-39.5135079397021,-11.52642487767507,-1.6850538629960679,-3.2976916276228305,-0.8849913865505585
recycling_support,0.25,RATV,729,1385.2737467114348,548.8523034846876,2620.255376964109,0.0017286312928743535,0.0006848922599032251,0.0032697186752402743,0.1345374527372769,-4.320501727452211,2.118288628938899,-18.141518576251645,-36.30440327750034,-9.059756138869638
recycling_support,0.25,all CE-RISE families,729,-228.69809726076664,-860.0091218120388,504.9663642132293,-0.00013425795491419447,-0.0005048711261046616,0.0002964421312278004,14.861755915347512,1.6203867637445413,24.129335105123822,-95.85096247993796,-191.83457155720922,-47.90730824103001
recycling_support,0.5,ELMA,729,-188.4701691178634,-382.975338470671,-92.14972377574304,-0.00021706668433945975,-0.00044108405746494145,-0.00010613157029794246,78.08958521235036,44.370881444381666,146.1019187078782,-152.42179294884903,-305.5526094066356,-76.111686838423
recycling_support,0.5,OFMA,729,-2565.8705946123205,-2780.603439101695,-2086.0583134874,-0.07592798546245969,-0.08228225458613904,-0.061729615528115046,-56.15656471650901,-63.6633834669149,-30.910699346873766,-3.3920089349658826,-6.626209013873781,-1.7597379209993909
recycling_support,0.5,RATV,729,2300.8831093816552,1112.0414178278297,5171.507257628487,0.002871185968524456,0.001387674889813663,0.0064533304684981085,2.1346586171093804,-7.243190836306894,6.859324700995785,-36.335089451902945,-72.87407572641614,-18.145064141321612
recycling_support,0.5,all CE-RISE families,729,-179.07796140136634,-1190.894123723093,2415.1218536035885,-0.00010512829427057518,-0.0006991182326632452,0.0014178050662296507,32.92224039215146,13.438481217843218,73.07379772817201,-192.14330161357134,-385.05602432330556,-95.99433479227159
recycling_support,1.0,ELMA,729,-414.48061495246657,-824.4242158453126,-203.15133026705007,-0.00047736961892599466,-0.000949513824178659,-0.00023397541312037532,145.6117242002947,85.00355941486487,280.8059661607549,-306.4404393686041,-615.7655640907665,-152.84544730595286
recycling_support,1.0,OFMA,729,-2448.807280384843,-2671.3543291818196,-2216.180984363527,-0.07246390522415204,-0.07904940845305636,-0.06558014184981045,-60.124408799329366,-64.49373519964315,-52.6597904702418,-6.699392694831589,-13.30927709493357,-3.417070367736661
