product_region	product_sector	activity_region	activity_sector	value_meur
DE	AGRI_FOOD	DE	AGRI_FOOD	225938.098
DE	AGRI_FOOD	DE	EXTRACTIVE	43.267
DE	AGRI_FOOD	DE	OTHER_MANUFACTURING	1293.303
DE	AGRI_FOOD	DE	OTHER_SERVICES	241.602
DE	AGRI_FOOD	DE	REF_ELMA	22.93661343279773
DE	AGRI_FOOD	DE	REF_OFMA	0.0009060969020173585
DE	AGRI_FOOD	DE	REF_RATV	23.524313444616087
DE	AGRI_FOOD	DE	REU_ELMA	2.904236269898839
DE	AGRI_FOOD	DE	REU_OFMA	0.00018449324896833004
DE	AGRI_FOOD	DE	REU_RATV	4.789859680000808
DE	AGRI_FOOD	DE	TRADE	927.2248865825355
DE	BASIC_METALS	DE	BASIC_METALS	83961.273
DE	BASIC_METALS	DE	METAL_COMPONENTS	830.83
DE	BASIC_METALS	DE	NEW_ELMA	124.68469999999999
DE	BASIC_METALS	DE	NEW_OFMA	0.00013564172926007953
DE	BASIC_METALS	DE	NEW_RATV	3.5215643582707394
DE	BASIC_METALS	DE	OTHER_MANUFACTURING	1501.3736
DE	BASIC_METALS	DE	OTHER_SERVICES	2.7812309041053402
DE	BASIC_METALS	DE	REF_ELMA	4.081425487092773
DE	BASIC_METALS	DE	REF_OFMA	0.00015993407466621275
DE	BASIC_METALS	DE	REF_RATV	4.152248280008516
DE	BASIC_METALS	DE	TRADE	118.94393539471871
DE	CONSTRUCTION	DE	AGRI_FOOD	714.494
DE	CONSTRUCTION	DE	BASIC_METALS	65.854
DE	CONSTRUCTION	DE	CONSTRUCTION	284177.494
DE	CONSTRUCTION	DE	EXTRACTIVE	83.515
DE	CONSTRUCTION	DE	INC_EE	1.8036506381224744
DE	CONSTRUCTION	DE	METAL_COMPONENTS	249.747
DE	CONSTRUCTION	DE	NEW_ELMA	168.81479999999996
DE	CONSTRUCTION	DE	NEW_OFMA	0.0006511396150586723
DE	CONSTRUCTION	DE	NEW_RATV	16.905048860384937
DE	CONSTRUCTION	DE	OTHER_MANUFACTURING	1917.8114999999998
DE	CONSTRUCTION	DE	OTHER_SERVICES	2371.467644597819
DE	CONSTRUCTION	DE	PUBLIC_SOCIAL	222.576
DE	CONSTRUCTION	DE	REC_EE	4.837705277905639
DE	CONSTRUCTION	DE	REF_ELMA	5.779040479770517
DE	CONSTRUCTION	DE	REF_OFMA	0.0002265639359309731
DE	CONSTRUCTION	DE	REF_RATV	5.882109333140644
DE	CONSTRUCTION	DE	REU_ELMA	1.5673612944246695
DE	CONSTRUCTION	DE	REU_OFMA	3.529226938060097e-5
DE	CONSTRUCTION	DE	REU_RATV	0.9162666876276095
DE	CONSTRUCTION	DE	TRADE	195.22931575101242
DE	CONSTRUCTION	DE	TRANSPORT	548.225
DE	CONSTRUCTION	DE	UTIL_WASTE	11314.872644083973
DE	EXTRACTIVE	DE	BASIC_METALS	0.998
DE	EXTRACTIVE	DE	CONSTRUCTION	138.756
DE	EXTRACTIVE	DE	EXTRACTIVE	8937.137
DE	EXTRACTIVE	DE	NEW_OFMA	2.7122953614716756e-5
DE	EXTRACTIVE	DE	NEW_RATV	0.7041728770463852
DE	EXTRACTIVE	DE	OTHER_MANUFACTURING	717.5928
DE	EXTRACTIVE	DE	OTHER_SERVICES	18.540597209311986
DE	EXTRACTIVE	DE	REF_ELMA	1.9455335640431564
DE	EXTRACTIVE	DE	REF_OFMA	6.818991592735587e-5
DE	EXTRACTIVE	DE	REF_RATV	1.7703635808329996
DE	EXTRACTIVE	DE	TRADE	38.02343745589592
DE	INC_EE	DE	INC_EE	46.25449089309544
DE	INC_EE	DE	REC_EE	25.623150634481757
DE	INC_EE	DE	UTIL_WASTE	4.669433839252981
DE	METAL_COMPONENTS	DE	BASIC_METALS	1748.133
DE	METAL_COMPONENTS	DE	CONSTRUCTION	177.299
DE	METAL_COMPONENTS	DE	EXTRACTIVE	1.006
DE	METAL_COMPONENTS	DE	INC_EE	0.01129884658589573
DE	METAL_COMPONENTS	DE	METAL_COMPONENTS	118184.839
DE	METAL_COMPONENTS	DE	NEW_ELMA	369.1513
DE	METAL_COMPONENTS	DE	NEW_OFMA	0.002387520908943964
DE	METAL_COMPONENTS	DE	NEW_RATV	61.98541247909105
DE	METAL_COMPONENTS	DE	OTHER_MANUFACTURING	5810.3119
