sensitivity_profile,stage,scenario,instrument,wedge,termination_status,primal_status,solver_valid,solver_elapsed_seconds,max_scaled_residual,scaled_residuals_above_tolerance,max_bound_violation,bound_violations_above_tolerance,worst_equation_block,worst_equation_tag,worst_equation_indices,worst_equation_scaled_residual,worst_bound_variable,worst_bound_violation,solver_message,armington_elasticity,cet_transformation_elasticity,service_elasticity,eol_allocation_elasticity,eol_productivity_elasticity,material_substitution_elasticity,declared_wedge,source_wedge,trial_wedge,continuation_phase,attempt,trial_accepted
sensitivity_162,baseline,baseline,,0.0,ALMOST_LOCALLY_SOLVED,NEARLY_FEASIBLE_POINT,true,59.85914277,5.062314599735274e-7,0,0.0,0,observed_physical_flow_links,quantity_link,physical_SK_OFMA_REP_route_input_mass,5.062314599735274e-7,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,2.0,2.0,1.0,0.5,0.0,0.0,0.0,baseline,1,true
sensitivity_162,direct_target,virgin_metal_tax_tax_0_0025,virgin_metal_tax,0.0025,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,21.478892823,0.00013428386831537686,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.00013428386831537686,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,2.0,2.0,1.0,0.5,0.0025,0.0,0.0025,direct_target,1,true
sensitivity_162,direct_target,virgin_metal_tax_tax_0_005,virgin_metal_tax,0.005,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,15.163489396,0.0002699989488325061,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0002699989488325061,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,2.0,2.0,1.0,0.5,0.005,0.0025,0.005,direct_target,1,true
sensitivity_162,direct_target,virgin_metal_tax_tax_0_01,virgin_metal_tax,0.01,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,14.649467454,0.0005388355255024901,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0005388355255024901,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,2.0,2.0,1.0,0.5,0.01,0.005,0.01,direct_target,1,true
sensitivity_162,direct_target,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,62.024895658,0.0017931730535133417,2,0.0,0,observed_physical_flow_links,quantity_link,physical_SK_OFMA_REP_route_input_mass,0.0017931730535133417,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,2.0,2.0,1.0,0.5,0.02,0.01,0.02,direct_target,1,false
sensitivity_162,continuation_trial,virgin_metal_tax_tax_0_015,virgin_metal_tax,0.015,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,12.182405282,0.0007553790044170228,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0007553790044170228,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,2.0,2.0,1.0,0.5,0.02,0.01,0.015,continuation_trial,2,true
sensitivity_162,continuation_trial,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,26.244912821,0.0012533238217826703,1,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.0012533238217826703,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,2.0,2.0,1.0,0.5,0.02,0.015,0.02,continuation_trial,3,false
sensitivity_162,continuation_trial,virgin_metal_tax_tax_0_0175,virgin_metal_tax,0.0175,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,49.451935698,0.0044418514069906045,1,0.0,0,observed_physical_flow_links,quantity_link,physical_SK_OFMA_REP_route_input_mass,0.0044418514069906045,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,2.0,2.0,1.0,0.5,0.02,0.015,0.0175,continuation_trial,4,false
sensitivity_162,continuation_trial,virgin_metal_tax_tax_0_01625,virgin_metal_tax,0.01625,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,29.116634331,0.0009229143967612874,0,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.0009229143967612874,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,2.0,2.0,1.0,0.5,0.02,0.015,0.01625,continuation_trial,5,true
sensitivity_162,continuation_trial,virgin_metal_tax_tax_0_018750000000000003,virgin_metal_tax,0.018750000000000003,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,30.33441396,0.001180218726619553,1,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.001180218726619553,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,2.0,2.0,1.0,0.5,0.02,0.01625,0.018750000000000003,continuation_trial,6,false
sensitivity_162,continuation_trial,virgin_metal_tax_tax_0_0175,virgin_metal_tax,0.0175,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,18.123089892,0.0010846093339753615,1,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.0010846093339753615,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,2.0,2.0,1.0,0.5,0.02,0.01625,0.0175,continuation_trial,7,false
sensitivity_162,continuation_trial,virgin_metal_tax_tax_0_016875,virgin_metal_tax,0.016875,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,25.513427429,0.001022862268289737,1,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.001022862268289737,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,2.0,2.0,1.0,0.5,0.02,0.01625,0.016875,continuation_trial,8,false
sensitivity_162,continuation_trial,virgin_metal_tax_tax_0_0165625,virgin_metal_tax,0.0165625,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,26.23169149,0.0010396683553767216,1,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.0010396683553767216,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,2.0,2.0,1.0,0.5,0.02,0.01625,0.0165625,continuation_trial,9,false
sensitivity_162,continuation_trial,virgin_metal_tax_tax_0_01640625,virgin_metal_tax,0.01640625,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,17.563222619,0.012747392794063672,1,0.0,0,observed_physical_flow_links,quantity_link,physical_SK_OFMA_REP_route_input_mass,0.012747392794063672,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,2.0,2.0,1.0,0.5,0.02,0.01625,0.01640625,continuation_trial,10,false
sensitivity_162,continuation_trial,virgin_metal_tax_tax_0_016328125,virgin_metal_tax,0.016328125,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,5.801388397,0.0010252553806306963,1,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.0010252553806306963,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,2.0,2.0,1.0,0.5,0.02,0.01625,0.016328125,continuation_trial,11,false
