sensitivity_profile,stage,scenario,instrument,wedge,termination_status,primal_status,solver_valid,solver_elapsed_seconds,max_scaled_residual,scaled_residuals_above_tolerance,max_bound_violation,bound_violations_above_tolerance,worst_equation_block,worst_equation_tag,worst_equation_indices,worst_equation_scaled_residual,worst_bound_variable,worst_bound_violation,solver_message,armington_elasticity,cet_transformation_elasticity,service_elasticity,eol_allocation_elasticity,eol_productivity_elasticity,material_substitution_elasticity,declared_wedge,source_wedge,trial_wedge,continuation_phase,attempt,trial_accepted
sensitivity_693,baseline,baseline,,0.0,ALMOST_LOCALLY_SOLVED,NEARLY_FEASIBLE_POINT,true,3.569978137,5.156131248629237e-7,0,0.0,0,observed_physical_flow_links,quantity_link,physical_SK_OFMA_REP_route_input_mass,5.156131248629237e-7,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,baseline,1,true
sensitivity_693,direct_target,virgin_metal_tax_tax_0_0025,virgin_metal_tax,0.0025,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,12.987199602,0.0015027609581514945,1,0.0,0,observed_physical_flow_links,quantity_link,physical_SK_OFMA_REP_route_input_mass,0.0015027609581514945,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,1.0,1.0,2.0,2.0,0.0025,0.0,0.0025,direct_target,1,false
sensitivity_693,continuation_trial,virgin_metal_tax_tax_0_00125,virgin_metal_tax,0.00125,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,10.756304477,6.735967740256754e-5,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,6.735967740256754e-5,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,1.0,1.0,2.0,2.0,0.0025,0.0,0.00125,continuation_trial,2,true
sensitivity_693,continuation_trial,virgin_metal_tax_tax_0_0025,virgin_metal_tax,0.0025,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,10.83063239,0.0001338896129519096,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0001338896129519096,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,1.0,1.0,2.0,2.0,0.0025,0.00125,0.0025,continuation_trial,3,true
sensitivity_693,direct_target,virgin_metal_tax_tax_0_005,virgin_metal_tax,0.005,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,37.094099277,0.00026990821233519036,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.00026990821233519036,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,1.0,1.0,2.0,2.0,0.005,0.0025,0.005,direct_target,1,true
sensitivity_693,direct_target,virgin_metal_tax_tax_0_01,virgin_metal_tax,0.01,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,39.707146031,0.0004572924904505671,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0004572924904505671,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,1.0,1.0,2.0,2.0,0.01,0.005,0.01,direct_target,1,true
sensitivity_693,direct_target,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,70.415834683,0.013794394034666868,7,0.0,0,observed_physical_flow_links,quantity_link,physical_SK_OFMA_REP_route_input_mass,0.013794394034666868,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,1.0,1.0,2.0,2.0,0.02,0.01,0.02,direct_target,1,false
sensitivity_693,continuation_trial,virgin_metal_tax_tax_0_015,virgin_metal_tax,0.015,TIME_LIMIT,NEARLY_FEASIBLE_POINT,false,124.896009772,0.008051964133968468,2,0.0,0,eu_wide_eol_allocation,eu_wide_eol_allocation,OFMA|EOL_SK_OFMA_REP,0.008051964133968468,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,1.0,1.0,2.0,2.0,0.02,0.01,0.015,continuation_trial,2,false
sensitivity_693,continuation_trial,virgin_metal_tax_tax_0_0125,virgin_metal_tax,0.0125,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,75.080524976,0.398591374885338,8,0.0,0,observed_physical_flow_links,quantity_link,physical_SK_OFMA_REP_route_input_mass,0.398591374885338,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,1.0,1.0,2.0,2.0,0.02,0.01,0.0125,continuation_trial,3,false
sensitivity_693,continuation_trial,virgin_metal_tax_tax_0_01125,virgin_metal_tax,0.01125,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,42.138103253,0.00070226786067773,0,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.00070226786067773,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,1.0,1.0,2.0,2.0,0.02,0.01,0.01125,continuation_trial,4,true
