sensitivity_profile,stage,scenario,instrument,wedge,termination_status,primal_status,solver_valid,solver_elapsed_seconds,max_scaled_residual,scaled_residuals_above_tolerance,max_bound_violation,bound_violations_above_tolerance,worst_equation_block,worst_equation_tag,worst_equation_indices,worst_equation_scaled_residual,worst_bound_variable,worst_bound_violation,solver_message,armington_elasticity,cet_transformation_elasticity,service_elasticity,eol_allocation_elasticity,eol_productivity_elasticity,material_substitution_elasticity,declared_wedge,source_wedge,trial_wedge,continuation_phase,attempt,trial_accepted
sensitivity_522,baseline,baseline,,0.0,ALMOST_LOCALLY_SOLVED,NEARLY_FEASIBLE_POINT,true,3.047759503,5.065249669700123e-7,0,0.0,0,observed_physical_flow_links,quantity_link,physical_SK_OFMA_REP_route_input_mass,5.065249669700123e-7,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,0.5,1.0,0.5,2.0,0.0,0.0,0.0,baseline,1,true
sensitivity_522,direct_target,virgin_metal_tax_tax_0_0025,virgin_metal_tax,0.0025,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,9.883809637,0.00013263703082755374,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.00013263703082755374,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,0.5,1.0,0.5,2.0,0.0025,0.0,0.0025,direct_target,1,true
sensitivity_522,direct_target,virgin_metal_tax_tax_0_005,virgin_metal_tax,0.005,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,13.2252696,0.0002788890476891348,0,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.0002788890476891348,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,0.5,1.0,0.5,2.0,0.005,0.0025,0.005,direct_target,1,true
sensitivity_522,direct_target,virgin_metal_tax_tax_0_01,virgin_metal_tax,0.01,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,15.285658693,0.0006112558390573009,0,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.0006112558390573009,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,0.5,1.0,0.5,2.0,0.01,0.005,0.01,direct_target,1,true
sensitivity_522,direct_target,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,41.911797894,0.0010793935217767725,1,8.88354895917241e-9,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0010793935217767725,F_FAC_SK_LAB_IND_SK_REP_OFMA,8.88354895917241e-9,,2.0,2.0,0.5,1.0,0.5,2.0,0.02,0.01,0.02,direct_target,1,false
sensitivity_522,continuation_trial,virgin_metal_tax_tax_0_015,virgin_metal_tax,0.015,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,23.149659031,0.00073756560688365,0,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.00073756560688365,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,0.5,1.0,0.5,2.0,0.02,0.01,0.015,continuation_trial,2,true
sensitivity_522,continuation_trial,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,10.859223566,0.0011263696849860283,1,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.0011263696849860283,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,0.5,1.0,0.5,2.0,0.02,0.015,0.02,continuation_trial,3,false
sensitivity_522,continuation_trial,virgin_metal_tax_tax_0_0175,virgin_metal_tax,0.0175,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,25.417207018,0.0010726542081263002,1,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.0010726542081263002,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,0.5,1.0,0.5,2.0,0.02,0.015,0.0175,continuation_trial,4,false
sensitivity_522,continuation_trial,virgin_metal_tax_tax_0_01625,virgin_metal_tax,0.01625,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,26.92075799,0.0008010294488588476,0,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.0008010294488588476,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,0.5,1.0,0.5,2.0,0.02,0.015,0.01625,continuation_trial,5,true
sensitivity_522,continuation_trial,virgin_metal_tax_tax_0_018750000000000003,virgin_metal_tax,0.018750000000000003,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,69.921148313,0.0009262471921180904,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0009262471921180904,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,0.5,1.0,0.5,2.0,0.02,0.01625,0.018750000000000003,continuation_trial,6,true
