product_region	product_code	activity_region	activity_code	value_meur
DE	CPA_C24	DE	C22	80.79
DE	CPA_C24	DE	C23	22.951
DE	CPA_C24	DE	C24	83961.273
DE	CPA_C24	DE	C25	830.83
DE	CPA_C24	DE	C26	5.031
DE	CPA_C24	DE	C27	178.121
DE	CPA_C24	DE	C28	436.602
DE	CPA_C24	DE	C29	193.665
DE	CPA_C24	DE	C31_C32	33.909
DE	CPA_C24	DE	C33	2.952
DE	CPA_C24	DE	G46	127.007
DE	CPA_C25	DE	B	1.006
DE	CPA_C25	DE	C13-C15	70.889
DE	CPA_C25	DE	C16	106.737
DE	CPA_C25	DE	C17	2.99
DE	CPA_C25	DE	C20	34.517
DE	CPA_C25	DE	C22	1768.412
DE	CPA_C25	DE	C23	186.603
DE	CPA_C25	DE	C24	1748.133
DE	CPA_C25	DE	C25	118184.839
DE	CPA_C25	DE	C26	88.554
DE	CPA_C25	DE	C27	527.359
DE	CPA_C25	DE	C28	2102.634
DE	CPA_C25	DE	C29	907.376
DE	CPA_C25	DE	C30	203.031
DE	CPA_C25	DE	C31_C32	242.349
DE	CPA_C25	DE	C33	224.343
DE	CPA_C25	DE	D35	44.629
DE	CPA_C25	DE	E36	7.06
DE	CPA_C25	DE	E37-E39	7.995
DE	CPA_C25	DE	F	177.299
DE	CPA_C25	DE	G46	437.238
DE	CPA_C25	DE	G47	1.023
DE	CPA_C25	DE	H49	136.35
DE	CPA_C25	DE	H52	40.122
DE	CPA_C26	DE	C13-C15	1.997
DE	CPA_C26	DE	C18	6.011
DE	CPA_C26	DE	C20	52.269
DE	CPA_C26	DE	C22	69.819
DE	CPA_C26	DE	C23	109.767
DE	CPA_C26	DE	C24	17.96
DE	CPA_C26	DE	C25	155.221
DE	CPA_C26	DE	C26	68940.416
DE	CPA_C26	DE	C27	1328.906
DE	CPA_C26	DE	C28	1569.782
DE	CPA_C26	DE	C29	328.346
DE	CPA_C26	DE	C30	15.846
DE	CPA_C26	DE	C31_C32	334.102
DE	CPA_C26	DE	C33	102.332
DE	CPA_C26	DE	F	80.941
DE	CPA_C26	DE	G46	86.407
DE	CPA_C26	DE	G47	5.113
DE	CPA_C26	DE	J61	17.955
DE	CPA_C27	DE	C13-C15	62.901
DE	CPA_C27	DE	C17	199.327
DE	CPA_C27	DE	C20	20.71
DE	CPA_C27	DE	C22	163.576
DE	CPA_C27	DE	C23	362.23
DE	CPA_C27	DE	C24	471.956
DE	CPA_C27	DE	C25	394.022
DE	CPA_C27	DE	C26	1707.686
DE	CPA_C27	DE	C27	82291.09
DE	CPA_C27	DE	C28	2227.661
DE	CPA_C27	DE	C29	622.285
DE	CPA_C27	DE	C30	105.972
DE	CPA_C27	DE	C31_C32	61.834
DE	CPA_C27	DE	C33	265.67
DE	CPA_C27	DE	D35	688.693
DE	CPA_C27	DE	E36	100.85
DE	CPA_C27	DE	E37-E39	134.921
DE	CPA_C27	DE	F	27.944
DE	CPA_C27	DE	G45	219.657
DE	CPA_C27	DE	G46	111.392
DE	CPA_C27	DE	J61	30.923
DE	CPA_C28	DE	C10-C12	0.991
DE	CPA_C28	DE	C13-C15	5.991
DE	CPA_C28	DE	C17	103.65
DE	CPA_C28	DE	C18	11.02
DE	CPA_C28	DE	C20	129.193
DE	CPA_C28	DE	C22	285.26
DE	CPA_C28	DE	C23	79.83
DE	CPA_C28	DE	C24	479.938
DE	CPA_C28	DE	C25	1360.173
DE	CPA_C28	DE	C26	559.501
DE	CPA_C28	DE	C27	4644.165
DE	CPA_C28	DE	C28	211178.313
DE	CPA_C28	DE	C29	2951.184
DE	CPA_C28	DE	C30	95.078
DE	CPA_C28	DE	C31_C32	344.076
DE	CPA_C28	DE	C33	565.778
DE	CPA_C28	DE	D35	146.139
DE	CPA_C28	DE	E36	22.187
DE	CPA_C28	DE	E37-E39	28.983
DE	CPA_C28	DE	F	486.609
DE	CPA_C28	DE	G45	136.902
DE	CPA_C28	DE	G46	133.253
DE	CPA_C28	DE	H49	15.378
DE	CPA_C28	DE	H52	4.012
DE	CPA_C28	DE	J61	9.975
DE	CPA_C29	DE	A01	150.647
DE	CPA_C29	DE	B	14.087
DE	CPA_C29	DE	C10-C12	156.568
DE	CPA_C29	DE	C13-C15	52.917
DE	CPA_C29	DE	C16	27.931
DE	CPA_C29	DE	C17	41.859
DE	CPA_C29	DE	C18	35.065
DE	CPA_C29	DE	C19	5.705
DE	CPA_C29	DE	C20	137.083
DE	CPA_C29	DE	C21	77.337
DE	CPA_C29	DE	C22	1140.042
DE	CPA_C29	DE	C23	222.527
DE	CPA_C29	DE	C24	537.81
DE	CPA_C29	DE	C25	926.351
DE	CPA_C29	DE	C26	585.665
DE	CPA_C29	DE	C27	363.248
DE	CPA_C29	DE	C28	5543.85
DE	CPA_C29	DE	C29	338831.704
DE	CPA_C29	DE	C30	99.039
DE	CPA_C29	DE	C31_C32	200.461
DE	CPA_C29	DE	C33	93.476
DE	CPA_C29	DE	D35	61.256
DE	CPA_C29	DE	E36	7.06
DE	CPA_C29	DE	E37-E39	52.969
DE	CPA_C29	DE	F	524.188
DE	CPA_C29	DE	G45	676.338
DE	CPA_C29	DE	G46	2788.954
DE	CPA_C29	DE	G47	605.413
DE	CPA_C29	DE	H49	59.461
DE	CPA_C29	DE	H50	13.083
DE	CPA_C29	DE	H51	14.769
DE	CPA_C29	DE	H52	195.593
DE	CPA_C29	DE	H53	62.731
DE	CPA_C29	DE	I	76.732
DE	CPA_C29	DE	J58	46.914
DE	CPA_C29	DE	J59_J60	12.984
DE	CPA_C29	DE	J61	65.836
DE	CPA_C29	DE	J62_J63	610.118
DE	CPA_C29	DE	K64	319.498
DE	CPA_C29	DE	K65	36.992
DE	CPA_C29	DE	K66	64.154
DE	CPA_C29	DE	L	77.191
DE	CPA_C29	DE	M69_M70	416.093
DE	CPA_C29	DE	M71	291.19
DE	CPA_C29	DE	M72	23.568
DE	CPA_C29	DE	M73	49.221
DE	CPA_C29	DE	M74_M75	15.897
DE	CPA_C29	DE	N77	51.952
DE	CPA_C29	DE	N78	110.371
DE	CPA_C29	DE	N79	13.071
DE	CPA_C29	DE	N80-N82	210.382
DE	CPA_C29	DE	P85	23.976
DE	CPA_C29	DE	Q86	44.519
DE	CPA_C29	DE	Q87_Q88	90.463
DE	CPA_C29	DE	R90-R92	12.71
DE	CPA_C29	DE	R93	20.5
DE	CPA_C29	DE	S94	37.675
DE	CPA_C29	DE	S95	11.476
DE	CPA_C29	DE	S96	28.904
DE	CPA_C30	DE	C13-C15	1.997
DE	CPA_C30	DE	C20	3.945
DE	CPA_C30	DE	C22	31.917
DE	CPA_C30	DE	C24	44.901
DE	CPA_C30	DE	C25	194.026
DE	CPA_C30	DE	C26	131.825
DE	CPA_C30	DE	C27	1093.746
DE	CPA_C30	DE	C28	276.845
DE	CPA_C30	DE	C29	1770.514
DE	CPA_C30	DE	C30	39965.371
DE	CPA_C30	DE	C31_C32	39.893
DE	CPA_C30	DE	C33	316.836
DE	CPA_C30	DE	G46	6.246
DE	CPA_C30	DE	H49	8.202
DE	CPA_C30	DE	H52	2.006
DE	CPA_C31_32	DE	C13-C15	30.951
DE	CPA_C31_32	DE	C16	92.771
DE	CPA_C31_32	DE	C17	55.812
DE	CPA_C31_32	DE	C18	1.002
DE	CPA_C31_32	DE	C20	47.338
DE	CPA_C31_32	DE	C21	476.073
DE	CPA_C31_32	DE	C22	270.299
DE	CPA_C31_32	DE	C23	272.421
DE	CPA_C31_32	DE	C24	199.559
DE	CPA_C31_32	DE	C25	255.717
DE	CPA_C31_32	DE	C26	725.54
DE	CPA_C31_32	DE	C27	52.035
DE	CPA_C31_32	DE	C28	152.811
DE	CPA_C31_32	DE	C29	74.714
DE	CPA_C31_32	DE	C30	76.26
DE	CPA_C31_32	DE	C31_C32	47926.243
DE	CPA_C31_32	DE	C33	24.599
DE	CPA_C31_32	DE	F	13.49
DE	CPA_C31_32	DE	G46	45.806
DE	CPA_C31_32	DE	G47	334.409
DE	CPA_C33	DE	C10-C12	6.937
DE	CPA_C33	DE	C13-C15	1.997
DE	CPA_C33	DE	C16	14.963
DE	CPA_C33	DE	C17	3.987
DE	CPA_C33	DE	C20	12.821
DE	CPA_C33	DE	C22	103.731
DE	CPA_C33	DE	C23	10.977
DE	CPA_C33	DE	C24	36.918
DE	CPA_C33	DE	C25	836.8
DE	CPA_C33	DE	C26	1578.88
DE	CPA_C33	DE	C27	2523.72
DE	CPA_C33	DE	C28	7931.268
DE	CPA_C33	DE	C29	94.375
DE	CPA_C33	DE	C30	1379.619
DE	CPA_C33	DE	C31_C32	226.392
DE	CPA_C33	DE	C33	36006.103
DE	CPA_C33	DE	F	500.099
DE	CPA_C33	DE	G46	132.212
DE	CPA_C33	DE	G47	36.816
DE	CPA_C33	DE	H51	71.16
DE	CPA_C33	DE	Q86	123.439
DE	CPA_D35	DE	A01	458.089
DE	CPA_D35	DE	B	99.615
DE	CPA_D35	DE	C10-C12	32.701
DE	CPA_D35	DE	C13-C15	1.997
DE	CPA_D35	DE	C16	87.784
DE	CPA_D35	DE	C17	85.711
DE	CPA_D35	DE	C18	5.009
DE	CPA_D35	DE	C19	52.292
DE	CPA_D35	DE	C20	339.256
DE	CPA_D35	DE	C21	3.013
DE	CPA_D35	DE	C22	25.933
DE	CPA_D35	DE	C23	11.975
DE	CPA_D35	DE	C24	890.031
DE	CPA_D35	DE	C25	9.95
DE	CPA_D35	DE	C26	3.019
DE	CPA_D35	DE	C27	7.005
DE	CPA_D35	DE	C28	14.884
DE	CPA_D35	DE	C29	62.917
DE	CPA_D35	DE	C30	4.952
DE	CPA_D35	DE	C31_C32	1.995
DE	CPA_D35	DE	C33	3.936
DE	CPA_D35	DE	D35	96819.581
DE	CPA_D35	DE	E36	579.888
DE	CPA_D35	DE	E37-E39	307.82
DE	CPA_E36	DE	D35	3475.844
DE	CPA_E36	DE	E36	5918.895
DE	CPA_E36	DE	E37-E39	697.591
DE	CPA_E37-39	DE	D35	904.84
DE	CPA_E37-39	DE	E36	2399.225
DE	CPA_E37-39	DE	E37-E39	50860.213
DE	CPA_F	DE	A01	600.537
DE	CPA_F	DE	B	83.515
DE	CPA_F	DE	C10-C12	113.957
DE	CPA_F	DE	C13-C15	16.973
DE	CPA_F	DE	C16	29.926
DE	CPA_F	DE	C17	43.852
DE	CPA_F	DE	C18	2.004
DE	CPA_F	DE	C19	41.834
DE	CPA_F	DE	C20	416.18
DE	CPA_F	DE	C21	78.341
DE	CPA_F	DE	C22	147.617
DE	CPA_F	DE	C23	101.784
DE	CPA_F	DE	C24	65.854
DE	CPA_F	DE	C25	249.747
DE	CPA_F	DE	C26	24.151
DE	CPA_F	DE	C27	241.164
DE	CPA_F	DE	C28	363.173
DE	CPA_F	DE	C29	283.125
DE	CPA_F	DE	C30	106.963
DE	CPA_F	DE	C31_C32	206.445
DE	CPA_F	DE	C33	3.936
DE	CPA_F	DE	D35	9548.07
DE	CPA_F	DE	E36	497.191
DE	CPA_F	DE	E37-E39	1276.253
DE	CPA_F	DE	F	284177.494
DE	CPA_F	DE	G45	26.563
DE	CPA_F	DE	G46	180.1
DE	CPA_F	DE	H49	268.6
DE	CPA_F	DE	H50	145.217
