product_region	product_code	use_region	use_code	value_meur
DE	CPA_A01	ROW	C33	0.023000000000000007
DE	CPA_A01	ROW	D35	2.459999999999999
DE	CPA_A01	ROW	E36	0.061000000000000006
DE	CPA_A01	ROW	E37-39	0.294
DE	CPA_A01	ROW	F	4.821999999999999
DE	CPA_A01	ROW	G45	0.35000000000000003
DE	CPA_A01	ROW	G46	30.352999999999998
DE	CPA_A01	ROW	G47	6.811999999999999
DE	CPA_A01	ROW	H49	0.4870000000000001
DE	CPA_A01	ROW	H50	1.0670000000000002
DE	CPA_A01	ROW	H51	0.066
DE	CPA_A01	ROW	H52	0.5150000000000001
DE	CPA_A01	ROW	H53	0.005
DE	CPA_A01	ROW	I	124.30800000000004
DE	CPA_A01	ROW	J58	0.048999999999999995
DE	CPA_A01	ROW	J59_60	0.262
DE	CPA_A01	ROW	J61	0.038000000000000006
DE	CPA_A01	ROW	J62_63	0.229
DE	CPA_A01	ROW	K64	0.20500000000000002
DE	CPA_A01	ROW	K65	0.08200000000000002
DE	CPA_A01	ROW	K66	0.051
DE	CPA_A01	ROW	L	0.7160000000000001
DE	CPA_A01	ROW	M69_70	0.404
DE	CPA_A01	ROW	M71	0.192
DE	CPA_A01	ROW	M72	1.9129999999999991
DE	CPA_A01	ROW	M73	0.11700000000000002
DE	CPA_A01	ROW	M74_75	0.3440000000000001
DE	CPA_A01	ROW	N77	0.07100000000000001
DE	CPA_A01	ROW	N78	0.049
DE	CPA_A01	ROW	N79	0.47800000000000004
DE	CPA_A01	ROW	N80-82	16.759
DE	CPA_A01	ROW	O84	9.822999999999999
DE	CPA_A01	ROW	P3_S13	11.958
DE	CPA_A01	ROW	P3_S14	2053.0860000000002
DE	CPA_A01	ROW	P3_S15	0.022
DE	CPA_A01	ROW	P51G	46.730999999999995
DE	CPA_A01	ROW	P5M	-19.573999999999987
DE	CPA_A01	ROW	P85	4.409999999999999
DE	CPA_A01	ROW	Q86	12.126999999999999
DE	CPA_A01	ROW	Q87_88	15.166999999999996
DE	CPA_A01	ROW	R90-92	0.9730000000000002
DE	CPA_A01	ROW	R93	2.2209999999999996
DE	CPA_A01	ROW	S94	0.8100000000000002
DE	CPA_A01	ROW	S95	0.003
DE	CPA_A01	ROW	S96	1.539
DE	CPA_A01	SK	A01	11.758
DE	CPA_A01	SK	A02	0.101
DE	CPA_A01	SK	B	0.001
DE	CPA_A01	SK	C10-12	15.344
