cpa2_1	CPA_A01211	Grapes
cpa2_1	CPA_A012111	Table grapes
cpa2_1	CPA_A012112	Other grapes, fresh
cpa2_1	CPA_A0122	Tropical and subtropical fruits
cpa2_1	CPA_A01221	Tropical and subtropical fruits
cpa2_1	CPA_A012211	Avocados
cpa2_1	CPA_A012212	Bananas, plantains and similar
cpa2_1	CPA_A012213	Dates
cpa2_1	CPA_A012214	Figs
cpa2_1	CPA_A012219	Other tropical and subtropical fruits
cpa2_1	CPA_A0123	Citrus fruits
cpa2_1	CPA_A01231	Citrus fruits
cpa2_1	CPA_A012311	Pomelo and grapefruits
cpa2_1	CPA_A012312	Lemons and limes
cpa2_1	CPA_A012313	Oranges
cpa2_1	CPA_A012314	Tangerines, mandarins, clementines
cpa2_1	CPA_A012319	Other citrus fruits
cpa2_1	CPA_A0124	Pome fruits and stone fruits
cpa2_1	CPA_A01241	Apples
cpa2_1	CPA_A012410	Apples
cpa2_1	CPA_A01242	Other pome fruits and stone fruits
cpa2_1	CPA_A012421	Pears
cpa2_1	CPA_A012422	Quinces
cpa2_1	CPA_A012423	Apricots
cpa2_1	CPA_A012424	Cherries
cpa2_1	CPA_A012425	Peaches
cpa2_1	CPA_A012426	Nectarines
cpa2_1	CPA_A012427	Plums
cpa2_1	CPA_A012428	Sloes
cpa2_1	CPA_A012429	Other pome fruits and stone fruits n.e.c.
cpa2_1	CPA_A0125	Other tree and bush fruits and nuts
cpa2_1	CPA_A01251	Berries and the fruits of the genus vaccinium
cpa2_1	CPA_A012511	Kiwi fruit
cpa2_1	CPA_A012512	Raspberries
cpa2_1	CPA_A012513	Strawberries
cpa2_1	CPA_A012519	Other berries, the fruits of the genus vaccinium n.e.c.
cpa2_1	CPA_A01252	Fruit seeds
cpa2_1	CPA_A012520	Fruit seeds
cpa2_1	CPA_A01253	Nuts (excluding wild edible nuts, groundnuts and coconuts)
cpa2_1	CPA_A012531	Almonds
cpa2_1	CPA_A012532	Chestnuts
cpa2_1	CPA_A012533	Hazelnuts
cpa2_1	CPA_A012534	Pistachios
cpa2_1	CPA_A012535	Walnuts
cpa2_1	CPA_A012539	Other nuts (excluding wild edible nuts, groundnuts and coconuts)
cpa2_1	CPA_A01259	Other tree and bush fruits n.e.c.
cpa2_1	CPA_A012590	Other tree and bush fruits n.e.c.
cpa2_1	CPA_A0126	Oleaginous fruits
cpa2_1	CPA_A01261	Olives
