product	origin	destination	intermediate_value_meur	household_value_meur	government_value_meur	fixed_investment_value_meur	inventory_change_value_meur	marketed_value_meur
AGRI_FOOD	DE	DE	80592.54333566173	97126.5461395994	913.1151901707	1169.4796724316159	5227.590332925769	179801.68433786347
AGRI_FOOD	DE	FR	1526.904442403268	2884.5071427898342	11.841461992849657	26.391980103032164	71.66547106478741	4449.645027288984
AGRI_FOOD	DE	IT	2590.0885817464055	1870.2713970052969	0.43649444575659685	16.043384381759612	17.025712721508064	4476.839857579219
AGRI_FOOD	DE	PL	1165.8053460348829	1574.7842968879459	0.32615565808572805	10.197678684910594	35.3840781091874	2751.1134772658247
AGRI_FOOD	DE	REU	12346.070015072388	15878.148523567843	12.999571234096994	173.67954867378936	99.43955180791984	28410.897658548118
AGRI_FOOD	DE	ROW	4742.629017763592	6468.121776566243	180.09234526674882	205.91565258497647	23.111655102946784	11596.75879218156
AGRI_FOOD	DE	SK	117.04419923824616	386.2965071377375	0.35297108242797137	8.81230228265444	-0.6589322004098445	512.5059797410661
AGRI_FOOD	FR	DE	1504.6373736750002	2169.7165041667376	5.952485123807343	1.2329885171144959	149.982836203816	3681.5393514826596
AGRI_FOOD	FR	FR	102657.1308675497	82243.94674583884	132.22335480810654	750.8124513676518	2295.538955268017	185784.1134195643
AGRI_FOOD	FR	IT	2682.168082697007	1590.2305570945227	0.0	14.410485180460299	87.99777663169603	4286.80912497199
AGRI_FOOD	FR	PL	161.54383066217684	211.09768551943705	0.0	0.658998024102256	5.576837676223095	373.3005142057161
AGRI_FOOD	FR	REU	7424.9071489642765	10315.50508080442	2.0132570963444096	57.15752181723523	72.96511940236194	17799.583008682275
AGRI_FOOD	FR	ROW	7557.228541283029	10699.364854360632	261.17220425126055	85.29120626757552	30.063971581174172	18603.056806162494
AGRI_FOOD	FR	SK	22.287683749127044	52.63596324600045	0.0	2.317872163942418	-0.16924099177563978	77.24151915906991
AGRI_FOOD	IT	DE	1806.8944491621678	2663.4600825305715	8.517446967001192	10.204360797644751	191.41976964206833	4489.076339457385
AGRI_FOOD	IT	FR	1160.5938252929	2255.315232953331	7.843835106356713	18.767065669815366	48.741931125023704	3442.5199590224033
AGRI_FOOD	IT	IT	84983.96903783391	66642.49272112502	848.0189506335712	943.3357408248153	2410.8522289002144	153417.8164504173
AGRI_FOOD	IT	PL	252.9997644434965	315.91778720654213	0.059701197937930446	2.8774262634886765	9.517738275967142	571.8546791114652
AGRI_FOOD	IT	REU	5055.345175553051	8305.89130686033	7.846439093418597	67.38528049307469	86.97420826385954	13436.468201999875
AGRI_FOOD	IT	ROW	5370.62565875248	7819.361934026443	176.6355430602532	98.8973017110624	32.99982034056229	13465.520437550238
AGRI_FOOD	IT	SK	43.44148306995202	89.65478424795069	0.07942025769316972	5.242966284204102	-0.09241796617180033	138.41865385979997
AGRI_FOOD	PL	DE	1398.45911738682	2026.0466452677986	7.086416797605556	13.45535373160047	173.0631505447166	3445.0475331838247
AGRI_FOOD	PL	FR	319.0792187204124	552.5434202385932	2.7052378671419572	3.635008315649784	14.741238502758609	877.9628851417973
AGRI_FOOD	PL	IT	660.0124821701145	466.16121596480673	0.1757135786942425	3.4470060754962857	5.34359044782398	1129.796417789112
AGRI_FOOD	PL	PL	35434.3099021353	28729.09455782773	727.3163843356108	291.36446058207036	-880.4583582336263	65182.08530488071
AGRI_FOOD	PL	REU	3102.59646530447	5021.787167126863	5.308399974654571	37.92717479582385	84.79012091899844	8167.619207201811
AGRI_FOOD	PL	ROW	2084.4492728028754	2931.2577557783475	90.89873428517267	51.42445992168059	12.571578689116226	5158.030222788076
AGRI_FOOD	PL	SK	105.77331301170848	386.6056081479644	0.23463076528909826	3.655054441070731	-0.43449822110678543	496.2686063660327
AGRI_FOOD	REU	DE	12956.940868538324	16887.783692449997	71.73437486042022	136.33327442874395	1107.3008648461073	30052.792210277486
AGRI_FOOD	REU	FR	8090.228540246148	14177.427453854574	55.4702568678278	180.42218384557188	262.3188774472048	22503.54843481412
AGRI_FOOD	REU	IT	9275.680870591963	6314.033585969538	5.121339492913372	85.10772846030089	157.01585702668643	15679.943524514716
AGRI_FOOD	REU	PL	3168.845321046231	3074.860204865551	1.2397658002233494	25.419654266430523	98.702097665	6270.3649459784365
AGRI_FOOD	REU	REU	548277.3822015943	480340.44621981826	2562.41437574632	12622.115968772267	3193.1699877010096	1.043802358765931e6
