region	family	route	flow_kind	physical_unit	value_tonnes	source_flow_count	status	source	source_rule
PL	ELMA	REC	route_input_mass	tonnes	1417.0829843113465	40	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
PL	ELMA	REP	route_input_mass	tonnes	67964.69054876111	8	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
PL	OFMA	INC	route_input_mass	tonnes	81.30346662085455	120	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
PL	OFMA	NEW	new_product_output	tonnes	450546.12293334905	1	observed	BONSAI-derived CE-RISE disaggregation	family parent activity to matching family parent product
PL	OFMA	REC	route_input_mass	tonnes	40.516049801688204	45	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
PL	OFMA	REP	route_input_mass	tonnes	10163.904263147817	10	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
PL	RATV	INC	route_input_mass	tonnes	3207.156053850924	100	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
PL	RATV	NEW	new_product_output	tonnes	1.7143343368568625e7	1	observed	BONSAI-derived CE-RISE disaggregation	family parent activity to matching family parent product
PL	RATV	REC	route_input_mass	tonnes	1432.4317215629908	36	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
PL	RATV	REP	route_input_mass	tonnes	435612.3304156291	8	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
REU	ELMA	INC	route_input_mass	tonnes	149324.95313308283	1877	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
REU	ELMA	NEW	new_product_output	tonnes	8.232636819096194e7	28	observed	BONSAI-derived CE-RISE disaggregation	family parent activity to matching family parent product
REU	ELMA	REC	route_input_mass	tonnes	47883.19696578902	603	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
REU	ELMA	REP	route_input_mass	tonnes	1.7694824637987132e6	234	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
REU	ELMA	REU	route_input_mass	tonnes	201.46696809717497	67	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
REU	OFMA	INC	route_input_mass	tonnes	2426.8524468885616	1809	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
REU	OFMA	NEW	new_product_output	tonnes	1.7343723473997738e6	27	observed	BONSAI-derived CE-RISE disaggregation	family parent activity to matching family parent product
REU	OFMA	REC	route_input_mass	tonnes	956.0851065539104	628	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
REU	OFMA	REP	route_input_mass	tonnes	42866.11345507777	231	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
REU	OFMA	REU	route_input_mass	tonnes	26.343513706193832	73	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
REU	RATV	INC	route_input_mass	tonnes	22626.691162605188	1736	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
REU	RATV	NEW	new_product_output	tonnes	3.08799452591266e7	28	observed	BONSAI-derived CE-RISE disaggregation	family parent activity to matching family parent product
REU	RATV	REC	route_input_mass	tonnes	6245.947978917448	548	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
REU	RATV	REP	route_input_mass	tonnes	1.1461591479907876e6	188	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
REU	RATV	REU	route_input_mass	tonnes	483.03330952923204	60	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
SK	ELMA	INC	route_input_mass	tonnes	145.82152392470766	120	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
