account_id	account_type	row_sum	column_sum	gap
IND_DE_AGRI_FOOD	industry	237473.0029999998	237473.00300000006	-2.6193447411060333e-10
IND_DE_EXTRACTIVE	industry	10698.002000000013	10698.002000000002	1.0913936421275139e-11
IND_DE_BASIC_METALS	industry	91769.99799999996	91769.99800000002	-5.820766091346741e-11
IND_DE_METAL_COMPONENTS	industry	130505.9999999999	130506.00000000003	-1.3096723705530167e-10
IND_DE_NEW_ELMA	industry	72916.19999999997	72916.19999999998	-1.4551915228366852e-11
IND_DE_NEW_OFMA	industry	2.3739324170277416	2.3739324170277385	3.1086244689504383e-15
IND_DE_NEW_RATV	industry	61632.624667582946	61632.62466758293	1.4551915228366852e-11
IND_DE_REP_ELMA	industry	41.63515700180162	41.63515700180164	-1.4210854715202004e-14
IND_DE_REP_OFMA	industry	0.003980309497582859	0.003980309497582858	8.673617379884035e-19
IND_DE_REP_RATV	industry	103.33778652061197	103.33778652061196	1.4210854715202004e-14
IND_DE_REF_ELMA	industry	9078.330636595723	9078.330636595721	1.8189894035458565e-12
IND_DE_REF_OFMA	industry	0.3407194622790571	0.3407194622790572	-1.1102230246251565e-16
IND_DE_REF_RATV	industry	8845.843540010646	8845.843540010641	5.4569682106375694e-12
IND_DE_REU_ELMA	industry	3253.439659981652	3253.4396599816528	-9.094947017729282e-13
IND_DE_REU_OFMA	industry	0.16115736957194726	0.1611573695719472	5.551115123125783e-17
IND_DE_REU_RATV	industry	4184.007767027296	4184.007767027293	2.7284841053187847e-12
IND_DE_REC_EE	industry	207.112056557118	207.1120565571179	8.526512829121202e-14
IND_DE_INC_EE	industry	77.21797247099482	77.21797247099481	1.4210854715202004e-14
IND_DE_CONSTRUCTION	industry	288371.00100000005	288371.00100000005	0.0
IND_DE_UTIL_WASTE	industry	182937.672970972	182937.67297097188	1.1641532182693481e-10
IND_DE_TRADE	industry	481964.78167722933	481964.78167722933	0.0
IND_DE_TRANSPORT	industry	337231.00299999997	337231.00299999997	0.0
IND_DE_OTHER_MANUFACTURING	industry	1.2603188103999994e6	1.2603188104000003e6	-9.313225746154785e-10
IND_DE_OTHER_SERVICES	industry	1.8180461129184915e6	1.8180461129184926e6	-1.1641532182693481e-9
IND_DE_PUBLIC_SOCIAL	industry	777104.9999999997	777104.9999999997	0.0
FAC_DE_LAB	factor	1.6574102110000004e6	1.657410211e6	4.656612873077393e-10
FAC_DE_CAP	factor	1.2216645620000002e6	1.2216645620000002e6	0.0
INS_DE_HH	institution	2.855749076e6	2.8557490760000004e6	-4.656612873077393e-10
INS_DE_GOV	institution	625680.091413109	625680.0914131092	-2.3283064365386963e-10
INS_DE_INV	institution	1.3291655356889893e6	1.3291655356889889e6	4.656612873077393e-10
EXT_DE_EXT	external	413261.5510075456	413261.5510075456	0.0
IND_FR_AGRI_FOOD	industry	233247.59999999995	233247.6	-5.820766091346741e-11
IND_FR_EXTRACTIVE	industry	5055.600000000004	5055.6	3.637978807091713e-12
IND_FR_BASIC_METALS	industry	24587.899999999998	24587.899999999998	0.0
IND_FR_METAL_COMPONENTS	industry	51721.39999999999	51721.39999999997	1.4551915228366852e-11
IND_FR_NEW_ELMA	industry	15112.020000000008	15112.02	7.275957614183426e-12
IND_FR_NEW_OFMA	industry	0.9095726878067507	0.9095726878067508	-1.1102230246251565e-16
IND_FR_NEW_RATV	industry	16486.400427312205	16486.40042731219	1.4551915228366852e-11
IND_FR_REP_ELMA	industry	38.559	38.558999999999976	2.1316282072803006e-14
IND_FR_REP_OFMA	industry	0.0021756070891189166	0.0021756070891189145	2.168404344971009e-18
IND_FR_REP_RATV	industry	39.4338243929109	39.43382439291091	-7.105427357601002e-15
IND_FR_REF_ELMA	industry	2350.0939999999996	2350.0939999999987	9.094947017729282e-13
IND_FR_REF_OFMA	industry	0.13907467359607395	0.13907467359607392	2.7755575615628914e-17
IND_FR_REF_RATV	industry	2520.788925326405	2520.7889253264043	9.094947017729282e-13
IND_FR_REU_ELMA	industry	478.4680000000002	478.468	1.7053025658242404e-13
IND_FR_REU_OFMA	industry	0.025210307798234244	0.025210307798234247	-3.469446951953614e-18
IND_FR_REU_RATV	industry	456.9477896922018	456.94778969220164	1.7053025658242404e-13
