map,from_item,to_item
industry_to_service_target,IND_PL_REP_OFMA,TST_PL_OFMA
industry_to_eol_target,IND_PL_REP_OFMA,EOL_PL_OFMA
industry_to_route,IND_PL_REU_OFMA,REU
industry_to_family,IND_PL_REU_OFMA,OFMA
industry_to_regional_family,IND_PL_REU_OFMA,PL__OFMA
industry_to_service_target,IND_PL_REU_OFMA,TST_PL_OFMA
industry_to_eol_target,IND_PL_REU_OFMA,EOL_PL_OFMA
industry_to_family,IND_PL_REC_EE,OFMA
industry_to_regional_family,IND_PL_REC_EE,PL__OFMA
industry_to_eol_target,IND_PL_REC_EE,EOL_PL_OFMA
industry_to_family,IND_PL_INC_EE,OFMA
industry_to_regional_family,IND_PL_INC_EE,PL__OFMA
industry_to_eol_target,IND_PL_INC_EE,EOL_PL_OFMA
industry_to_route,IND_PL_NEW_RATV,NEW
industry_to_family,IND_PL_NEW_RATV,RATV
industry_to_regional_family,IND_PL_NEW_RATV,PL__RATV
industry_to_service_target,IND_PL_NEW_RATV,TST_PL_RATV
industry_to_eol_target,IND_PL_NEW_RATV,EOL_PL_RATV
industry_to_route,IND_PL_REF_RATV,REF
industry_to_family,IND_PL_REF_RATV,RATV
industry_to_regional_family,IND_PL_REF_RATV,PL__RATV
industry_to_service_target,IND_PL_REF_RATV,TST_PL_RATV
industry_to_eol_target,IND_PL_REF_RATV,EOL_PL_RATV
industry_to_route,IND_PL_REP_RATV,REP
industry_to_family,IND_PL_REP_RATV,RATV
industry_to_regional_family,IND_PL_REP_RATV,PL__RATV
industry_to_service_target,IND_PL_REP_RATV,TST_PL_RATV
industry_to_eol_target,IND_PL_REP_RATV,EOL_PL_RATV
industry_to_route,IND_PL_REU_RATV,REU
industry_to_family,IND_PL_REU_RATV,RATV
industry_to_regional_family,IND_PL_REU_RATV,PL__RATV
industry_to_service_target,IND_PL_REU_RATV,TST_PL_RATV
industry_to_eol_target,IND_PL_REU_RATV,EOL_PL_RATV
industry_to_family,IND_PL_REC_EE,RATV
industry_to_regional_family,IND_PL_REC_EE,PL__RATV
industry_to_eol_target,IND_PL_REC_EE,EOL_PL_RATV
industry_to_family,IND_PL_INC_EE,RATV
industry_to_regional_family,IND_PL_INC_EE,PL__RATV
industry_to_eol_target,IND_PL_INC_EE,EOL_PL_RATV
industry_to_route,IND_SK_NEW_ELMA,NEW
industry_to_family,IND_SK_NEW_ELMA,ELMA
industry_to_regional_family,IND_SK_NEW_ELMA,SK__ELMA
industry_to_service_target,IND_SK_NEW_ELMA,TST_SK_ELMA
industry_to_eol_target,IND_SK_NEW_ELMA,EOL_SK_ELMA
industry_to_route,IND_SK_REF_ELMA,REF
industry_to_family,IND_SK_REF_ELMA,ELMA
industry_to_regional_family,IND_SK_REF_ELMA,SK__ELMA
industry_to_service_target,IND_SK_REF_ELMA,TST_SK_ELMA
industry_to_eol_target,IND_SK_REF_ELMA,EOL_SK_ELMA
industry_to_route,IND_SK_REP_ELMA,REP
industry_to_family,IND_SK_REP_ELMA,ELMA
industry_to_regional_family,IND_SK_REP_ELMA,SK__ELMA
industry_to_service_target,IND_SK_REP_ELMA,TST_SK_ELMA
industry_to_eol_target,IND_SK_REP_ELMA,EOL_SK_ELMA
industry_to_route,IND_SK_REU_ELMA,REU
industry_to_family,IND_SK_REU_ELMA,ELMA
industry_to_regional_family,IND_SK_REU_ELMA,SK__ELMA
industry_to_service_target,IND_SK_REU_ELMA,TST_SK_ELMA
industry_to_eol_target,IND_SK_REU_ELMA,EOL_SK_ELMA
industry_to_route,IND_SK_REC_EE,REC
industry_to_family,IND_SK_REC_EE,ELMA
industry_to_regional_family,IND_SK_REC_EE,SK__ELMA
industry_to_eol_target,IND_SK_REC_EE,EOL_SK_ELMA
industry_to_material_target,IND_SK_REC_EE,METAL
