account_id	account_type	region	source_code	row_sum_meur	column_sum_meur	imbalance_meur
ACT:IT:INC_EE	activity	IT	INC_EE	128.62877218262122	128.62877218270637	-8.51514414534904e-11
ACT:IT:METAL_COMPONENTS	activity	IT	METAL_COMPONENTS	81294.49399999999	81294.49400000015	-1.6007106751203537e-10
ACT:IT:NEW_ELMA	activity	IT	NEW_ELMA	27682.1993	27682.199300000088	-8.731149137020111e-11
ACT:IT:NEW_OFMA	activity	IT	NEW_OFMA	3391.7560264599306	3391.7560264600156	-8.503775461576879e-11
ACT:IT:NEW_RATV	activity	IT	NEW_RATV	11810.07257354007	11810.072573540154	-8.36735125631094e-11
ACT:IT:OTHER_MANUFACTURING	activity	IT	OTHER_MANUFACTURING	578227.6360999999	578227.6360999992	6.984919309616089e-10
ACT:IT:OTHER_SERVICES	activity	IT	OTHER_SERVICES	1.0149415492541756e6	1.014941549254176e6	-3.4924596548080444e-10
ACT:IT:PUBLIC_SOCIAL	activity	IT	PUBLIC_SOCIAL	383922.377	383922.3770000002	-2.3283064365386963e-10
ACT:IT:REC_EE	activity	IT	REC_EE	278.21619224380527	278.21619224389036	-8.50945980346296e-11
ACT:IT:REF_ELMA	activity	IT	REF_ELMA	2750.7247538456686	2750.724753845755	-8.640199666842818e-11
ACT:IT:REF_OFMA	activity	IT	REF_OFMA	320.6558941319034	320.6558941319886	-8.520828487235121e-11
ACT:IT:REF_RATV	activity	IT	REF_RATV	1116.5217519444423	1116.521751944527	-8.481038094032556e-11
ACT:IT:REP_ELMA	activity	IT	REP_ELMA	25.054725200452197	25.054725200537355	-8.515854688084801e-11
ACT:IT:REP_OFMA	activity	IT	REP_OFMA	6.243398437585608	6.243398437670756	-8.51478887398116e-11
ACT:IT:REP_RATV	activity	IT	REP_RATV	21.739473027596247	21.739473027681406	-8.515854688084801e-11
ACT:IT:REU_ELMA	activity	IT	REU_ELMA	778.8822668914735	778.8822668915595	-8.606093615526333e-11
ACT:IT:REU_OFMA	activity	IT	REU_OFMA	96.18544643841577	96.18544643850092	-8.51514414534904e-11
ACT:IT:REU_RATV	activity	IT	REU_RATV	334.91710314484834	334.9171031449335	-8.51514414534904e-11
ACT:IT:TRADE	activity	IT	TRADE	332329.7519327619	332329.7519327622	-2.9103830456733704e-10
ACT:IT:TRANSPORT	activity	IT	TRANSPORT	184042.49000000002	184042.49000000002	0.0
ACT:IT:UTIL_WASTE	activity	IT	UTIL_WASTE	111473.94703557357	111473.9470355736	-2.9103830456733704e-11
ACT:PL:AGRI_FOOD	activity	PL	AGRI_FOOD	83866.427	83866.42700000005	-5.820766091346741e-11
ACT:PL:BASIC_METALS	activity	PL	BASIC_METALS	10395.581	10395.581000000086	-8.549250196665525e-11
ACT:PL:CONSTRUCTION	activity	PL	CONSTRUCTION	82078.29400000001	82078.29400000011	-1.0186340659856796e-10
ACT:PL:EXTRACTIVE	activity	PL	EXTRACTIVE	11051.747000000001	11051.747000000081	-8.003553375601768e-11
ACT:PL:INC_EE	activity	PL	INC_EE	29.005372130238623	29.005372130323778	-8.515499416716921e-11
ACT:PL:METAL_COMPONENTS	activity	PL	METAL_COMPONENTS	24679.823	24679.8230000001	-9.822542779147625e-11
ACT:PL:NEW_ELMA	activity	PL	NEW_ELMA	9122.2054	9122.205400000086	-8.549250196665525e-11
ACT:PL:NEW_OFMA	activity	PL	NEW_OFMA	160.3336066933779	160.333606693463	-8.50945980346296e-11
ACT:PL:NEW_RATV	activity	PL	NEW_RATV	6100.716293306621	6100.716293306705	-8.36735125631094e-11
ACT:PL:OTHER_MANUFACTURING	activity	PL	OTHER_MANUFACTURING	162363.13269999993	162363.1327	-5.820766091346741e-11
ACT:PL:OTHER_SERVICES	activity	PL	OTHER_SERVICES	186324.85925190523	186324.85925190526	-2.9103830456733704e-11
ACT:PL:PUBLIC_SOCIAL	activity	PL	PUBLIC_SOCIAL	78864.599	78864.5990000001	-1.0186340659856796e-10
ACT:PL:REC_EE	activity	PL	REC_EE	17.45023008935791	17.450230089443036	-8.51265724577388e-11
ACT:PL:REF_ELMA	activity	PL	REF_ELMA	1064.5434986711828	1064.5434986712671	-8.43556335894391e-11
ACT:PL:REF_OFMA	activity	PL	REF_OFMA	30.437914098252588	30.437914098337743	-8.515499416716921e-11
ACT:PL:REF_RATV	activity	PL	REF_RATV	1158.1669139932494	1158.1669139933338	-8.43556335894391e-11
ACT:PL:REP_ELMA	activity	PL	REP_ELMA	15.548787391572167	15.548787391657314	-8.51461123829722e-11
ACT:PL:REP_OFMA	activity	PL	REP_OFMA	0.034259567521246224	0.03425956760639288	-8.514665361669671e-11
ACT:PL:REP_RATV	activity	PL	REP_RATV	1.3035813644374756	1.3035813645226222	-8.514655647218206e-11
ACT:PL:REU_ELMA	activity	PL	REU_ELMA	346.97330808110826	346.9733080811934	-8.51514414534904e-11
ACT:PL:REU_OFMA	activity	PL	REU_OFMA	6.593792735657253	6.593792735742397	-8.51443360261328e-11
ACT:PL:REU_RATV	activity	PL	REU_RATV	250.89474132544703	250.89474132553224	-8.520828487235121e-11
ACT:PL:TRADE	activity	PL	TRADE	103238.77195086636	103238.77195086636	0.0
ACT:PL:TRANSPORT	activity	PL	TRANSPORT	60836.997	60836.99700000009	-8.731149137020111e-11
ACT:PL:UTIL_WASTE	activity	PL	UTIL_WASTE	33675.12539778041	33675.1253977805	-9.458744898438454e-11
ACT:REU:AGRI_FOOD	activity	REU	AGRI_FOOD	1.2279945219999999e6	1.2279945219999994e6	4.656612873077393e-10
ACT:REU:BASIC_METALS	activity	REU	BASIC_METALS	259986.87299999996	259986.8730000001	-1.4551915228366852e-10
ACT:REU:CONSTRUCTION	activity	REU	CONSTRUCTION	1.431118816e6	1.431118816000001e6	-9.313225746154785e-10
ACT:REU:EXTRACTIVE	activity	REU	EXTRACTIVE	307189.82	307189.8200000001	-1.1641532182693481e-10
ACT:REU:INC_EE	activity	REU	INC_EE	368.0216296138016	368.0216296138866	-8.498091119690798e-11
ACT:REU:METAL_COMPONENTS	activity	REU	METAL_COMPONENTS	268926.118	268926.11800000025	-2.3283064365386963e-10
ACT:REU:NEW_ELMA	activity	REU	NEW_ELMA	105307.08462289511	105307.08462289508	2.9103830456733704e-11
ACT:REU:NEW_OFMA	activity	REU	NEW_OFMA	9940.295936314056	9940.295936314138	-8.185452315956354e-11
ACT:REU:NEW_RATV	activity	REU	NEW_RATV	177100.8667383377	177100.86673833788	-1.7462298274040222e-10
ACT:REU:OTHER_MANUFACTURING	activity	REU	OTHER_MANUFACTURING	2.5936634067024523e6	2.5936634067024533e6	-9.313225746154785e-10
ACT:REU:OTHER_SERVICES	activity	REU	OTHER_SERVICES	6.108700157833913e6	6.108700157833911e6	2.7939677238464355e-9
ACT:REU:PUBLIC_SOCIAL	activity	REU	PUBLIC_SOCIAL	2.4492173649999998e6	2.449217365e6	-4.656612873077393e-10
ACT:REU:REC_EE	activity	REU	REC_EE	109.56295968886198	109.56295968894713	-8.51514414534904e-11
ACT:REU:REF_ELMA	activity	REU	REF_ELMA	14750.417879865503	14750.41787986559	-8.731149137020111e-11
ACT:REU:REF_OFMA	activity	REU	REF_OFMA	2261.262170412553	2261.262170412639	-8.594724931754172e-11
ACT:REU:REF_RATV	activity	REU	REF_RATV	40261.05013929754	40261.050139297644	-1.0186340659856796e-10
ACT:REU:REP_ELMA	activity	REU	REP_ELMA	81.37722509434481	81.37722509442997	-8.516565230820561e-11
ACT:REU:REP_OFMA	activity	REU	REP_OFMA	13.89301783721141	13.893017837296554	-8.51443360261328e-11
ACT:REU:REP_RATV	activity	REU	REP_RATV	247.36074173481376	247.36074173489888	-8.512301974406e-11
