account_id	account_type	region	source_code	account_label
ACT:IT:REP_OFMA	activity	IT	REP_OFMA	IT activity: Repair activities linked to OFMA
ACT:IT:REP_RATV	activity	IT	REP_RATV	IT activity: Repair activities linked to RATV
ACT:IT:REU_ELMA	activity	IT	REU_ELMA	IT activity: Reuse route for ELMA
ACT:IT:REU_OFMA	activity	IT	REU_OFMA	IT activity: Reuse route for OFMA
ACT:IT:REU_RATV	activity	IT	REU_RATV	IT activity: Reuse route for RATV
ACT:IT:TRADE	activity	IT	TRADE	IT activity: Trade services
ACT:IT:TRANSPORT	activity	IT	TRANSPORT	IT activity: Transport and storage
ACT:IT:UTIL_WASTE	activity	IT	UTIL_WASTE	IT activity: Utilities, water, and residual waste services
ACT:PL:AGRI_FOOD	activity	PL	AGRI_FOOD	PL activity: Agriculture and food
ACT:PL:BASIC_METALS	activity	PL	BASIC_METALS	PL activity: Basic metals
ACT:PL:CONSTRUCTION	activity	PL	CONSTRUCTION	PL activity: Construction
ACT:PL:EXTRACTIVE	activity	PL	EXTRACTIVE	PL activity: Extractive industries
ACT:PL:INC_EE	activity	PL	INC_EE	PL activity: Incineration and disposal activities for CE-RISE chains
ACT:PL:METAL_COMPONENTS	activity	PL	METAL_COMPONENTS	PL activity: Metal components and fabricated metals
ACT:PL:NEW_ELMA	activity	PL	NEW_ELMA	PL activity: New CE-RISE electrical equipment
ACT:PL:NEW_OFMA	activity	PL	NEW_OFMA	PL activity: New CE-RISE office machinery and computers
ACT:PL:NEW_RATV	activity	PL	NEW_RATV	PL activity: New CE-RISE communication and consumer electronics
ACT:PL:OTHER_MANUFACTURING	activity	PL	OTHER_MANUFACTURING	PL activity: Other manufacturing
ACT:PL:OTHER_SERVICES	activity	PL	OTHER_SERVICES	PL activity: Other market services
ACT:PL:PUBLIC_SOCIAL	activity	PL	PUBLIC_SOCIAL	PL activity: Public and social services
ACT:PL:REC_EE	activity	PL	REC_EE	PL activity: Recycling and recovery activities for CE-RISE chains
ACT:PL:REF_ELMA	activity	PL	REF_ELMA	PL activity: Refurbishment route for ELMA
ACT:PL:REF_OFMA	activity	PL	REF_OFMA	PL activity: Refurbishment route for OFMA
ACT:PL:REF_RATV	activity	PL	REF_RATV	PL activity: Refurbishment route for RATV
ACT:PL:REP_ELMA	activity	PL	REP_ELMA	PL activity: Repair activities linked to ELMA
ACT:PL:REP_OFMA	activity	PL	REP_OFMA	PL activity: Repair activities linked to OFMA
ACT:PL:REP_RATV	activity	PL	REP_RATV	PL activity: Repair activities linked to RATV
ACT:PL:REU_ELMA	activity	PL	REU_ELMA	PL activity: Reuse route for ELMA
ACT:PL:REU_OFMA	activity	PL	REU_OFMA	PL activity: Reuse route for OFMA
ACT:PL:REU_RATV	activity	PL	REU_RATV	PL activity: Reuse route for RATV
ACT:PL:TRADE	activity	PL	TRADE	PL activity: Trade services
ACT:PL:TRANSPORT	activity	PL	TRANSPORT	PL activity: Transport and storage
ACT:PL:UTIL_WASTE	activity	PL	UTIL_WASTE	PL activity: Utilities, water, and residual waste services
ACT:ROW:AGRI_FOOD	activity	ROW	AGRI_FOOD	ROW activity: Agriculture and food
ACT:ROW:BASIC_METALS	activity	ROW	BASIC_METALS	ROW activity: Basic metals
ACT:ROW:CONSTRUCTION	activity	ROW	CONSTRUCTION	ROW activity: Construction
ACT:ROW:EXTRACTIVE	activity	ROW	EXTRACTIVE	ROW activity: Extractive industries
ACT:ROW:INC_EE	activity	ROW	INC_EE	ROW activity: Incineration and disposal activities for CE-RISE chains
ACT:ROW:METAL_COMPONENTS	activity	ROW	METAL_COMPONENTS	ROW activity: Metal components and fabricated metals
ACT:ROW:NEW_ELMA	activity	ROW	NEW_ELMA	ROW activity: New CE-RISE electrical equipment
ACT:ROW:NEW_OFMA	activity	ROW	NEW_OFMA	ROW activity: New CE-RISE office machinery and computers
ACT:ROW:NEW_RATV	activity	ROW	NEW_RATV	ROW activity: New CE-RISE communication and consumer electronics
ACT:ROW:OTHER_MANUFACTURING	activity	ROW	OTHER_MANUFACTURING	ROW activity: Other manufacturing
ACT:ROW:OTHER_SERVICES	activity	ROW	OTHER_SERVICES	ROW activity: Other market services
ACT:ROW:PUBLIC_SOCIAL	activity	ROW	PUBLIC_SOCIAL	ROW activity: Public and social services
ACT:ROW:REC_EE	activity	ROW	REC_EE	ROW activity: Recycling and recovery activities for CE-RISE chains
ACT:ROW:REF_ELMA	activity	ROW	REF_ELMA	ROW activity: Refurbishment route for ELMA
ACT:ROW:REF_OFMA	activity	ROW	REF_OFMA	ROW activity: Refurbishment route for OFMA
