region	sector	sector_label	output_meur
REU	INC_EE	Incineration and disposal activities for CE-RISE chains	368.02162961380157
REU	METAL_COMPONENTS	Metal components and fabricated metals	268926.11799999996
REU	NEW_ELMA	New CE-RISE electrical equipment	105307.08462289513
REU	NEW_OFMA	New CE-RISE office machinery and computers	9940.295936314056
REU	NEW_RATV	New CE-RISE communication and consumer electronics	177100.86673833767
REU	OTHER_MANUFACTURING	Other manufacturing	2.5936634067024523e6
REU	OTHER_SERVICES	Other market services	6.108700157833912e6
REU	PUBLIC_SOCIAL	Public and social services	2.4492173649999998e6
REU	REC_EE	Recycling and recovery activities for CE-RISE chains	109.56295968886204
REU	REF_ELMA	Refurbishment route for ELMA	14750.417879865503
REU	REF_OFMA	Refurbishment route for OFMA	2261.262170412553
REU	REF_RATV	Refurbishment route for RATV	40261.05013929754
REU	REP_ELMA	Repair activities linked to ELMA	81.37722509434481
REU	REP_OFMA	Repair activities linked to OFMA	13.89301783721141
REU	REP_RATV	Repair activities linked to RATV	247.3607417348137
REU	REU_ELMA	Reuse route for ELMA	4236.459255874672
REU	REU_OFMA	Reuse route for OFMA	535.3519915251422
REU	REU_RATV	Reuse route for RATV	9531.771085629662
REU	TRADE	Trade services	1.9454597156588126e6
REU	TRANSPORT	Transport and storage	1.1799977849999995e6
REU	UTIL_WASTE	Utilities, water, and residual waste services	764832.5924106974
ROW	AGRI_FOOD	Agriculture and food	9.170688407999994e6
ROW	BASIC_METALS	Basic metals	2.840059847000001e6
ROW	CONSTRUCTION	Construction	6.777227377999999e6
ROW	EXTRACTIVE	Extractive industries	3.648929558999999e6
ROW	INC_EE	Incineration and disposal activities for CE-RISE chains	1735.4700784342815
ROW	METAL_COMPONENTS	Metal components and fabricated metals	1.3486719659999993e6
ROW	NEW_ELMA	New CE-RISE electrical equipment	992024.1835867052
ROW	NEW_OFMA	New CE-RISE office machinery and computers	406998.10751145903
ROW	NEW_RATV	New CE-RISE communication and consumer electronics	1.466539438583794e6
ROW	OTHER_MANUFACTURING	Other manufacturing	1.935693287331804e7
ROW	OTHER_SERVICES	Other market services	2.5838802792843387e7
ROW	PUBLIC_SOCIAL	Public and social services	1.1949063851999996e7
ROW	REC_EE	Recycling and recovery activities for CE-RISE chains	4.344868975927076
ROW	REF_ELMA	Refurbishment route for ELMA	71480.81737293651
ROW	REF_OFMA	Refurbishment route for OFMA	25140.76063874908
ROW	REF_RATV	Refurbishment route for RATV	90725.64963621707
ROW	REP_ELMA	Repair activities linked to ELMA	736.0088025650654
ROW	REP_OFMA	Repair activities linked to OFMA	459.82238159063456
ROW	REP_RATV	Repair activities linked to RATV	1659.3644435237957
ROW	REU_ELMA	Reuse route for ELMA	19311.515078963985
ROW	REU_OFMA	Reuse route for OFMA	9235.892613900005
ROW	REU_RATV	Reuse route for RATV	33329.63427029029
ROW	TRADE	Trade services	8.259197463917857e6
ROW	TRANSPORT	Transport and storage	4.216435197e6
ROW	UTIL_WASTE	Utilities, water, and residual waste services	2.69301437505259e6
SK	AGRI_FOOD	Agriculture and food	7302.428
SK	BASIC_METALS	Basic metals	3821.571999999999
SK	CONSTRUCTION	Construction	12678.011
SK	EXTRACTIVE	Extractive industries	345.16199999999986
SK	INC_EE	Incineration and disposal activities for CE-RISE chains	2.5920194187460766
SK	METAL_COMPONENTS	Metal components and fabricated metals	5339.964999999999
SK	NEW_ELMA	New CE-RISE electrical equipment	2446.073
SK	NEW_OFMA	New CE-RISE office machinery and computers	0.046952278852126855
SK	NEW_RATV	New CE-RISE communication and consumer electronics	3857.942847721149
SK	OTHER_MANUFACTURING	Other manufacturing	48659.906199999976
SK	OTHER_SERVICES	Other market services	44877.87751322089
SK	PUBLIC_SOCIAL	Public and social services	15554.244999999999
SK	REC_EE	Recycling and recovery activities for CE-RISE chains	0.7497333842678676
SK	REF_ELMA	Refurbishment route for ELMA	424.68393284604025
SK	REF_OFMA	Refurbishment route for OFMA	0.008248037768613537
SK	REF_RATV	Refurbishment route for RATV	677.7191459420748
SK	REP_ELMA	Repair activities linked to ELMA	0.5252863281401762
SK	REP_OFMA	Repair activities linked to OFMA	5.481915350017346e-6
SK	REP_RATV	Repair activities linked to RATV	0.4504343486911159
SK	REU_ELMA	Reuse route for ELMA	246.5209956820601
SK	REU_OFMA	Reuse route for OFMA	0.004142754761453461
SK	REU_RATV	Reuse route for RATV	340.3990497362961
SK	TRADE	Trade services	14634.130245621363
SK	TRANSPORT	Transport and storage	10625.21
SK	UTIL_WASTE	Utilities, water, and residual waste services	11171.106247196987
