row_region	row_sector	column_region	column_sector	value_meur	technical_coefficient
DE	AGRI_FOOD	DE	AGRI_FOOD	52191.17015697147	0.2197772778279621
DE	AGRI_FOOD	DE	BASIC_METALS	76.03548724552651	0.000828544065627271
DE	AGRI_FOOD	DE	CONSTRUCTION	363.7210005349537	0.0012612953427135819
DE	AGRI_FOOD	DE	EXTRACTIVE	42.9029264824819	0.004010368149349935
DE	AGRI_FOOD	DE	INC_EE	0.09015047011781423	0.0011674804094561953
DE	AGRI_FOOD	DE	METAL_COMPONENTS	82.99720512214206	0.0006359646692270245
DE	AGRI_FOOD	DE	NEW_ELMA	63.65622010244644	0.0008730051772095427
DE	AGRI_FOOD	DE	NEW_OFMA	0.0019314590183473102	0.0008136116279020177
DE	AGRI_FOOD	DE	NEW_RATV	64.144712569071	0.0010407590608875908
DE	AGRI_FOOD	DE	OTHER_MANUFACTURING	4638.544750384232	0.0036804534789987384
DE	AGRI_FOOD	DE	OTHER_SERVICES	12179.744813580943	0.006699359673572259
DE	AGRI_FOOD	DE	PUBLIC_SOCIAL	9633.413454782225	0.01239654030637073
DE	AGRI_FOOD	DE	REC_EE	0.24273447469445072	0.0011719958689488878
DE	AGRI_FOOD	DE	REF_ELMA	5.819398267244795	0.0006410207449138476
DE	AGRI_FOOD	DE	REF_RATV	5.472407567217434	0.000618641686625496
DE	AGRI_FOOD	DE	REP_ELMA	0.027205087125706164	0.0006534162252475462
DE	AGRI_FOOD	DE	REP_RATV	0.06854933258343499	0.0006633520505082816
DE	AGRI_FOOD	DE	REU_ELMA	2.5104564274511505	0.0007716314700194282
DE	AGRI_FOOD	DE	REU_RATV	3.326116898089559	0.0007949595419734943
DE	AGRI_FOOD	DE	TRADE	327.43298280278253	0.000679371180739226
DE	AGRI_FOOD	DE	TRANSPORT	683.5080160662492	0.0020268243725688802
DE	AGRI_FOOD	DE	UTIL_WASTE	227.71265903368774	0.0012447554149757913
DE	AGRI_FOOD	FR	AGRI_FOOD	680.213011209804	0.0029162701404421907
DE	AGRI_FOOD	FR	BASIC_METALS	3.0861977930017805	0.00012551693284102263
DE	AGRI_FOOD	FR	CONSTRUCTION	24.009986262307017	8.281684450156551e-5
DE	AGRI_FOOD	FR	EXTRACTIVE	0.8413524017477225	0.000166419891159847
DE	AGRI_FOOD	FR	INC_EE	0.0033758941768927365	3.986344467675213e-5
DE	AGRI_FOOD	FR	METAL_COMPONENTS	4.906840525073107	9.487060530212071e-5
DE	AGRI_FOOD	FR	NEW_ELMA	1.9574191484132872	0.00012952730001768707
DE	AGRI_FOOD	FR	NEW_RATV	1.6344299298276572	9.913807061970783e-5
DE	AGRI_FOOD	FR	OTHER_MANUFACTURING	122.72765475159237	0.0002763090438977128
DE	AGRI_FOOD	FR	OTHER_SERVICES	499.00003679456034	0.0003294506358199133
DE	AGRI_FOOD	FR	PUBLIC_SOCIAL	117.52978998913748	0.00019773610246239372
DE	AGRI_FOOD	FR	REC_EE	0.004074580280465727	4.012801757193018e-5
DE	AGRI_FOOD	FR	REF_ELMA	0.30064616021102175	0.00012792941908324593
DE	AGRI_FOOD	FR	REF_RATV	0.3211316043347637	0.00012739329386461104
DE	AGRI_FOOD	FR	REP_ELMA	0.0022601345085056066	5.861496689503377e-5
DE	AGRI_FOOD	FR	REP_RATV	0.0023139634956488883	5.867966222583458e-5
DE	AGRI_FOOD	FR	REU_ELMA	0.05371507612996709	0.00011226472016930511
DE	AGRI_FOOD	FR	REU_RATV	0.05046473060860626	0.00011043872351937428
DE	AGRI_FOOD	FR	TRADE	48.21072138493343	0.00012460392809732966
DE	AGRI_FOOD	FR	TRANSPORT	14.300719151048728	7.191458762351201e-5
DE	AGRI_FOOD	FR	UTIL_WASTE	7.748300918075135	5.7278281950065064e-5
DE	AGRI_FOOD	IT	AGRI_FOOD	2117.8204668298968	0.011045151791764659
DE	AGRI_FOOD	IT	BASIC_METALS	2.3710347727695207	4.683978932497784e-5
DE	AGRI_FOOD	IT	CONSTRUCTION	2.2720122734631243	1.2347866685559695e-5
DE	AGRI_FOOD	IT	EXTRACTIVE	0.726433366784462	9.324486689463314e-5
DE	AGRI_FOOD	IT	INC_EE	0.0014264254899522912	1.1089474506738802e-5
DE	AGRI_FOOD	IT	METAL_COMPONENTS	1.7018205099186399	2.093401934353192e-5
DE	AGRI_FOOD	IT	NEW_ELMA	1.3475329967912537	4.8678682722700216e-5
DE	AGRI_FOOD	IT	NEW_OFMA	0.388679857286898	0.00011459546448940019
DE	AGRI_FOOD	IT	NEW_RATV	1.3683840990251042	0.00011586585014650174
DE	AGRI_FOOD	IT	OTHER_MANUFACTURING	343.2809076192274	0.0005936777943278029
DE	AGRI_FOOD	IT	OTHER_SERVICES	38.75586522570726	3.818531742462095e-5
DE	AGRI_FOOD	IT	PUBLIC_SOCIAL	2.662870600865648	6.93596091395748e-6
DE	AGRI_FOOD	IT	REC_EE	0.00326691376656695	1.174235669110194e-5
DE	AGRI_FOOD	IT	REF_ELMA	0.5651963263017273	0.0002054717853945767
DE	AGRI_FOOD	IT	REF_OFMA	0.06071087310822962	0.00018933340761625263
DE	AGRI_FOOD	IT	REF_RATV	0.2329422961189608	0.00020863211640372232
DE	AGRI_FOOD	IT	REU_ELMA	0.012128662618097774	1.5571881828178452e-5
DE	AGRI_FOOD	IT	REU_OFMA	0.0012039035273229074	1.2516483230066676e-5
DE	AGRI_FOOD	IT	REU_RATV	0.004612781342237585	1.3772904694695762e-5
DE	AGRI_FOOD	IT	TRADE	37.73900082217892	0.00011355889926404904
DE	AGRI_FOOD	IT	TRANSPORT	17.110086147236228	9.296813006190162e-5
DE	AGRI_FOOD	IT	UTIL_WASTE	21.661998442980696	0.0001943234183326075
DE	AGRI_FOOD	PL	AGRI_FOOD	907.3410185424044	0.010818882489680931
DE	AGRI_FOOD	PL	BASIC_METALS	0.412255354948359	3.965678829767755e-5
DE	AGRI_FOOD	PL	CONSTRUCTION	5.413492243752514	6.595522372519725e-5
DE	AGRI_FOOD	PL	EXTRACTIVE	0.5480062201654323	4.958548364936624e-5
DE	AGRI_FOOD	PL	INC_EE	0.003053812215196448	0.00010528436599552512
DE	AGRI_FOOD	PL	METAL_COMPONENTS	0.9451325991605998	3.8295760839151865e-5
DE	AGRI_FOOD	PL	NEW_ELMA	0.9875277693889384	0.000108255375327214
