recycled_origin	destination_region	destination_activity	source_use_kind	source_use_target	allocated_value_meur	primary_metal_reduction_meur	allocation_weight
DE	DE	AGRI_FOOD	final	P3_S13	0.011516234133717856	0.011516234133717856	0.0024293887857553694
DE	DE	BASIC_METALS	final	P3_S13	0.8791738550824858	0.8791738550824858	0.18546471697837702
DE	DE	CONSTRUCTION	final	P3_S13	0.09576286726212319	0.09576286726212319	0.020201502775740787
DE	DE	EXTRACTIVE	final	P3_S13	0.0029707761048759843	0.0029707761048759843	0.000626695330294207
DE	DE	INC_EE	final	P3_S13	5.021136514041838e-6	5.021136514041838e-6	1.059225836963945e-6
DE	DE	METAL_COMPONENTS	final	P3_S13	0.4553851109508054	0.4553851109508054	0.09606503904820275
DE	DE	NEW_ELMA	final	P3_S13	0.1017542420739406	0.1017542420739406	0.021465403683805027
DE	DE	NEW_OFMA	final	P3_S13	4.29043988739414e-8	4.29043988739414e-8	9.05082896662842e-9
DE	DE	NEW_RATV	final	P3_S13	0.035488060734350874	0.035488060734350874	0.007486327194739344
DE	DE	OTHER_MANUFACTURING	final	P3_S13	1.258929062479375	1.258929062479375	0.26557537046718094
DE	DE	OTHER_SERVICES	final	P3_S13	0.12023484749411105	0.12023484749411105	0.02536395029552086
DE	DE	PUBLIC_SOCIAL	final	P3_S13	0.01189376222474351	0.01189376222474351	0.00250902962146572
DE	DE	REC_EE	final	P3_S13	1.3501300583881336e-5	1.3501300583881336e-5	2.8481453095470145e-6
DE	DE	REF_ELMA	final	P3_S13	0.003103189207534535	0.003103189207534535	0.0006546283249650879
DE	DE	REF_RATV	final	P3_S13	0.002247247791010831	0.002247247791010831	0.00047406456997177557
DE	DE	REP_ELMA	final	P3_S13	1.6941554337905866e-5	1.6941554337905866e-5	3.5738785477858793e-6
DE	DE	REP_RATV	final	P3_S13	4.335527775797694e-5	4.335527775797694e-5	9.145943401772005e-6
DE	DE	REU_ELMA	final	P3_S13	0.00012499973971541396	0.00012499973971541396	2.6369120526809756e-5
DE	DE	REU_RATV	final	P3_S13	0.00018550415242828285	0.00018550415242828285	3.913273231401688e-5
DE	DE	TRADE	final	P3_S13	0.04296169917656154	0.04296169917656154	0.00906291666048645
DE	DE	TRANSPORT	final	P3_S13	0.01498164544437413	0.01498164544437413	0.003160429096188886
DE	DE	UTIL_WASTE	final	P3_S13	0.029758301640668852	0.029758301640668852	0.00627761501281906
DE	DE	AGRI_FOOD	final	P3_S13	0.00047843893512401677	0.00047843893512401677	0.00010092832172072121
DE	DE	BASIC_METALS	final	P3_S13	0.07278958960920152	0.07278958960920152	0.015355211665815731
DE	DE	CONSTRUCTION	final	P3_S13	0.004279342667504342	0.004279342667504342	0.0009027419003579473
DE	DE	EXTRACTIVE	final	P3_S13	0.00016059606681579432	0.00016059606681579432	3.38782868799452e-5
DE	DE	METAL_COMPONENTS	final	P3_S13	0.02297507479593504	0.02297507479593504	0.004846670223360263
DE	DE	NEW_ELMA	final	P3_S13	0.004395671157595016	0.004395671157595016	0.0009272817912640124
DE	DE	NEW_RATV	final	P3_S13	0.0008829394302883606	0.0008829394302883606	0.00018625907788410805
DE	DE	OTHER_MANUFACTURING	final	P3_S13	0.03728137297622693	0.03728137297622693	0.007864632515661558
DE	DE	OTHER_SERVICES	final	P3_S13	0.0023895396348691004	0.0023895396348691004	0.0005040815187208138
DE	DE	PUBLIC_SOCIAL	final	P3_S13	5.398807759589863e-5	5.398807759589863e-5	1.138896871608013e-5
DE	DE	REF_ELMA	final	P3_S13	7.791932991879839e-5	7.791932991879839e-5	1.643734784308262e-5
DE	DE	REF_RATV	final	P3_S13	5.462132088041627e-5	5.462132088041627e-5	1.1522553542178609e-5
DE	DE	REU_ELMA	final	P3_S13	8.413950024974603e-7	8.413950024974603e-7	1.7749513944607862e-7
DE	DE	REU_RATV	final	P3_S13	1.5784645139859833e-6	1.5784645139859833e-6	3.329824614943258e-7
DE	DE	TRADE	final	P3_S13	0.0002807448324397502	0.0002807448324397502	5.922407791197909e-5
DE	DE	TRANSPORT	final	P3_S13	0.0004096594760615636	0.0004096594760615636	8.641906074213246e-5
DE	DE	UTIL_WASTE	final	P3_S13	0.0009829063238813752	0.0009829063238813752	0.00020734743432266085
DE	DE	AGRI_FOOD	final	P3_S13	0.0007563390979977396	0.0007563390979977396	0.000159552306905977
DE	DE	BASIC_METALS	final	P3_S13	0.08805134433111726	0.08805134433111726	0.018574730767447735
DE	DE	CONSTRUCTION	final	P3_S13	0.00593690107665971	0.00593690107665971	0.0012524094882325738
DE	DE	EXTRACTIVE	final	P3_S13	0.00020425876063120808	0.00020425876063120808	4.308908074531724e-5
DE	DE	INC_EE	final	P3_S13	6.35401339047864e-8	6.35401339047864e-8	1.3404007504651908e-8
DE	DE	METAL_COMPONENTS	final	P3_S13	0.028473703381174147	0.028473703381174147	0.006006624637876951
DE	DE	NEW_ELMA	final	P3_S13	0.005458440224384121	0.005458440224384121	0.0011514765430141337
DE	DE	NEW_RATV	final	P3_S13	0.001128299643959664	0.001128299643959664	0.0002380186500361177
DE	DE	OTHER_MANUFACTURING	final	P3_S13	0.047888054221723333	0.047888054221723333	0.010102148024003521
