table	row_region	row_sector	column_region	column_code	original_value_meur	constructed_value_meur	balanced_value_meur	change_from_original_meur	balancing_adjustment_meur
intermediate	DE	AGRI_FOOD	DE	AGRI_FOOD	52184.40450645511	52184.40450645511	52191.17015697147	6.765650516361347	6.765650516361347
intermediate	DE	AGRI_FOOD	DE	BASIC_METALS	76.03510051668147	76.03510051668147	76.03548724552651	0.000386728845043649	0.000386728845043649
intermediate	DE	AGRI_FOOD	DE	CONSTRUCTION	363.7210014985145	363.7210014985145	363.7210005349537	-9.63560808031616e-7	-9.63560808031616e-7
intermediate	DE	AGRI_FOOD	DE	EXTRACTIVE	42.9026673083826	42.9026673083826	42.9029264824819	0.0002591740993054259	0.0002591740993054259
intermediate	DE	AGRI_FOOD	DE	INC_EE	0.0901500608558764	0.0901500608558764	0.09015047011781423	4.0926193782542253e-7	4.0926193782542253e-7
intermediate	DE	AGRI_FOOD	DE	METAL_COMPONENTS	82.99714754531918	82.99714754531918	82.99720512214206	5.7576822882765555e-5	5.7576822882765555e-5
intermediate	DE	AGRI_FOOD	DE	NEW_ELMA	63.65620966893893	63.65620966893893	63.65622010244644	1.043350751217531e-5	1.043350751217531e-5
intermediate	DE	AGRI_FOOD	DE	NEW_RATV	64.14470062806966	64.14470062806966	64.144712569071	1.1941001346826852e-5	1.1941001346826852e-5
intermediate	DE	AGRI_FOOD	DE	OTHER_MANUFACTURING	4638.542508516316	4638.542508516316	4638.544750384232	0.0022418679163820343	0.0022418679163820343
intermediate	DE	AGRI_FOOD	DE	OTHER_SERVICES	12179.807315963413	12179.807315963413	12179.744813580943	-0.06250238247048401	-0.06250238247048401
intermediate	DE	AGRI_FOOD	DE	PUBLIC_SOCIAL	9633.281769880998	9633.281769880998	9633.413454782225	0.1316849012273451	0.1316849012273451
intermediate	DE	AGRI_FOOD	DE	REC_EE	0.24273264135070508	0.24273264135070508	0.24273447469445072	1.833343745649696e-6	1.833343745649696e-6
intermediate	DE	AGRI_FOOD	DE	REF_ELMA	5.819397915603201	5.819397915603201	5.819398267244795	3.5164159406519957e-7	3.5164159406519957e-7
intermediate	DE	AGRI_FOOD	DE	REF_RATV	5.472407262046502	5.472407262046502	5.472407567217434	3.0517093208004553e-7	3.0517093208004553e-7
intermediate	DE	AGRI_FOOD	DE	REU_ELMA	2.510456093710011	2.510456093710011	2.5104564274511505	3.337411396131529e-7	3.337411396131529e-7
intermediate	DE	AGRI_FOOD	DE	REU_RATV	3.3261162331882517	3.3261162331882517	3.326116898089559	6.649013073456445e-7	6.649013073456445e-7
intermediate	DE	AGRI_FOOD	DE	TRADE	327.43294864930067	327.43294864930067	327.43298280278253	3.41534818630862e-5	3.41534818630862e-5
intermediate	DE	AGRI_FOOD	DE	TRANSPORT	683.5079786302242	683.5079786302242	683.5080160662492	3.7436024967973935e-5	3.7436024967973935e-5
intermediate	DE	AGRI_FOOD	DE	UTIL_WASTE	227.71196166429294	227.71196166429294	227.71265903368774	0.0006973693947998072	0.0006973693947998072
intermediate	DE	AGRI_FOOD	FR	AGRI_FOOD	680.2130000969773	680.2130000969773	680.213011209804	1.1112826655335084e-5	1.1112826655335084e-5
intermediate	DE	AGRI_FOOD	FR	BASIC_METALS	3.0861954132971032	3.0861954132971032	3.0861977930017805	2.379704677313299e-6	2.379704677313299e-6
intermediate	DE	AGRI_FOOD	FR	CONSTRUCTION	24.009986033513172	24.009986033513172	24.009986262307017	2.2879384431462313e-7	2.2879384431462313e-7
intermediate	DE	AGRI_FOOD	FR	EXTRACTIVE	0.8413523552490179	0.8413523552490179	0.8413524017477225	4.6498704664443835e-8	4.6498704664443835e-8
intermediate	DE	AGRI_FOOD	FR	METAL_COMPONENTS	4.906840166430779	4.906840166430779	4.906840525073107	3.586423273915784e-7	3.586423273915784e-7
intermediate	DE	AGRI_FOOD	FR	NEW_ELMA	1.9574190368359263	1.9574190368359263	1.9574191484132872	1.1157736090616766e-7	1.1157736090616766e-7
intermediate	DE	AGRI_FOOD	FR	NEW_RATV	1.634429858157772	1.634429858157772	1.6344299298276572	7.166988513773731e-8	7.166988513773731e-8
intermediate	DE	AGRI_FOOD	FR	OTHER_MANUFACTURING	122.72764355170919	122.72764355170919	122.72765475159237	1.1199883175549985e-5	1.1199883175549985e-5
intermediate	DE	AGRI_FOOD	FR	OTHER_SERVICES	499.0001415145199	499.0001415145199	499.00003679456034	-0.00010471995955185776	-0.00010471995955185776
intermediate	DE	AGRI_FOOD	FR	PUBLIC_SOCIAL	117.52975531508882	117.52975531508882	117.52978998913748	3.4674048663418944e-5	3.4674048663418944e-5
intermediate	DE	AGRI_FOOD	FR	TRADE	48.21072140919102	48.21072140919102	48.21072138493343	-2.4257587938336655e-8	-2.4257587938336655e-8
